step,epoch,loss,n_valid_px,grad_theta_norm,grad_phi_norm,egr,r_rms
0,1,1.0341224670410156,19139,0.9244837702605196,8.329148012237935,0.11099379779325254,0.7435923218727112
1,1,0.9624816179275513,32374,0.8214307383877444,7.443081216565228,0.1103616519136548,0.7139647603034973
2,1,0.6411845684051514,5149,0.80174372099598,9.207604511489771,0.08707408316630363,0.5535759329795837
3,1,1.384352684020996,8443,0.7238888204029608,7.660405865107022,0.09449745002417739,0.8760141134262085
4,1,0.5739288330078125,18181,0.4080816069795213,4.823819042478082,0.08459720470148438,0.5250073075294495
5,1,0.5193246006965637,21465,0.282902416535529,2.9686657616005023,0.09529614960187097,0.4980100691318512
6,1,0.23824790120124817,16156,0.13056734044804327,2.1220338943659267,0.061529337865263385,0.29968711733818054
7,1,1.4635193347930908,8977,0.7543895881762485,8.13722368443628,0.09270847372907352,0.8893999457359314
8,1,0.3019540011882782,4677,0.11309836274901582,1.0085811915069238,0.11213610138805297,0.3762527108192444
9,1,2.542396068572998,15014,0.978415801996508,11.63926937362647,0.08406161680675811,1.0476902723312378
10,1,0.6322141885757446,39380,0.516853325142967,3.765234999267039,0.13726987166629526,0.5951145887374878
11,1,3.1859288215637207,5261,3.151227171582835,22.32846275897345,0.14113050260552606,1.2635573148727417
12,1,0.21190257370471954,13777,0.149192819227132,1.172265119745759,0.12726883766648425,0.3388451039791107
13,1,1.4697842597961426,5181,1.2939806148823578,8.6129396947469,0.15023681353201818,0.8503957986831665
14,1,0.3598885238170624,1562,1.023232815381559,5.255111681680362,0.19471190668476485,0.4158405363559723
15,1,0.6044714450836182,9469,0.4432238613791067,2.5274758334088196,0.1753622549107237,0.5880833268165588
16,1,2.0210604667663574,30989,1.382668665838155,9.359098496481101,0.147735240350112,0.894560694694519
17,1,1.1443092823028564,24058,0.7592280321268716,7.016846616181257,0.10820074510050416,0.798695981502533
18,1,0.4455047845840454,7704,1.9398470420459955,8.514964278860345,0.22781622782161565,0.48124945163726807
19,1,0.9807394742965698,21980,1.0019035903405393,5.982932202790999,0.16746029478204522,0.7014257311820984
20,1,0.9917445778846741,21043,0.24504652253798873,3.2656214622807704,0.07503825087147996,0.6726779341697693
21,1,0.5674896836280823,11831,1.6008842358599065,6.253426539370995,0.25600112606754577,0.5521392226219177
22,1,2.6735477447509766,5704,2.7111991088249487,15.544783946493785,0.17441214481699507,1.101200819015503
23,1,0.31492969393730164,24531,0.3235755588614037,1.95051169086112,0.16589265287529978,0.41398829221725464
24,1,0.5903425216674805,13291,0.44535290488763596,2.3485626034530096,0.18962786183883687,0.5513520240783691
25,1,1.8347902297973633,9763,2.979118495025963,14.56353983379357,0.20456005401330685,0.9394001364707947
26,1,0.6133962869644165,8227,0.33887413935717364,2.317349200279128,0.14623352376767795,0.5497810244560242
27,2,0.30800992250442505,12402,0.6549276734472776,3.2773999157930933,0.19983147930501877,0.3808504641056061
28,2,1.0209264755249023,5354,2.079959868037988,9.77507518510586,0.2127819815858787,0.7261627912521362
29,2,0.5549470782279968,12622,0.25909651158821634,2.566388597690621,0.10095763043105195,0.5528937578201294
30,2,0.5916558504104614,19590,2.3853527188210437,9.320765161549692,0.2559181223297974,0.5672869086265564
31,2,0.17686747014522552,27052,1.2838100145124078,5.223863609901976,0.24575871622656173,0.24400094151496887
32,2,0.6139113306999207,10900,0.37834752073115885,2.6007678977517013,0.14547531175622605,0.5729860663414001
33,2,0.3079555630683899,16908,0.253109997011099,1.9759974964885734,0.1280922660381693,0.3987223505973816
34,2,0.3576112985610962,14475,0.25117410581211375,2.4346065965671735,0.10316825156317627,0.4543416500091553
35,2,0.40481704473495483,16354,0.39810851395945185,2.5139925771684997,0.15835707614048788,0.4742254614830017
36,2,0.29806846380233765,4829,1.0074360023157323,3.796203929503571,0.26537984287035105,0.3625669479370117
37,2,0.17188501358032227,46394,0.14081762783491358,2.022688850842188,0.06961902606830095,0.3038135766983032
38,2,0.31756114959716797,18348,0.1837119520293402,2.528332153817102,0.07266132013229032,0.44277268648147583
39,2,0.1486627459526062,18771,0.3625726017719305,1.493895469281036,0.24270279228183372,0.269535630941391
