epoch,train_loss,val_loss,val_macro_f1,val_acc,theta_disp,theta_disp_rel,phi_disp,phi_disp_rel,feat_disp,feat_disp_rel,input_jac_op,epoch_secs
1,0.5391984218431612,0.40158901639096556,0.6352811936147719,0.9048488428287601,0.0,0.0,1.0024270369494652,0.023072296005958955,0.0,0.0,1.9015952348709106,28.73
2,0.39296051447611474,0.269746492764381,0.7469085656445322,0.9244789469243102,0.0,0.0,1.4522233704452605,0.03342500375054585,0.0,0.0,,27.26
3,0.3087274992594201,0.20169758287563266,0.716694295644165,0.937005699557383,0.0,0.0,1.8018944890268063,0.04147318606733517,0.0,0.0,,27.49
4,0.3180647229255652,0.16915253217929868,0.8148235251231246,0.9530764569157953,0.0,0.0,2.18814209722068,0.050363228753097206,0.0,0.0,,27.49
5,0.26824764968236925,0.25051462686597226,0.8142813578495349,0.9333619717553563,0.0,0.0,2.4912651511774513,0.05734004060007602,0.0,0.0,6.9191155433654785,28.65
6,0.22452822813607096,0.15978783503213476,0.8439296826261521,0.9538512285115948,0.0,0.0,2.822943446289841,0.06497409227816404,0.0,0.0,,27.06
7,0.2582585226748837,0.2975864475894527,0.7174309161385444,0.919753607290524,0.0,0.0,3.1002475670042022,0.07135664434525922,0.0,0.0,,26.99
8,0.2035378837937093,0.2861116916526947,0.7548119286067904,0.9080936783240386,0.0,0.0,3.262287846262449,0.07508623378182487,0.0,0.0,,26.93
9,0.2680691477675936,0.23074012827329496,0.8213543592614194,0.9379952593183544,0.0,0.0,3.3815374419802944,0.0778309342633341,0.0,0.0,,27.4
10,0.18253904689122594,0.22602908750305364,0.8159352927629728,0.939276317303488,0.0,0.0,3.535914402197458,0.08138414142090411,0.0,0.0,18.58513641357422,28.5
11,0.18593324748515114,0.14063152844876822,0.8704887258570386,0.9612690912159312,0.0,0.0,3.7024872771221613,0.08521805504769717,0.0,0.0,,27.19
12,0.175783460295413,0.12950657207810928,0.8672516813609619,0.9643758486050276,0.0,0.0,3.854810937861407,0.088724002572798,0.0,0.0,,27.16
13,0.3040476852160336,0.5818133380701639,0.6674607834787468,0.8642231955876374,0.0,0.0,4.0793706693985365,0.09389256687330831,0.0,0.0,,27.37
14,0.21219877875211182,0.2615785506922438,0.7974930564381297,0.9265271054993441,0.0,0.0,4.209196461017107,0.09688069367258836,0.0,0.0,,27.17
15,0.16230276772492772,0.2260243293227315,0.7609472975565041,0.9024478179823721,0.0,0.0,4.309398783621568,0.09918699384446938,0.0,0.0,12.655834197998047,28.49
16,0.17322150704298836,0.2693153338060749,0.7487187502961566,0.8921226440423132,0.0,0.0,4.398177642742794,0.10123036661995798,0.0,0.0,,27.6
17,0.18363503152413926,0.16256613530467903,0.8288345973894085,0.9456739362232569,0.0,0.0,4.463841038963746,0.10274170386299242,0.0,0.0,,27.65
18,0.11908328721013611,0.4488789099947491,0.7165073552929538,0.8660335529798022,0.0,0.0,4.6085440996050915,0.10607225234684546,0.0,0.0,,26.82
19,0.13877411088191616,0.43241782958789493,0.7192521104772075,0.8819125351907395,0.0,0.0,4.688384811799661,0.10790990085110519,0.0,0.0,,26.4
20,0.0861182010444044,0.36083485171015783,0.7396933202038654,0.9007371836668943,0.0,0.0,4.819085062858321,0.11091815458860943,0.0,0.0,8.652337074279785,27.93
21,0.12283397834515729,0.41904331947688206,0.7459216917870497,0.908883791931636,0.0,0.0,4.9403416408232586,0.113709048645089,0.0,0.0,,27.22
22,0.17294203305020997,0.5814384714315718,0.702229922495066,0.8663250512039644,0.0,0.0,5.025703749516134,0.11567378000892806,0.0,0.0,,27.01
23,0.08048739237117127,0.5801734950438282,0.711279124919528,0.8652971364134979,0.0,0.0,5.127006314117529,0.11800540382841208,0.0,0.0,,27.43
