epoch,train_loss,val_loss,val_macro_f1,val_acc,theta_disp,theta_disp_rel,phi_disp,phi_disp_rel,feat_disp,feat_disp_rel,input_jac_op,epoch_secs
1,0.8664518349493012,1.6281420532194915,0.047591243571912356,0.0787582175650693,0.0,0.0,1.1319116296428544,0.025621843457377513,5.67147970199585,0.0016863271568681752,1.847184419631958,39.35
2,0.5729254643946468,1.4520504865240271,0.11851773640927166,0.2043709391612522,0.0,0.0,1.94688405917353,0.04406948147493378,8.862984657287598,0.0026352720108000116,,37.77
3,0.5031890940214938,0.8720158073729682,0.4508065201275936,0.7537837236596835,0.0,0.0,2.2583937254787574,0.051120784506470604,10.079477310180664,0.0029969773689241495,,38.28
4,0.48991032010932056,0.3448509162414493,0.5265235006903736,0.8567823198656039,0.0,0.0,2.51103733838805,0.056839601179915884,11.546666145324707,0.0034332233764848403,,38.19
5,0.44321567807270085,0.4621549933181066,0.5944691292957947,0.8909106251102707,0.0,0.0,2.6964170987017204,0.061035839715270185,12.890814781188965,0.003832885275429404,6.8308305740356445,39.27
6,0.4044658385785313,0.2865612773497576,0.5854698045792842,0.885111344650624,0.0,0.0,2.9925008186964823,0.06773796250057756,15.035561561584473,0.004470592704605913,,37.8
7,0.43163081970219114,0.37210976035805393,0.4983571476605161,0.8340224453632605,0.0,0.0,3.2415665545646712,0.07337579069130372,17.45676612854004,0.005190500599569126,,37.73
8,0.35090808296927456,0.31012469066511117,0.5256226279433801,0.8518958891079387,0.0,0.0,3.4538373369472204,0.07818073183189152,19.797901153564453,0.005886601049193342,,37.79
9,0.3916166049273928,0.20255280315170504,0.6707608146723393,0.9331625256019822,0.0,0.0,3.794411873569952,0.08588994448983535,23.551164627075195,0.007002576148255272,,38.24
10,0.42914380267830443,0.4639310923781826,0.44913780626550626,0.8059849188024025,0.0,0.0,4.029518419794237,0.09121179379803972,25.96099090576172,0.007719100884410738,14.579578399658203,39.17
11,0.34089456676473623,0.4397591087814872,0.583876403958457,0.8237432974585958,0.0,0.0,4.173902595501028,0.09448006019870311,29.751684188842773,0.008846205160983892,,38.02
12,0.3473680055730561,0.4028569197763727,0.588821155172162,0.8118992643505343,0.0,0.0,4.36176584782582,0.09873251482184218,31.060054779052734,0.009235229008982902,,37.97
13,0.32900050574228207,0.2881332845213163,0.6970847799127615,0.880639148211505,0.0,0.0,4.473822372757048,0.10126901560951546,31.168502807617188,0.009267474360334984,,38.15
14,0.2536221061924145,0.2209005861841867,0.756929104269207,0.9200988025559792,0.0,0.0,4.644521447277446,0.10513294354447346,33.183528900146484,0.009866611340483979,,38.09
15,0.325347510361108,0.2849473751355374,0.6998985640168517,0.8733670346192496,0.0,0.0,4.710215772906098,0.1066199940201598,34.43840408325195,0.010239729152931759,14.67326545715332,38.79
16,0.26610422104489884,0.31579187777538326,0.6595398649922746,0.8494871932556516,0.0,0.0,4.812599207860799,0.1089375356677049,35.9692268371582,0.0106948957263668,,37.99
17,0.24911200540592154,0.4972452584938231,0.5651209162341764,0.7814683839491873,0.0,0.0,4.967533145094437,0.11244460546191484,36.39399337768555,0.010821193516407049,,37.96
18,0.20389563538618977,0.3607915367297667,0.6829441627805651,0.8591066346530021,0.0,0.0,5.0459456806849765,0.11421954412265707,38.533348083496094,0.011457297695235808,,37.5
19,0.29408109329289905,0.4979244757131266,0.6024567419772138,0.8002316643781499,0.0,0.0,5.133333169294718,0.11619763896209134,39.600425720214844,0.011774576799073965,,37.38
