step,epoch,loss,n_valid_px,grad_theta_norm,grad_phi_norm,egr,r_rms,grad_total_norm_preclip,clip_coef,upd_theta_norm,upd_phi_norm
0,1,1.3789573907852173,11491,17.947315680535322,18.164327430776712,0.9880528606925086,0.8693205714225769,18.16432762145996,0.05505295686065521,0.0,0.12832773676026163
1,1,1.2053446769714355,27767,10.101213937456613,11.021262081428656,0.9165206183125539,0.8059335350990295,11.021262168884277,0.09073370127148808,0.0,0.09071501278655873
2,1,1.2034764289855957,14921,5.236816565596788,8.644207687965064,0.6058179945036678,0.7940831184387207,8.644207000732422,0.11568439814443039,0.0,0.07915071288612711
3,1,0.8651278614997864,11855,5.569887548988021,9.69256539796114,0.5746556582593798,0.6678398251533508,9.69256591796875,0.10317184379156888,0.0,0.07171322154232432
4,1,1.0821375846862793,4902,6.266806626618898,6.408797666072441,0.9778443560160734,0.7593724131584167,6.408797740936279,0.15603548190903357,0.0,0.06401303699981363
5,1,0.9049164056777954,14058,4.3069698977727775,5.661460477916358,0.7607524444570798,0.6707415580749512,5.661460876464844,0.1766328241398359,0.0,0.06081386450599597
6,1,0.6513556241989136,7432,6.381022581706242,6.7618553012304705,0.9436792562751423,0.5587438941001892,6.761855125427246,0.14788838766320472,0.0,0.05896006323870976
7,1,1.516034722328186,13732,4.791647781114977,8.427687687245712,0.5685601981153133,0.9024268388748169,8.427687644958496,0.11865649552658869,0.0,0.053356469124492635
8,1,0.45032384991645813,22944,3.7713991587184217,7.292326276848375,0.5171736720957365,0.42994052171707153,7.2923264503479,0.13713043014165419,0.0,0.053389263245944195
9,1,0.8510816693305969,14928,5.935527594367802,7.678940800449585,0.772961759780661,0.642618715763092,7.678940773010254,0.13022627720850471,0.0,0.046290254443439816
10,1,0.6081427335739136,15884,4.149520588956529,6.452241954113888,0.6431129859149486,0.5215620994567871,6.452241897583008,0.15498486586340343,0.0,0.04802529484047004
11,1,1.8994605541229248,1701,6.934978954942813,11.723098287758594,0.5915653681914288,1.0159653425216675,11.723098754882812,0.08530167113723382,0.0,0.04963142105308945
12,1,1.895953893661499,4008,5.237487414216116,10.15858184091862,0.5155726947160161,1.0173677206039429,10.158581733703613,0.09843892856060053,0.0,0.04752494465331287
13,1,0.6715038418769836,24747,3.483426910190546,4.896328935852753,0.7114364569510188,0.5633702278137207,4.896328926086426,0.20423460328362456,0.0,0.046012109435673416
14,1,0.8081108927726746,8508,3.8669723296767557,6.127889522456287,0.6310447202915789,0.6269091963768005,6.127889156341553,0.163188303720675,0.0,0.04753466889535847
15,1,0.6948225498199463,11692,3.5164228424153356,4.048651250668327,0.8685417994039365,0.577801525592804,4.048651695251465,0.24699574778860828,0.0,0.05447987131723889
16,1,0.7425312995910645,20376,1.9229392229818445,2.2651924105239187,0.8489076751481067,0.6065227389335632,2.2651925086975098,0.4414633876356999,0.0,0.06016215915605922
17,1,1.5424262285232544,10108,14.874017250233667,15.722047709795334,0.9460610681753457,0.9325541853904724,15.722046852111816,0.063604945704683,0.0,0.06057419721202658
18,1,0.7730534076690674,3489,3.486474469530817,3.5580468064269795,0.9798843745484574,0.6293435096740723,3.55804705619812,0.28105297742058316,0.0,0.064397889565881
19,1,0.6778165102005005,24763,3.869853878762253,5.311822742918308,0.7285359595104698,0.5674707889556885,5.311822414398193,0.18825927030808415,0.0,0.06138512517609644
20,1,0.696962833404541,16002,4.978091114455454,5.52644615444446,0.900776190581553,0.577938973903656,5.526446342468262,0.18094807351468814,0.0,0.06714092157798238
21,1,0.3321938216686249,13971,7.785463471579226,5.793826075424446,1.3437516712145232,0.34386664628982544,5.793826103210449,0.17259748732334185,0.0,0.06830382812494712
22,1,0.6467111110687256,8494,2.7549460754443134,3.3521971112492728,0.821832960298924,0.5672853589057922,3.3521971702575684,0.29831171941817636,0.0,0.06751471499292137
23,1,0.594620406627655,43155,1.60509559025873,2.5256254676875085,0.6355239962510112,0.5387102961540222,2.525625467300415,0.39594136858601947,0.0,0.06592157165961399
24,1,0.9398794174194336,12944,4.383002237984119,3.4114934742974845,1.2847752079858246,0.708576500415802,3.4114935398101807,0.29312665998159304,0.0,0.06697294659981065
25,1,1.2076303958892822,13306,8.610322709722265,7.632051488360471,1.1281793267318247,0.8108026385307312,7.632051467895508,0.1310263528987169,0.0,0.06995860997122713
26,1,0.714974045753479,16586,4.817505846322292,7.369091604225697,0.6537448718318429,0.609113335609436,7.369091510772705,0.13570191967845746,0.0,0.0615304736378185
27,1,1.3670135736465454,15138,4.42721720175343,6.688974765284781,0.6618678283448839,0.8649551272392273,6.688974857330322,0.14949971734523737,0.0,0.058430280758749606
28,2,0.6548502445220947,10626,5.072022700672288,2.9418359605831985,1.7241011288967554,0.570349395275116,2.941835880279541,0.33992367377792115,0.0,0.06009231284263328
29,2,0.30456000566482544,8853,1.8620559854404777,3.178957416369139,0.5857442367273505,0.3569277822971344,3.178957462310791,0.31456843864298184,0.0,0.06201366911383931
30,2,0.36287811398506165,19328,11.268711043051312,6.161436269538478,1.8289097785139576,0.3844018280506134,6.161435604095459,0.16229981159512502,0.0,0.06427786191008701
31,2,0.8366008400917053,15276,4.874945224552537,3.787459420887357,1.2871280409412564,0.671821653842926,3.787459373474121,0.264029165031958,0.0,0.06210553112095893
32,2,1.514159083366394,17613,13.92560428972518,13.735906014197539,1.0138103941109202,0.9427811503410339,13.735904693603516,0.07280189761827473,0.0,0.05676155324374123
33,2,0.3543331027030945,27376,6.210191828273034,4.051310069038835,1.5328848501948547,0.3919917345046997,4.051310062408447,0.24683367546838383,0.0,0.0530271097953065
34,2,0.4445440471172333,30185,4.90887361585128,2.9582485819051856,1.659385098965613,0.45522359013557434,2.9582483768463135,0.3380377624100322,0.0,0.0586941612162183
35,2,0.1054718866944313,4734,1.9893292436247358,2.896905082558524,0.6867084653899288,0.12668472528457642,2.896904945373535,0.3451958810043649,0.0,0.05645720333676105
