step,epoch,loss,n_valid_px,grad_theta_norm,grad_phi_norm,egr,r_rms,grad_total_norm_preclip,clip_coef,upd_theta_norm,upd_phi_norm
0,1,1.3789573907852173,11491,17.947315680535322,18.164327430776712,0.9880528606925086,0.8693205714225769,18.16432762145996,0.05505295686065521,0.02456114418763276,0.1283277367575786
1,1,1.1489359140396118,27767,7.120202842138385,9.285257910949124,0.7668287634467875,0.7836012840270996,9.285257339477539,0.10769759584914983,0.020237024705399283,0.09121944695922657
2,1,1.156052827835083,14921,4.906637577372812,7.9639293958188855,0.6161076189284416,0.7722987532615662,7.963929176330566,0.12556614358223273,0.017954894374984372,0.07710538116338059
3,1,0.8022180199623108,11855,4.6322817828145535,9.11787125160865,0.5080442194220257,0.6349861025810242,9.117871284484863,0.1096747101515798,0.016856159901100145,0.06916420447591436
4,1,1.0091164112091064,4902,6.154477556556457,6.287947021097503,0.9787737612778535,0.7279476523399353,6.287946701049805,0.15903440161136279,0.015495591371150018,0.06355776867633374
5,1,0.8458220362663269,14058,3.472232616833368,5.487007474127795,0.6328098937726844,0.6423804759979248,5.487006664276123,0.18224869750239825,0.014912043709136851,0.06019244202801991
6,1,0.5640466809272766,7432,5.049150928088188,6.024343376790736,0.8381246904915158,0.5072801113128662,6.024343490600586,0.16599316349857457,0.014716004680713974,0.05877406567952849
7,1,1.513145923614502,13732,4.493140184305985,8.570129356900228,0.5242791557968509,0.8972557783126831,8.57012939453125,0.116684338973199,0.013046594712991513,0.05295773353081984
8,1,0.3770274519920349,22944,2.334844020723116,6.523230660494258,0.35792755802166426,0.3736094832420349,6.52323055267334,0.15329825285600687,0.0123034652450435,0.05309874262414098
9,1,0.8581279516220093,14928,7.790673857352552,7.927604154386315,0.9827274048542165,0.6467458009719849,7.927604675292969,0.12614149100737715,0.011154717800433254,0.045462033127613544
10,1,0.5553918480873108,15884,3.7624706178456653,6.018446161799558,0.6251564800440177,0.4932621121406555,6.01844596862793,0.166155821462356,0.01140936631476551,0.04753831849184041
11,1,1.831965684890747,1701,6.1444294333600356,10.907846468257546,0.5633036228773582,1.0096776485443115,10.907845497131348,0.09167712437674932,0.01074824539692159,0.05030334164591851
12,1,1.8898087739944458,4008,3.8085225103518767,10.579803812981053,0.35998044743311697,1.0215202569961548,10.579803466796875,0.09451970526849997,0.010656519892615115,0.047776202773858724
13,1,0.6067613363265991,24747,2.43220071125666,5.012493761573372,0.4852276784665227,0.5295059084892273,5.01249361038208,0.19950146139384567,0.009957333414540562,0.04531636956794257
14,1,0.7293407917022705,8508,3.4515167219485536,6.431432857359501,0.5366637261863723,0.5991134643554688,6.431433200836182,0.15548631436981586,0.010006273340139494,0.047137421877313575
15,1,0.6242260932922363,11692,3.0050226128835447,3.745871355882911,0.8022225878535146,0.5411624908447266,3.7458713054656982,0.2669605150556986,0.009820390068171614,0.054675059283002286
