epoch,train_loss,val_loss,val_macro_f1,val_acc,theta_disp,theta_disp_rel,phi_disp,phi_disp_rel,feat_disp,feat_disp_rel,input_jac_op,epoch_secs
1,0.9568449712236381,1.4212717932750425,0.1755305482332518,0.16013991914759781,0.24310507307793308,0.05274010285939611,1.676481016126177,0.020089470387596918,3309.670166015625,0.9840794597685814,1.665013074874878,41.36
2,0.5501329950071853,1.81658975946864,0.0362800766065238,0.07663334893104533,0.35016798432982466,0.07596672203422936,3.8365408751684007,0.04597372326982552,3875.383544921875,1.1522856218249404,,39.49
3,0.6010971274144974,1.3154402867413026,0.09442336782965965,0.20449367525563628,0.3957268567515929,0.0858504302895149,6.049395283322769,0.07249061948103479,4148.1240234375,1.2333808033057567,,40.17
4,0.6604786322387406,0.39596973516819656,0.5769426132042423,0.8705747884720123,0.43169991271625935,0.09365455649602611,8.204415000496557,0.0983144757468739,4012.8662109375,1.1931639755320336,,40.21
5,0.5871524990740602,0.632767519020084,0.4020613920559351,0.8117611862443522,0.466964962755029,0.10130508530991983,10.224700340285697,0.12252379402592767,3848.28662109375,1.1442287687777761,3.8583500385284424,40.67
6,0.5432453213783682,0.9984110733821723,0.3372802855354642,0.6504552742001058,0.5076052903195485,0.11012174647151228,12.192473017141063,0.14610384685143066,3675.587890625,1.0928794605816057,,38.8
7,0.5283005481264615,0.4200680800336493,0.41471320563021363,0.8541665068540437,0.5664449218178024,0.12288663112874058,14.177164301702396,0.16988663735498608,3760.637939453125,1.1181677829538712,,39.5
8,0.4983815736160522,0.9528843173019274,0.19944460561609284,0.1273386979234587,0.5966592089048846,0.1294414289724088,16.10604537910847,0.19300064754239932,3445.26806640625,1.024397407439724,,39.34
9,0.6846524198108674,0.3781605368001669,0.5148432132653888,0.8519342441374338,0.6196562007249189,0.13443048040884875,17.984621559009273,0.2155118481906277,3516.814697265625,1.045670696411935,,39.69
10,0.46792657747994454,0.38669193794668233,0.5278324300905027,0.8580940618743336,0.6478223295522929,0.14054094331568615,19.80907921496598,0.2373745401628034,3674.845458984375,1.0926587099656309,4.770467281341553,41.04
11,0.5541958688390883,0.558200255128314,0.4509051871280839,0.8053942513481793,0.6863766943435204,0.14890506809113327,21.5839046778412,0.25864248369250287,3568.484619140625,1.061033952039987,,39.51
12,0.5240000639451797,1.1398203652362524,0.2552460334173538,0.34927624059342904,0.7162916185364215,0.15539492105466587,23.309415705858378,0.2793194865141167,3760.242919921875,1.118050329978979,,39.2
13,0.4258210669479516,0.3504872251197527,0.4301066026554803,0.8708356026725784,0.7355765394977104,0.1595786622751037,24.986032654264946,0.2994105857943139,3806.14794921875,1.1316994835698677,,39.66
14,0.5150859187728202,0.3693957978942002,0.503642633188145,0.8434501116131359,0.7516172377231316,0.16305858996083344,26.615491994016804,0.31893658987002865,3643.563720703125,1.0833575667808724,,39.28
15,0.5693368460653395,2.2689165014920007,0.11433201275279092,0.08059158797493116,0.7788850465760064,0.16897416804994206,28.199039563072237,0.33791242776493025,3771.68896484375,1.1214536351840911,4.996412754058838,41.04
16,0.42675055866123884,0.4049817199418094,0.43774164965967804,0.8794117872676644,0.8043310246162959,0.17449451150559914,29.68616507210803,0.3557328287053761,3741.7080078125,1.1125392592738852,,39.04
17,0.6232268244705835,0.48689829723084643,0.36204708020475157,0.7884720123349774,0.815848383513522,0.17699312942918954,31.186152436216872,0.37370735477705463,3610.145263671875,1.0734211031781555,,39.88
18,0.5984566632606386,0.3692932687776666,0.4457436563428443,0.8877961967152753,0.828627919488041,0.1797655686599226,32.64473112752658,0.391185675822857,3551.47216796875,1.0559755616509794,,39.28
19,0.5151931845155824,0.2901839218898722,0.6250507382017432,0.9140924049370593,0.8514014625523971,0.18470614430682403,34.06187963886628,0.40816753411980966,3374.38134765625,1.0033203331715512,,38.5
20,0.5081237866990859,0.539487071911594,0.360130423509315,0.7829642300994929,0.8703941306936266,0.18882648313258646,35.43938352971069,0.42467432623837637,3350.806396484375,0.9963106844604778,4.8089399337768555,40.7
21,0.48608713275239035,0.43165265895035515,0.6098034636509916,0.904549673598699,0.8955735044193729,0.19428898847407441,36.730665225003136,0.44014790758531314,3440.69580078125,1.023037914662356,,38.74
22,0.44668687769416177,0.357348216509896,0.4492078488306437,0.8925982464080515,0.9122659683589563,0.19791031259538625,38.03333881392381,0.45575799934155453,3358.05908203125,0.9984671588270556,,38.99
23,0.5249138504689349,0.32789374208583094,0.5490556735939846,0.8687797730916456,0.9286892444154907,0.20147323811373696,39.29947110381236,0.4709302123877068,3332.65380859375,0.9909132919745935,,39.57
24,0.5227399462903569,0.31119932053982424,0.4487207898592588,0.8921226440423132,0.947928631186979,0.20564710098065753,40.53029360404845,0.48567930404638626,3346.818603515625,0.9951249756274189,,39.08
25,0.5181253863316851,0.4114301201055582,0.39816767709393364,0.7994568927823505,0.9651077465332283,0.20937400103635553,41.68504533826861,0.49951683071474434,3327.400634765625,0.9893513416280202,6.712097644805908,40.01
26,0.49186328444976524,0.38933327722747507,0.5016901979753973,0.8432429944538627,0.9864698251598647,0.21400836843064738,42.85039627181076,0.5134813688427391,3491.01611328125,1.0379998847247687,,39.55
27,0.4957030610998104,0.5922160988672839,0.4271902103185276,0.8105031412769157,1.00293360990795,0.2175800820525619,43.98294311370361,0.5270528116589221,3451.915771484375,1.0263740001797363,,39.35
28,0.4515533350234139,1.4237067402170434,0.17928401345921985,0.3401707565913118,1.021102571340431,0.22152172293510433,45.043990599651195,0.5397674692325776,3387.820556640625,1.0073162750188267,,38.79
29,0.4225970780253688,0.37649088105987155,0.45491345383623266,0.8229148288215034,1.040650838812329,0.22576259550982178,46.07613820481861,0.5521358161152358,3500.543701171875,1.0408327662730807,,38.58
30,0.5049491218876119,0.27322068004382155,0.6508201589638392,0.9271714699948604,1.0625459997658946,0.23051261173200033,47.1175476479261,0.5646151486978465,3582.282470703125,1.065136530735295,9.659010887145996,40.32
31,0.4427280292162064,0.36259487626791914,0.4403910648899694,0.8792583671496843,1.0721620047557892,0.2325987429913876,48.130211701125184,0.5767500218718566,3485.2919921875,1.0362979054606631,,39.82
32,0.4884222370352505,0.6100780582392726,0.46942609601121316,0.7973320241483266,1.088817756112933,0.23621210255091724,49.08029685753963,0.5881350047209836,3347.616943359375,0.995362349686688,,38.57
33,0.4853483403647302,0.3565902005004023,0.45080181922071105,0.8226846986445333,1.1154698859771397,0.2419941129905333,50.00535145202474,0.599220043384744,3213.986083984375,0.9556292713719771,,38.96
34,0.5251578181515485,0.2934705265816642,0.4488833204291634,0.8924064712605764,1.1262248047652648,0.24432732437089943,50.93824775880529,0.6103990502148194,3166.846923828125,0.9416131679738694,,39.22
35,0.4668447237797356,0.3899189721902928,0.46466497658766526,0.8452604690053007,1.1387005601157514,0.24703386032304056,51.844743722576276,0.6212616986107633,3237.677734375,0.9626736187987479,9.262032508850098,40.51
36,0.5295242205011015,0.7496890181216197,0.3723490973741448,0.7382729497318984,1.155915289194452,0.25076848655198913,52.725859851530224,0.6318202174429993,3293.11181640625,0.9791560894866811,,39.36
37,0.4890716412505668,3.0542290941007773,0.07869695633536856,0.1850630173134603,1.1693954174847494,0.25369291483967127,53.58172417687243,0.64207614092461,3345.9912109375,0.9948789631849531,,39.46
38,0.5138895237193084,1.0165174310164442,0.3092533267116457,0.4052745836561548,1.1993248609888056,0.26018591767561944,54.415222201489556,0.6520640463781161,3328.830322265625,0.9897764371910417,,39.49
39,0.45257430394111475,1.0029044723782519,0.3445552079694365,0.5724258021954419,1.2331467807433985,0.26752336853246617,55.195559860917996,0.661414924885311,3374.099365234375,1.0032364900405248,,38.57
40,0.4117681976488714,1.5869500653788973,0.24437549083766796,0.23376623376623376,1.2525120289547107,0.27172453624003984,55.982183698908884,0.6708411314140381,3378.74658203125,1.0046182683947111,8.507240295410156,40.26
41,0.5053799572251275,0.31129688603163813,0.4426639156898321,0.8846280712789868,1.26792463318747,0.2750682029199462,56.747293124143766,0.6800095281889948,3289.859375,0.9781890261173893,,39.03
42,0.45599949594130923,0.42334009789274996,0.3633239579871994,0.7894845851136459,1.2832322487513341,0.2783890929743939,57.4914284065351,0.6889265893284702,3343.479248046875,0.9941320696999926,,39.15
43,0.5125216627004263,0.3961204779276034,0.44301631587318935,0.8193247980607697,1.298337135154741,0.2816660022239997,58.21429617163246,0.6975887992917107,3291.262939453125,0.9786063543946795,,39.21
44,0.44857664693610105,0.9655823875136186,0.37271199406632244,0.5643559039896902,1.3115528413004687,0.2845330658054404,58.89205821813437,0.705710502091841,3309.312255859375,0.9839730406949151,,38.97
45,0.4505938763991043,2.096558254902012,0.266144916869014,0.2251593651475518,1.3266977158149251,0.2878186502219739,59.57557716509835,0.7139011905113994,3291.490478515625,0.9786740096311439,12.06185531616211,40.12
46,0.4335427732836961,0.3424838642279612,0.45137466705266355,0.8934650700746389,1.3496922248113687,0.29280716302559184,60.21676916871351,0.7215846701604295,3273.9833984375,0.9734685489534272,,38.51
47,0.37636146672079235,0.3965024103243561,0.5616855454264541,0.8733440216015527,1.3672744287379868,0.2966215105908006,60.863430902592576,0.7293336942344234,3393.51123046875,1.0090083092535378,,39.63
48,0.4687806083676054,0.4188894883123169,0.6150196765317885,0.9048565138346591,1.3814214401527583,0.29969061494029686,61.49137504161148,0.7368584231544292,3425.63623046875,1.0185601833253652,,39.88
49,0.3899150415563755,0.7096321492564899,0.4767459300162341,0.7834935295065242,1.3917693669391273,0.30193553198865336,62.08111663796595,0.7439253664853315,3403.28369140625,1.0119140000316498,,38.76
50,0.3272422000016322,0.4733767672087155,0.3934370241262234,0.7979994016615399,1.4012150804867418,0.30398471960030754,62.654719707149496,0.7507989199355367,3420.869140625,1.017142762566561,16.11545181274414,39.93
51,0.48775998483240396,0.36729079274363413,0.5038105203448787,0.843810648890389,1.4150120197504357,0.3069778780181855,63.23417654019302,0.7577426197307287,3443.847900390625,1.0239751429434645,,39.14
