step,epoch,loss,n_valid_px,grad_theta_norm,grad_phi_norm,egr,r_rms
0,1,1.1834065914154053,12157,6.3267474146774445,6.379191274512759,0.9917789171731158,0.8011029958724976
1,1,2.101705551147461,10335,20.698467194204223,20.666847090859527,1.001529991643364,1.0428812503814697
2,1,0.8650519847869873,22199,7.9815630654977126,9.129059118697436,0.8743029223186446,0.672213613986969
3,1,1.569188117980957,11221,6.578399000102745,7.967398715720246,0.8256645907681598,0.9090791344642639
4,1,0.969322919845581,3989,6.590059088064757,7.772837553989571,0.8478318300478858,0.7100052237510681
5,1,0.794418215751648,35013,6.774126803162274,8.362844260109766,0.8100266598857542,0.6338185667991638
6,1,0.7758212089538574,21241,6.154200488673597,7.857686813492788,0.7832076582773901,0.6227046251296997
7,1,1.4045134782791138,8591,9.45408456519399,10.290723444643922,0.9186997023142914,0.8768668174743652
8,1,1.8059444427490234,6361,10.992009121465946,11.858278654236322,0.9269481213901284,1.0007779598236084
9,1,0.5870197415351868,18570,6.071740727454562,6.734990704893752,0.9015217679575765,0.5252832770347595
10,1,0.6984906196594238,10974,4.348163585418424,5.23676623437537,0.8303146237224075,0.5833133459091187
11,1,0.8930586576461792,13271,4.48916402158404,6.849784716151301,0.6553730091689244,0.6906064748764038
12,1,0.5334547162055969,7400,4.485265556988369,5.674721803395439,0.7903939104651517,0.4912697374820709
13,1,0.659285843372345,16977,3.4317815205682876,4.537685112742029,0.7562846330898834,0.5774174332618713
14,1,0.5051900744438171,36208,3.406300675601643,4.490746818749345,0.7585154124875659,0.4858492612838745
15,1,0.544831395149231,12692,4.370698830881343,5.217868669193395,0.8376406360484635,0.5150425434112549
16,1,0.7166416645050049,10161,4.770947295359369,9.220300519445644,0.5174394571301562,0.6182237863540649
17,1,0.4498632848262787,8574,2.582017399324952,4.452885579809435,0.5798526265826196,0.47502613067626953
18,1,0.29852530360221863,7433,3.9988164342800627,4.292741296299227,0.9315297983893208,0.33649060130119324
19,1,0.1287911981344223,33387,1.7183805588833372,2.573873530483838,0.6676243174075641,0.18731236457824707
20,1,0.8085023760795593,21567,4.838630185449999,7.087104442807979,0.6827372482649916,0.6242457032203674
21,1,0.38537347316741943,18754,3.0135101650760614,2.6889752301357457,1.1206909350826604,0.4412127137184143
22,1,1.9448837041854858,7420,10.77404261183824,14.74137932497474,0.7308707261595394,1.0037412643432617
23,1,0.29680949449539185,13237,2.60136921482694,2.2452505446623117,1.15860976896769,0.38042324781417847
24,1,0.9306610822677612,13875,5.482628003396267,5.4291231568209195,1.009855154327659,0.7215244174003601
25,1,1.3732969760894775,9330,7.912536293176852,12.19831781420721,0.648657988231835,0.8033754229545593
26,1,0.5767927169799805,12323,2.408475564983845,2.878118767378631,0.8368228553600064,0.5654051303863525
27,1,0.4283618628978729,31970,3.9814353720064024,5.10136269998506,0.7804650651515687,0.4837103486061096
28,2,0.694225013256073,9049,2.031865540186281,5.933442811254956,0.34244292981669233,0.6383041143417358
29,2,1.3703175783157349,5994,7.693917425892819,10.720493727608826,0.7176831236865251,0.8445233106613159
30,2,0.38569656014442444,21099,8.027127049995455,4.806246777153351,1.670144589360453,0.43622323870658875
31,2,0.7337415814399719,31508,2.3717486562748413,3.6139457127716823,0.656276780221802,0.6192976236343384
32,2,0.33680567145347595,23391,6.1435909339913275,4.727979107524744,1.2994116078500195,0.4088662564754486
33,2,0.2938239574432373,32153,4.969187975120438,4.162292177465371,1.1938585191165587,0.37176090478897095
34,2,0.19659359753131866,26557,3.448745504987223,3.1138608382613753,1.1075464460742321,0.2835667133331299
35,2,0.17301435768604279,36610,1.0856549011928769,2.079415772219028,0.5220961174271603,0.2767467796802521
36,2,1.1403268575668335,3365,9.9398298111659,15.40210633385634,0.6453552258184252,0.8345626592636108
37,2,0.6487557291984558,7816,5.63930726444439,3.106719428843425,1.8151968317724738,0.6042923331260681
38,2,0.4584040939807892,11193,3.202572211972682,2.12057682748047,1.5102363519534716,0.5173786878585815
39,2,0.809807300567627,16117,2.390213376181044,4.283194716675472,0.5580445285092527,0.6649733781814575
40,2,0.30960145592689514,17066,1.3994246254185119,1.5054287620808071,0.9295854182321416,0.4034963548183441
41,2,0.20633485913276672,9892,2.1622216282544864,3.1482711567161217,0.6867965053268016,0.3248809576034546
42,2,0.19071295857429504,46523,3.1303725789291637,3.3987838380558704,0.9210272638929691,0.27952778339385986
43,2,1.5117267370224,16664,8.591048936317774,12.4243027540835,0.6914713128262637,0.9213407039642334
44,2,0.8000627756118774,10557,1.9334147052545896,3.832956524075226,0.5044186369216798,0.6856895089149475
45,2,0.22020700573921204,2049,5.260085454907632,2.4906925618000906,2.111896721249255,0.35705244541168213
46,2,2.1058666706085205,3580,13.403638180715705,21.49649288040677,0.6235267424916547,1.0811398029327393
47,2,1.2278958559036255,7402,8.427503753725343,15.10166724802482,0.5580512148304048,0.8560553789138794
48,2,0.2949966788291931,14876,15.162980746127712,4.760307147117017,3.185294620181741,0.3760533928871155
49,2,0.9278254508972168,16762,14.448497992466217,8.76973278602024,1.6475414183082981,0.7381960153579712
50,2,0.23854655027389526,15908,1.301155655049599,3.9753952172409974,0.3273022137286515,0.35917896032333374
51,2,0.2528691291809082,16470,5.897865439458512,4.582423061257128,1.2870626218084766,0.36103713512420654
52,2,0.3453127145767212,14128,3.152648532887069,1.3497663778656996,2.335699410345231,0.4304499328136444
53,2,1.6685998439788818,9003,26.598729887740227,21.280750747273906,1.2498962185883558,0.9284436106681824
54,2,0.849305272102356,5690,4.11506265029666,6.578905214483357,0.6254935306313257,0.6933445334434509
55,3,0.6021725535392761,12977,4.792276271798224,4.459543434285455,1.0746114131221614,0.5900729298591614
56,3,0.2536791265010834,24793,9.00929881899699,4.194844572116833,2.147707421361861,0.34245529770851135
57,3,0.23591428995132446,30274,5.519842939492466,2.3369414890948357,2.3619944980428658,0.34919479489326477
58,3,0.1849871426820755,40079,4.310507493731837,3.466809022213744,1.243364565544514,0.2808621823787689
59,3,0.12255439907312393,7535,3.1942332340761337,3.4977235051848266,0.9132320577484957,0.15391533076763153
60,3,0.24187327921390533,21996,0.6485957676425733,1.0086333735504214,0.6430441274799906,0.38306349515914917
61,3,0.2659722864627838,6932,7.649117273003224,2.6432246921404836,2.8938581331146973,0.35595452785491943
62,3,1.0233871936798096,7003,16.704710811065297,6.862563993918298,2.4341792405676386,0.7544984817504883
63,3,0.44113433361053467,12925,2.5276427762753255,13.76411153663909,0.18364009689595553,0.5146983861923218
64,3,0.22958625853061676,34070,1.5316695592205707,1.2859729841267449,1.191058893246873,0.35917288064956665
65,3,0.4523938298225403,20400,2.2641651580475424,1.921841446635243,1.1781227645030037,0.5070952773094177
66,3,0.19895707070827484,11859,1.1881178704096966,1.659397832419925,0.7159933845859797,0.33867740631103516
67,3,1.8471297025680542,11049,16.545906708567173,19.419451802794264,0.852027486490918,1.038259744644165
68,3,0.4035780727863312,17762,4.146742422346275,4.206993996480286,0.9856782362453085,0.4763485789299011
69,3,0.280682235956192,19443,5.766430144705709,2.2070709644053923,2.612707175120956,0.3836264908313751
70,3,0.6077037453651428,2361,10.878502994098634,4.230841717051077,2.5712384725369604,0.6187201738357544
71,3,0.23685267567634583,9827,4.657631074020744,2.5022323224352996,1.8613903402406051,0.34234586358070374
72,3,1.1262820959091187,5898,28.387321586502942,16.17761970339819,1.7547279579416923,0.7905020713806152
73,3,0.7411758899688721,30185,9.490837095302698,6.941085908524203,1.3673418281202703,0.6839200854301453
74,3,0.5218533873558044,19355,14.297881410957958,8.954890178370896,1.5966562544218137,0.5772648453712463
75,3,0.6848388910293579,11462,3.2154657589544615,3.6620312161227258,0.8780552565464049,0.6473628878593445
76,3,0.8882948756217957,10353,3.365797990838957,6.0371177856399605,0.5575173634750626,0.7064915895462036
77,3,0.4311143457889557,23607,8.257574592274635,7.565144378105004,1.0915290151199977,0.5317675471305847
78,3,0.19429464638233185,10951,6.542751279035675,3.4003339228754945,1.9241496357219146,0.3152904212474823
79,3,1.250421166419983,12495,24.70948388271512,16.411894130465345,1.5055839189728553,0.8894458413124084
80,3,0.050714507699012756,5384,2.748953099816541,2.2086192003508964,1.2446478321743077,0.07333288341760635
81,3,0.31488123536109924,14852,4.200924435560194,2.700420995607607,1.5556553746218416,0.41778111457824707
82,4,0.3450166583061218,43069,1.7928513299406512,1.327083346831909,1.350971161094968,0.444652259349823
83,4,0.5719955563545227,9439,11.937021934963873,15.50492096753848,0.7698860226346702,0.5812098383903503
84,4,0.5283246040344238,23290,12.35320420185637,5.1558434224758,2.3959618610609494,0.5785501599311829
85,4,1.9627176523208618,13730,26.26719000952117,23.547042167784777,1.1155197252526592,1.0436456203460693
86,4,0.3807559907436371,17778,3.2987081484452947,5.870269745664337,0.5619346795572882,0.47519493103027344
87,4,0.6316473484039307,6956,8.44192547064327,8.747349202031115,0.9650838529096458,0.5745158195495605
88,4,0.6357401013374329,9806,15.954468792877423,6.852555570002987,2.3282509174702164,0.6556748151779175
89,4,0.8337444067001343,10072,14.927536965732001,13.243445859506414,1.1271641175635256,0.7266875505447388
90,4,0.30256155133247375,14333,12.879122472214917,6.203556223743961,2.07608700682333,0.4147690534591675
91,4,0.2336544245481491,8124,6.011782204019086,4.32653654691561,1.389513792112423,0.32998985052108765
92,4,0.3790133595466614,24287,30.475036410780135,11.72410128033238,2.599349466717807,0.41714316606521606
93,4,0.6759665608406067,6518,13.359007213508272,11.075944863409488,1.2061279988527125,0.6521031260490417
94,4,0.22705578804016113,20563,9.34990456272491,4.583421773540484,2.039939814550494,0.36670786142349243
95,4,0.134404256939888,17947,6.283549177408351,3.721061690827076,1.6886441826257454,0.1930895298719406
96,4,0.41100186109542847,6546,6.378933758744105,9.445055473366745,0.6753728209146899,0.46833255887031555
