step,epoch,loss,n_valid_px,grad_theta_norm,grad_phi_norm,egr,r_rms,grad_total_norm_preclip,clip_coef,upd_theta_norm,upd_phi_norm
0,1,1.3789573907852173,11491,17.947315680535322,18.164327430776712,0.9880528606925086,0.8693205714225769,18.16432762145996,0.05505295686065521,0.0024561358479254195,0.12832773676008993
1,1,1.1982454061508179,27767,9.573822299651399,10.709204992056016,0.8939806742659491,0.8032083511352539,10.70920467376709,0.09337760712258673,0.0020951994852034814,0.090820433847619
2,1,1.1968327760696411,14921,4.99877227969138,8.478940729051924,0.5895515064238136,0.7911800146102905,8.478940963745117,0.11793924339568233,0.0018762202918774361,0.07850042482266996
3,1,0.856882631778717,11855,5.500911116995913,9.595495082229194,0.5732805936384666,0.663658857345581,9.595494270324707,0.10421556905901748,0.001766636621714389,0.07079311550409134
4,1,1.0734329223632812,4902,6.224400699065099,6.41266425094093,0.9706419134840597,0.7557768225669861,6.412664413452148,0.1559413965216793,0.0016492064427825798,0.06349855601830087
5,1,0.8971542716026306,14058,4.207844520104576,5.6198917775554245,0.7487412011934119,0.6670852899551392,5.61989164352417,0.17793934216026439,0.0016056583207603187,0.060666124495008605
6,1,0.6383309960365295,7432,6.119779269160021,6.705848437815856,0.9126032784529149,0.5513580441474915,6.705848217010498,0.14912354388514049,0.0016169411606891178,0.05894483421590012
7,1,1.5140730142593384,13732,4.7643312793164325,8.459281643269396,0.5632075488474363,0.901481032371521,8.459281921386719,0.11821332958043108,0.0014384709980815164,0.05348382677176465
8,1,0.43936097621917725,22944,3.604605161126051,7.177915439066023,0.502179942314084,0.4217272996902466,7.177915096282959,0.1393162007727903,0.0014026703562358904,0.053461493267422354
9,1,0.8518839478492737,14928,6.0347766744524876,7.700621052525044,0.783674022301473,0.6429917812347412,7.700621128082275,0.12985963774968853,0.001268465059117931,0.045955369181895356
10,1,0.6012915372848511,15884,4.1244344612626005,6.413090071093281,0.6431274807526348,0.5177887678146362,6.413090229034424,0.15593104234548108,0.0012961257117094346,0.047601270697660805
11,1,1.8911035060882568,1701,6.9998547675212235,11.812141928564975,0.5925982611665948,1.015174388885498,11.812142372131348,0.0846586405613161,0.0012088094266266827,0.04932045109772976
12,1,1.8941477537155151,4008,5.273135299501728,10.210116734686753,0.516461803182605,1.0171599388122559,10.210116386413574,0.09794206688854358,0.0011784029795447425,0.04732047838233291
13,1,0.6597886085510254,24747,3.373707559155942,4.92146418937533,0.6855089114411443,0.5571355223655701,4.921463966369629,0.20319153074001473,0.0011231050505484618,0.04507676591822226
14,1,0.7947201132774353,8508,3.777177872117745,6.1674065641414,0.6124418477741422,0.6220802068710327,6.1674065589904785,0.16214268157813888,0.0011226612767022903,0.04629913755790516
15,1,0.6828629374504089,11692,3.3920324542325857,4.019995399771896,0.8437901332982156,0.5716297626495361,4.01999568939209,0.24875642376492144,0.001117981095628689,0.05276654862479431
16,1,0.7335374355316162,20376,1.7925439135980803,2.2214368163204496,0.8069299565163472,0.6026752591133118,2.2214369773864746,0.45015886564454144,0.0010896903432454413,0.058684387234380075
17,1,1.520991325378418,10108,14.011328881879477,15.167421893083665,0.9237778826649313,0.9249190092086792,15.167421340942383,0.06593078095416627,0.0010811564976123634,0.058732077710552257
18,1,0.7671605944633484,3489,3.383934627777262,3.4974499302956445,0.9675434088316586,0.6271633505821228,3.4974498748779297,0.28592252922920686,0.0010646717781349873,0.06280992786272015
19,1,0.6661363244056702,24763,3.8183480108930703,5.3024006107918185,0.7201168472862989,0.5628857612609863,5.302400588989258,0.1885937877803442,0.001052994624053448,0.06078596157871746
20,1,0.6850391030311584,16002,4.843147683382008,5.490381302117116,0.8821149965510748,0.5733532309532166,5.490381240844727,0.18213668122424648,0.0010820991099189353,0.06682089377189392
21,1,0.3222348988056183,13971,7.644699414508808,5.60665259962234,1.3635051001773117,0.33688870072364807,5.606652736663818,0.1783595076436876,0.0011098118238370021,0.06798098605814498
22,1,0.6334677934646606,8494,2.6748730531341955,3.3161869717908616,0.8066110493428723,0.5617673993110657,3.3161871433258057,0.30155104498899143,0.0010948732771886823,0.06678581950919811
23,1,0.588358461856842,43155,1.5484015128601842,2.489464539910659,0.6219817507081786,0.536750078201294,2.489464521408081,0.40169264904475727,0.0010561908153330205,0.06424408479088697
24,1,0.9310672283172607,12944,4.259351203836296,3.41323087610522,1.2478942557484778,0.7059228420257568,3.4132308959960938,0.2929774566952378,0.0010376086632519724,0.06575169063197947
25,1,1.1958705186843872,13306,8.597277773786491,7.590414909735831,1.1326492525142569,0.8073236346244812,7.590414524078369,0.13174509311483582,0.0010121099208969652,0.06820115735316298
26,1,0.6978219151496887,16586,4.6313389819786694,7.300269359202185,0.6344065888664928,0.6024249196052551,7.30026912689209,0.1369812325596403,0.00101473479019017,0.060394216790802285
27,1,1.3539105653762817,15138,4.421783122805596,6.739008642130213,0.6561474183548763,0.8630035519599915,6.73900842666626,0.14838976126713818,0.000992894942271848,0.056629275376424225
28,2,0.6426217555999756,10626,4.603174623428987,2.7590578630058626,1.6683864028905786,0.5669113993644714,2.7590579986572266,0.3624424126075876,0.0009870327496044687,0.05781655699519321
29,2,0.293298602104187,8853,1.7099470642388197,3.109650937721919,0.5498839253935524,0.350772500038147,3.1096510887145996,0.3215793829892264,0.0009659041672365521,0.0610394398236049
30,2,0.35618770122528076,19328,11.701212137147625,6.048545010977038,1.9345498985144465,0.3809669017791748,6.0485453605651855,0.16532897995454207,0.000950315647403419,0.06395675535409029
31,2,0.8241596817970276,15276,4.494634608608607,3.6282870707785437,1.238775907454017,0.6685711741447449,3.6282870769500732,0.27561207346043937,0.0009095109848327053,0.06218956333238875
32,2,1.510493278503418,17613,12.825654808417148,13.75010958794575,0.9327674609706404,0.943934440612793,13.750109672546387,0.07272668735653237,0.0008235727266938738,0.055443379933006735
33,2,0.339128315448761,27376,4.769878352951551,3.846703795323369,1.2399910694317797,0.38326069712638855,3.8467037677764893,0.2599627630321185,0.0007969181597802812,0.054494161084037124
34,2,0.43398046493530273,30185,3.7857180592828295,2.7701018318274495,1.366634979185587,0.4497852325439453,2.77010178565979,0.3609974348882572,0.0007733018640592611,0.059199701399152115
35,2,0.09646216034889221,4734,1.8215120480749332,2.7406070739798856,0.6646381618759688,0.11780279874801636,2.740607261657715,0.3648825021767718,0.0007378400286689949,0.060938798732213736
36,2,0.7492727041244507,19034,4.675581160546052,3.32761831958168,1.405083369396891,0.6386922001838684,3.327618360519409,0.30051514060307355,0.0007125637373833636,0.0646115236311703
37,2,0.3808116614818573,27226,5.281724174927456,2.9072383333359224,1.8167496329291666,0.4210527241230011,2.907238483428955,0.34396891129881946,0.0007432131956368027,0.06352052962474095
38,2,0.9812828898429871,5767,7.912849175101226,14.45372576580643,0.5474608625701423,0.7564917206764221,14.453725814819336,0.0691863083350036,0.0007383197272943975,0.057852553361548875
39,2,0.2296961098909378,35979,1.6715512541580753,2.7152579072677745,0.6156141741391543,0.33493077754974365,2.7152578830718994,0.36828900781226914,0.000701718694936897,0.05592676338948988
40,2,0.6871435642242432,9125,4.351634382822984,7.981076802440767,0.5452440178863615,0.6207042932510376,7.981076717376709,0.1252963616458416,0.0007393810985326281,0.05284476693995896
41,2,0.4300745725631714,9532,2.0512836531188765,3.151464650855501,0.6508985123984752,0.465949147939682,3.1514647006988525,0.31731267130029217,0.0007355358268460201,0.054954584995045144
42,2,1.4536516666412354,16621,7.848578072804994,10.76034354905643,0.7293984654878889,0.905897855758667,10.760343551635742,0.09293382709087919,0.0007167157075286285,0.0515704265885308
43,2,0.24496763944625854,15241,3.4206011068782276,1.7004478830124754,2.011588323904615,0.3418676555156708,1.700447916984558,0.588080000529108,0.0006725694827129197,0.05910662602052124
44,2,0.16466034948825836,24251,4.59638662642033,3.174999616000475,1.4476810023079367,0.21378175914287567,3.174999713897705,0.3149605591024818,0.0006013544055930988,0.05171117463446397
45,2,0.490871787071228,19624,3.4399591146304647,4.442683589164213,0.774297571634364,0.5022096037864685,4.442683696746826,0.2250891225146484,0.0006143488482928533,0.04931522124978746
46,2,0.6339908242225647,12078,7.585231948555872,8.786591052768781,0.8632735839190778,0.6217433214187622,8.786591529846191,0.11380976147502142,0.0005669361762501941,0.04321733744683025
47,2,2.3268165588378906,6969,25.547054185153772,25.237421670126007,1.0122687855785708,1.0871063470840454,25.237422943115234,0.039623695439518096,0.0008708526090639993,0.04390606520662228
48,2,0.3011590242385864,12934,4.356857612082051,2.285907574574332,1.9059640295786904,0.3847754895687103,2.285907745361328,0.4374627823745135,0.0007688623867290501,0.03797348176744208
49,2,0.41623467206954956,12055,1.9527691326190988,5.854936780549712,0.33352522935959394,0.49937641620635986,5.854936599731445,0.17079601327362876,0.0006926751090024377,0.03530213555492011
50,2,0.417070597410202,17210,1.4949581926301965,2.96290261614918,0.5045586663839315,0.4846654534339905,2.962902784347534,0.3375067409487992,0.000643091598476831,0.03217544059503551
51,2,0.5972018837928772,8094,11.256326210661006,5.766351641095938,1.9520707218819047,0.5719233751296997,5.766351222991943,0.1734198608286085,0.0005776633519461923,0.03946272806596991
52,2,0.40212658047676086,11046,10.299123145252944,3.5508806943713283,2.9004418992661956,0.4530465006828308,3.5508806705474854,0.2816201982438398,0.0005375359264205386,0.0341251319615789
53,2,0.41442421078681946,4276,8.853660180060604,7.326087575762248,1.2085113764338546,0.500270426273346,7.32608699798584,0.13649849691607988,0.0005569347155906161,0.03393428333559255
54,2,2.504122734069824,3755,12.241121149519582,24.876374442502335,0.4920781835718238,1.0290818214416504,24.876373291015625,0.04019878412752299,0.0006731842478832176,0.03340698185936424
55,3,0.36287277936935425,9735,3.014201406360328,6.048968328497038,0.4983000807195094,0.4402082860469818,6.048968315124512,0.16531741986186882,0.0005993174192219415,0.029087313590549772
56,3,0.7010673880577087,14636,10.028445413285354,9.8221604273111,1.021001997218417,0.623768150806427,9.822159767150879,0.10181059175333278,0.0005817791611728619,0.02595494999234916
57,3,0.37064582109451294,9366,3.0912221734710896,5.9363830636412604,0.520724848839939,0.46232733130455017,5.936383247375488,0.16845270762958212,0.0005193811736324,0.023600550133315686
58,3,1.2393748760223389,4372,20.505516240492454,17.931834720645806,1.1435258332423899,0.8171554803848267,17.931833267211914,0.0557667433848909,0.0006856872658387982,0.023648357908508038
59,3,0.30545100569725037,8159,2.0477535313494584,2.5534986118885414,0.801940334650959,0.3638443350791931,2.5534987449645996,0.3916193851093819,0.0006128681338888117,0.030121329143847086
60,3,0.5415006875991821,9108,4.254838321183341,10.383544505422513,0.40976742758322665,0.5333661437034607,10.383544921875,0.09630621442076946,0.0006282495439660289,0.02712007835400387
61,3,0.17196683585643768,26655,1.2511689442424128,2.143030528933472,0.5838316007866213,0.24983981251716614,2.1430306434631348,0.46662866740688996,0.0005716857460216328,0.028251970329685086
62,3,0.41643205285072327,20817,2.45733058543438,1.4347193437021262,1.7127604755727428,0.47589588165283203,1.4347193241119385,0.6969999540635063,0.0005300774536636564,0.04179198294677075
63,3,0.8224244713783264,6025,12.16378903433949,5.836999600004216,2.0839112331494114,0.6844866871833801,5.836999416351318,0.17132087179549926,0.0006330807398536667,0.04964764023678463
64,3,0.1860765665769577,60510,7.107767782785865,3.245170879689895,2.190259942016639,0.27185389399528503,3.2451705932617188,0.30815011510528506,0.000518859265830121,0.04380257261485199
65,3,0.4658321738243103,15725,4.38454616481778,6.569354242675975,0.667424225098737,0.5300430655479431,6.56935453414917,0.15222193330863998,0.00042853239168562764,0.039403273658281605
66,3,0.2739197909832001,20307,9.389788953789003,3.289992416611969,2.854045774201432,0.3739095628261566,3.289992332458496,0.3039519837727863,0.0003884047313101359,0.04553689743085161
67,3,0.5573455691337585,14524,5.796851309758575,3.2102474110593744,1.8057335050832801,0.552456259727478,3.21024751663208,0.311502363389958,0.0003896392398273213,0.04300625634798402
68,3,0.13721054792404175,20143,7.200387827707561,2.9482705042276507,2.442241245292851,0.24912869930267334,2.948270559310913,0.3391817815566914,0.0003578930985741699,0.04464943558778036
69,3,0.5604026317596436,29300,5.124139108695152,3.7443825490664326,1.3684870713787933,0.5505480170249939,3.744382619857788,0.26706665275872027,0.0004731183522191657,0.04467905363220401
70,3,1.131630778312683,3159,8.453726981512679,9.486841363035573,0.8911002785870119,0.8006283044815063,9.486842155456543,0.10540914228405163,0.0005428008895633136,0.04328227230964127
71,3,2.2300055027008057,12865,9.804321768583094,20.139669253409647,0.48681642410402226,1.0715526342391968,20.13966941833496,0.04965324552131745,0.0007816940604277701,0.042203376167088365
72,3,0.0747121274471283,9258,3.4041596044114772,2.0911797718964773,1.6278655953728163,0.09027958661317825,2.091179847717285,0.4781987177682845,0.000683023363400825,0.036113769862630506
73,3,0.30627286434173584,13582,2.0676554201476502,4.721904373365789,0.43788591565088825,0.4191209673881531,4.721904277801514,0.21177891998409443,0.0006133839068028835,0.03347886675149509
74,3,0.16701313853263855,6425,4.228792120724154,1.6183816859659212,2.6129757630058768,0.2869102656841278,1.6183816194534302,0.6179008523569822,0.000544051657941793,0.04144023621260389
75,3,1.5426957607269287,4308,8.735444523774266,12.389646745670209,0.7050600152765714,0.9441834688186646,12.38964557647705,0.08071255251934283,0.0005922165364691828,0.03959685936652104
76,3,0.28111574053764343,14668,5.615727559864573,3.804800277868054,1.4759585654282388,0.35393840074539185,3.804800271987915,0.2628258162554505,0.0005003558070485276,0.03370818986047699
77,3,0.9441600441932678,821,26.921370560787974,12.891355391801833,2.088327390144433,0.7288383841514587,12.891355514526367,0.07757135557248533,0.0006543028766241426,0.0400972709433317
78,3,1.0516231060028076,26541,7.8095428973897345,8.834740862148452,0.8839583434583851,0.7658342719078064,8.83474063873291,0.11318950127707655,0.0006885194542725975,0.038862807945352025
79,3,0.19042572379112244,27103,5.594735000239372,3.0963798381452503,1.80686327023394,0.3118167519569397,3.0963799953460693,0.3229576726840213,0.0005825826652252475,0.03162854313860767
80,3,2.068314790725708,4698,19.588338442292443,19.919725434135934,0.9833638775323387,1.0675170421600342,19.91972541809082,0.05020149268173753,0.00083328526488926,0.032383539396373645
81,3,0.6398805975914001,13365,6.191880650201654,4.0072334435632655,1.5451759268345087,0.5843585133552551,4.007233619689941,0.24954865260107348,0.0008012258465722432,0.034580883280030936
82,3,0.455003559589386,27855,6.8722983860877775,3.4858290067517337,1.971496126968589,0.48867541551589966,3.4858291149139404,0.2868757131110758,0.0006899186589033216,0.02986312742168282
83,4,0.8202946782112122,28263,16.624297851422586,8.386282935319144,1.9823201744609344,0.6799843311309814,8.386282920837402,0.11924232585487593,0.0008037839079764496,0.0286034993024317
84,4,0.5136981010437012,15190,6.339794711090404,2.3267198023705555,2.7247779060583235,0.533671498298645,2.3267197608947754,0.4297894344723322,0.0006970388195912703,0.025831051500176453
