D,C_f,C_g,ratio,lambda_theta_mean,lambda_theta_std,lambda_phi_mean,lambda_phi_std,kappa_mean,kappa_std,n_seeds
16,1024,306,0.298828125,0.018261939845979215,0.007706060552505486,0.62497798204422,0.029677436738181625,40.52950603078358,19.79925241950851,5
32,1024,610,0.595703125,0.03310201093554497,0.014409331978620139,0.8401438236236572,0.07104282490037407,30.84088604618076,17.771637102417856,5
64,1024,1218,1.189453125,0.019844959117472173,0.013564005933475528,0.9033511996269226,0.05129134382848932,59.59385860470574,29.29545586735585,5
128,1024,2434,2.376953125,0.01936392392963171,0.005771733773710047,1.3400909423828125,0.09416613923291774,74.41567239855183,23.643634811575758,5
256,1024,4866,4.751953125,0.01953372694551945,0.00672475645058214,1.9770299911499023,0.14172969970039678,113.6617712784775,47.99939637090524,5
512,1024,9730,9.501953125,0.024396033585071565,0.013778269236782973,3.3951862812042237,0.16415529099774312,201.20049537740454,154.99454093448503,5
1024,1024,19458,19.001953125,0.018008071184158325,0.0019279467132458591,6.311299896240234,0.37504300375751903,354.125935147671,46.63776670230547,5
2048,1024,38914,38.001953125,0.028818180970847606,0.01412223405008519,12.163438415527343,0.4903959471066805,546.9067345841034,323.45815408190464,5
4096,1024,77826,76.001953125,0.01468691173940897,0.004424695786348726,23.365401458740234,0.4518507702566833,1693.775057081669,437.0236007397489,5
8192,1024,155650,152.001953125,0.022010962665081023,0.007557310756826254,46.00291976928711,1.2508569348372052,2406.543162864162,1194.9434211842765,5
