D,seed,C_f,C_g,ratio,lambda_theta,lambda_phi,kappa
16,42,1024,306,0.298828125,0.00794164277613163,0.5804480910301208,73.08917152187206
16,43,1024,306,0.298828125,0.014604215510189533,0.6377782225608826,43.67083066638514
16,44,1024,306,0.298828125,0.02720770612359047,0.6434957981109619,23.65123304360518
16,45,1024,306,0.298828125,0.02431059256196022,0.6533331274986267,26.874422161182686
16,46,1024,306,0.298828125,0.017245542258024216,0.6098346710205078,35.36187276087283
32,42,1024,610,0.595703125,0.03213997557759285,0.7407459616661072,23.04749609649784
32,43,1024,610,0.595703125,0.03157859295606613,0.9028798937797546,28.591517520615646
32,44,1024,610,0.595703125,0.0348658561706543,0.8293108940124512,23.78576019912745
32,45,1024,610,0.595703125,0.013166293501853943,0.8132584095001221,61.76821209291798
32,46,1024,610,0.595703125,0.05375933647155762,0.9145239591598511,17.011444321744875
64,42,1024,1218,1.189453125,0.015711113810539246,0.8469181060791016,53.905669342868386
64,43,1024,1218,1.189453125,0.011173275299370289,0.9422306418418884,84.32895606671316
64,44,1024,1218,1.189453125,0.019532719627022743,0.8562159538269043,43.834958478714015
64,45,1024,1218,1.189453125,0.00970793329179287,0.90819251537323,93.55158179146328
64,46,1024,1218,1.189453125,0.04309975355863571,0.9631987810134888,22.348127343769853
128,42,1024,2434,2.376953125,0.016891056671738625,1.3313285112380981,78.81854505086226
128,43,1024,2434,2.376953125,0.015508484095335007,1.2113007307052612,78.1056822355464
128,44,1024,2434,2.376953125,0.026538241654634476,1.353116750717163,50.987430453247946
128,45,1024,2434,2.376953125,0.01344348955899477,1.4761182069778442,109.80171483751427
128,46,1024,2434,2.376953125,0.024438347667455673,1.3285905122756958,54.36498941558835
256,42,1024,4866,4.751953125,0.022441215813159943,1.8139897584915161,80.83295368639337
256,43,1024,4866,4.751953125,0.027115492150187492,2.1848113536834717,80.57428357125964
256,44,1024,4866,4.751953125,0.022391417995095253,2.0434205532073975,91.25909550056188
256,45,1024,4866,4.751953125,0.015836482867598534,1.9238290786743164,121.48082972453899
256,46,1024,4866,4.751953125,0.009884025901556015,1.91909921169281,194.16169390963367
512,42,1024,9730,9.501953125,0.006800204515457153,3.153679847717285,463.7625001643461
512,43,1024,9730,9.501953125,0.03017490729689598,3.481381893157959,115.37340807393566
512,44,1024,9730,9.501953125,0.0431954488158226,3.4705958366394043,80.34633119422796
512,45,1024,9730,9.501953125,0.016513969749212265,3.5638887882232666,215.81054357891554
512,46,1024,9730,9.501953125,0.025295637547969818,3.306385040283203,130.70969387559745
1024,42,1024,19458,19.001953125,0.020352328196167946,5.857080459594727,287.78429686965893
1024,43,1024,19458,19.001953125,0.019309047609567642,6.869197368621826,355.7501906628546
1024,44,1024,19458,19.001953125,0.01709672622382641,6.254387378692627,365.8236844183866
1024,45,1024,19458,19.001953125,0.015393687412142754,6.430625915527344,417.74434827452563
1024,46,1024,19458,19.001953125,0.017888566479086876,6.145208358764648,343.52715551292914
2048,42,1024,38914,38.001953125,0.040320590138435364,11.585664749145508,287.3386701277852
2048,43,1024,38914,38.001953125,0.014029193669557571,12.229774475097656,871.7375184316875
2048,44,1024,38914,38.001953125,0.0323614701628685,12.225723266601562,377.78639861143694
2048,45,1024,38914,38.001953125,0.013956486247479916,12.897417068481445,924.1163456031275
2048,46,1024,38914,38.001953125,0.04342316463589668,11.878612518310547,273.55474014648024
4096,42,1024,77826,76.001953125,0.01608993113040924,22.599361419677734,1404.565453792774
4096,43,1024,77826,76.001953125,0.012807725928723812,23.74846839904785,1854.2299024206397
4096,44,1024,77826,76.001953125,0.021808676421642303,23.54204559326172,1079.480713918946
4096,45,1024,77826,76.001953125,0.011291973292827606,23.59231948852539,2089.2999723538733
4096,46,1024,77826,76.001953125,0.011436251923441887,23.344812393188477,2041.2992429221124
8192,42,1024,155650,152.001953125,0.026934662833809853,45.16666793823242,1676.897469142876
8192,43,1024,155650,152.001953125,0.027239777147769928,47.429569244384766,1741.1878587364927
8192,44,1024,155650,152.001953125,0.027457017451524734,45.34526824951172,1651.5001430715708
8192,45,1024,155650,152.001953125,0.010637376457452774,47.27935791015625,4444.64460755559
8192,46,1024,155650,152.001953125,0.01778597943484783,44.79373550415039,2518.48573581428
