arch,M,seed,C_f,C_g,lambda_theta_ggn,lambda_phi_ggn,D_curv
mlp,16,42,1024,306,0.007966971277282908,0.5718708340557964,71.78020531923266
mlp,16,43,1024,306,0.014626625359682345,0.63029488469125,43.0922970399331
mlp,16,44,1024,306,0.027552330526156996,0.6356288414399581,23.06987573470489
mlp,16,45,1024,306,0.02430354053752324,0.6343091932977372,26.099456263107058
mlp,16,46,1024,306,0.017311443725990902,0.6043019657925088,34.90765850367681
mlp,32,42,1024,610,0.032031781690376175,0.7238188246096059,22.596895533509286
mlp,32,43,1024,610,0.03151348303319008,0.8877479936144738,28.170418124822806
mlp,32,44,1024,610,0.034764787930824145,0.8118407181327554,23.352385170540277
mlp,32,45,1024,610,0.013297254775614435,0.7893276378078866,59.360195102482244
mlp,32,46,1024,610,0.0537136212393168,0.8955823744651977,16.673282377946578
mlp,64,42,1024,1218,0.01564555739903787,0.8287661807552412,52.97134257461524
mlp,64,43,1024,1218,0.011131761334319333,0.9208791085479988,82.72537300174764
mlp,64,44,1024,1218,0.019413655268578488,0.8372962480587873,43.12924261171843
mlp,64,45,1024,1218,0.009711162948650454,0.8803410714647311,90.65248684629175
mlp,64,46,1024,1218,0.04335500120028827,0.9450356470416833,21.79761552019977
mlp,128,42,1024,2434,0.01682407814015117,1.3139911057078342,78.10181899785371
mlp,128,43,1024,2434,0.01554493844978298,1.1876991607327996,76.40423695272855
mlp,128,44,1024,2434,0.026401685281392275,1.3375443081587104,50.66132308990905
mlp,128,45,1024,2434,0.013499882998570925,1.4587954932902294,108.05986195914846
mlp,128,46,1024,2434,0.024463066056554423,1.316352290235151,53.80978358117375
mlp,256,42,1024,4866,0.022508708608907625,1.7995799806469184,79.95038773280623
mlp,256,43,1024,4866,0.027151462745959955,2.166269401403202,79.78462971485894
mlp,256,44,1024,4866,0.022361318242126737,2.0244071214903667,90.53165379474648
mlp,256,45,1024,4866,0.015866853817890186,1.902244816220049,119.88796506559044
mlp,256,46,1024,4866,0.009845056951664752,1.9057802467889027,193.57737148149707
mlp,512,42,1024,9730,0.00668791351725668,3.1455795047278636,470.33794570031324
mlp,512,43,1024,9730,0.030309989580636958,3.4713412315495193,114.52795858983498
mlp,512,44,1024,9730,0.04321301731429124,3.461984383127244,80.11438678183461
mlp,512,45,1024,9730,0.016646020798342962,3.5475312951839326,213.11587544916884
mlp,512,46,1024,9730,0.02523149057034346,3.2985900497896896,130.73306313764832
mlp,1024,42,1024,19458,0.020291352566490305,5.8529580612324645,288.4459299622145
mlp,1024,43,1024,19458,0.019482144941292405,6.862471195743976,352.2441300187111
mlp,1024,44,1024,19458,0.01707273421174913,6.247140239993611,365.9132838660633
mlp,1024,45,1024,19458,0.015513799633751782,6.4280728612139795,414.3454867902948
mlp,1024,46,1024,19458,0.017859216112840758,6.139893673726445,343.79413043285075
mlp,2048,42,1024,38914,0.04024221519165647,11.583989622940418,287.8566591767085
mlp,2048,43,1024,38914,0.014131372960817703,12.226674559169732,865.2149082096156
mlp,2048,44,1024,38914,0.03232431685895813,12.224902826431292,378.19524167433
mlp,2048,45,1024,38914,0.013936325928060258,12.901197326242608,925.724426426232
mlp,2048,46,1024,38914,0.04339682251327705,11.875438406548351,273.6476478874719
mlp,4096,42,1024,77826,0.016045857619492662,22.59824085292682,1408.353569426807
mlp,4096,43,1024,77826,0.01287875515405064,23.748664684606354,1844.0186493596702
mlp,4096,44,1024,77826,0.021750975523846396,23.545040606784998,1082.4820514818612
mlp,4096,45,1024,77826,0.011310614409127123,23.606876643734186,2087.143614822955
mlp,4096,46,1024,77826,0.011515408908255923,23.344375634566987,2027.2294123945817
mlp,8192,42,1024,155650,0.027062461249280183,45.16750814311116,1669.009619156962
mlp,8192,43,1024,155650,0.02726695243196727,47.430947008856045,1739.5030532729752
mlp,8192,44,1024,155650,0.02744280600344866,45.35355017849592,1652.6571726228167
mlp,8192,45,1024,155650,0.010616644737276621,47.30942681422105,4456.156157143566
mlp,8192,46,1024,155650,0.017848368140668938,44.79626530938603,2509.8241450608666
deep_mlp,16,42,1024,850,0.00011531116875828622,0.7092931113805757,6151.122384921679
deep_mlp,16,43,1024,850,0.0001891694338771562,0.5832906924992349,3083.4299207028084
deep_mlp,16,44,1024,850,0.00017380316114959748,0.656707065774654,3778.452943151057
deep_mlp,16,45,1024,850,0.0004050534416467718,0.743154784691015,1834.7079873452492
deep_mlp,16,46,1024,850,0.0007059289712958196,0.6968399100587306,987.1246802346064
deep_mlp,32,42,1024,2722,0.00044710726107048053,0.7226651465410385,1616.3127049442392
deep_mlp,32,43,1024,2722,0.0005753068532091901,0.7523413943701912,1307.7219403409902
deep_mlp,32,44,1024,2722,0.00045691599103859235,0.73225854178441,1602.610887222289
deep_mlp,32,45,1024,2722,0.0005822241747510144,0.7057320079704748,1212.1310632150887
deep_mlp,32,46,1024,2722,0.0003567208361103893,0.7636258001831514,2140.681796189901
deep_mlp,64,42,1024,9538,0.0006047092340767074,0.6957731008880848,1150.5911629585366
deep_mlp,64,43,1024,9538,0.0002592917333433989,0.6604449554168779,2547.1114983145358
deep_mlp,64,44,1024,9538,0.000538375373239295,0.698042725434017,1296.5725405195192
deep_mlp,64,45,1024,9538,0.0001862457016979791,0.6810658535792633,3656.8138076211685
deep_mlp,64,46,1024,9538,0.0005659669160197897,0.7398923307185868,1307.3066813197179
deep_mlp,128,42,1024,35458,0.000439877336647267,0.8197477189145967,1863.582527717139
deep_mlp,128,43,1024,35458,0.00048018720819302437,0.7407769523468087,1542.683644436095
deep_mlp,128,44,1024,35458,0.0004891117261870792,0.7748595400721222,1584.2178761744674
deep_mlp,128,45,1024,35458,0.00040399726087369376,0.6870811080662793,1700.7073428675776
deep_mlp,128,46,1024,35458,0.00044049735357906244,0.8004452299365276,1817.1397022771444
deep_mlp,256,42,1024,136450,0.0007345736600623898,0.799957228467382,1089.0088659038481
deep_mlp,256,43,1024,136450,0.0004590885261855636,0.8210839053775448,1788.5088791037715
deep_mlp,256,44,1024,136450,0.0002648288980105243,0.8008493994114971,3024.025721617704
deep_mlp,256,45,1024,136450,0.0001866892857203063,0.7931741286815054,4248.63229628411
deep_mlp,256,46,1024,136450,0.000335368911769775,0.8262414131681641,2463.679202726354
deep_mlp,512,42,1024,535042,0.00037581457475741,0.8946343226141068,2380.5205617467
deep_mlp,512,43,1024,535042,0.00042638494604285525,0.8404089712887561,1971.0099502534688
deep_mlp,512,44,1024,535042,0.0003712038069568588,0.9541132274941637,2570.3217736801134
deep_mlp,512,45,1024,535042,0.00047376858313274035,0.9015046216079499,1902.837490081875
deep_mlp,512,46,1024,535042,0.0005691518525841105,0.9051935696208232,1590.4254119721973
deep_mlp,1024,42,1024,2118658,0.0003254378001241636,1.0577561540893863,3250.2559742163417
deep_mlp,1024,43,1024,2118658,0.0003600586203273285,1.238899060214676,3440.8259940795074
deep_mlp,1024,44,1024,2118658,0.00031250923599747513,1.035712163675941,3314.18097250831
deep_mlp,1024,45,1024,2118658,0.00036468823218073905,1.159516215573882,3179.472528192868
deep_mlp,1024,46,1024,2118658,0.0005080917054174969,1.07392228522501,2113.6386872180337
