arch,M,C_f,C_g,lambda_theta_ggn_mean,lambda_theta_ggn_std,lambda_phi_ggn_mean,lambda_phi_ggn_std,D_curv_mean,D_curv_std,n_seeds
deep_mlp,16,1024,850,0.00031785323534552626,0.00024317683184566278,0.677857112880842,0.06124231970334317,3166.96758327108,1988.2595076777693,5
deep_mlp,32,1024,2722,0.00048365502323593335,9.523515394961219e-05,0.7353245781698532,0.023107970488170936,1575.8916783825016,362.4818775575037,5
deep_mlp,64,1024,9538,0.000430917791675434,0.00019320248367074184,0.695043793207366,0.029212065888036643,1991.6791381466955,1088.593863424489,5
deep_mlp,128,1024,35458,0.0004507341770960254,3.445039982807719e-05,0.7645821098672669,0.05245980408610775,1701.6662186944845,140.19763555389375,5
deep_mlp,256,1024,136450,0.00039610985634971186,0.0002140707751256648,0.8082612150212187,0.014484649554946221,2522.7709931271575,1207.079126425803,5
deep_mlp,512,1024,535042,0.000443264752694795,8.186159030181212e-05,0.8991709425251599,0.040416342476204466,2083.023037546871,391.67302022993283,5
deep_mlp,1024,1024,2118658,0.00037415711880944065,7.810399226618264e-05,1.113161175755779,0.08450822701491685,3059.6748312430122,537.5189836011665,5
mlp,16,1024,306,0.018352182285327277,0.007792254351853827,0.6152811438554501,0.027415803947235272,39.7898985721309,19.526323282946684,5
mlp,32,1024,610,0.033064185733864326,0.01434828675320901,0.8216635097259839,0.07167083756321853,30.030635261860237,16.89646320193985,5
mlp,64,1024,1218,0.019851427630174882,0.013685361775725238,0.8824636511736884,0.05079128864846481,58.25521211091457,28.435201617191446,5
mlp,128,1024,2434,0.019346730185290355,0.00572171958246522,1.3228764716249448,0.09628544273324618,73.4074049161627,23.09362631429926,5
mlp,256,1024,4866,0.01954668007330985,0.006748909782879942,1.9596563133098877,0.14027185939469167,112.74640155789984,48.06297840373815,5
mlp,512,1024,9730,0.024417686356174258,0.013814753082081889,3.3850052928756496,0.1616993184407154,201.76584593176,157.8883930794151,5
mlp,1024,1024,19458,0.018043849493224875,0.001903829727598881,6.306107206382095,0.3744545028872032,352.9485922140269,45.22874022206667,5
mlp,2048,1024,38914,0.028806210690553925,0.014075773145432548,12.16244054826648,0.49263699204315153,546.1277766748716,322.12611701125076,5
mlp,4096,1024,77826,0.014700322322954549,0.004372472868540652,23.368639684523867,0.45453169269107485,1689.845459497175,431.1528504897331,5
mlp,8192,1024,155650,0.022047446512528334,0.007579561453132949,46.01153949081404,1.257125629522593,2405.4300294514373,1200.9180357596665,5
