arch,M,seed,init_mode,C_f,C_g,lambda_theta_ggn,lambda_phi_ggn,D_curv
deep_mlp,16,42,he_scaledbias,1024,850,0.3215503507150762,1.4413503427838654,4.482502785577855
deep_mlp,16,43,he_scaledbias,1024,850,0.15161469226342777,1.2424059760114337,8.194495912393345
deep_mlp,16,44,he_scaledbias,1024,850,0.16775703655671712,1.214514742876019,7.239724591018289
deep_mlp,16,45,he_scaledbias,1024,850,0.7240716029571809,2.6382492168354164,3.6436302791886086
deep_mlp,16,46,he_scaledbias,1024,850,0.18518708739167117,0.9421204185602888,5.087398002905579
deep_mlp,32,42,he_scaledbias,1024,2722,0.5757100030825425,1.739296839408798,3.0211336091018484
deep_mlp,32,43,he_scaledbias,1024,2722,0.593250908151008,1.9819108566386512,3.3407632915652767
deep_mlp,32,44,he_scaledbias,1024,2722,0.23583661967041353,1.3034109506597982,5.526753870884605
deep_mlp,32,45,he_scaledbias,1024,2722,0.11810598193775154,1.436143766282983,12.159788545172175
deep_mlp,32,46,he_scaledbias,1024,2722,1.166440658677567,3.3598696257468736,2.880446253953519
deep_mlp,64,42,he_scaledbias,1024,9538,0.3602750117476825,2.4819071348929125,6.888923888596272
deep_mlp,64,43,he_scaledbias,1024,9538,0.4486036353418008,4.269792765406825,9.517962916536726
deep_mlp,64,44,he_scaledbias,1024,9538,0.4272785964176605,4.305299563888045,10.07609461364093
deep_mlp,64,45,he_scaledbias,1024,9538,0.6767558440731283,3.561275637899844,5.2622754115663355
deep_mlp,64,46,he_scaledbias,1024,9538,0.4619760400798579,2.957219241022139,6.4012394246917
deep_mlp,128,42,he_scaledbias,1024,35458,0.21558920424492128,3.291095735100769,15.265586913906422
deep_mlp,128,43,he_scaledbias,1024,35458,0.4215959163349912,6.3766582409210875,15.125047453861791
deep_mlp,128,44,he_scaledbias,1024,35458,0.3940077678771092,3.895715644864403,9.887408225107567
deep_mlp,128,45,he_scaledbias,1024,35458,0.5575360046617328,6.723426314975876,12.059178705517146
deep_mlp,128,46,he_scaledbias,1024,35458,0.342433456194239,5.562891342502433,16.245174768632967
deep_mlp,256,42,he_scaledbias,1024,136450,0.3944713618601226,7.207474435200151,18.271223546402545
deep_mlp,256,43,he_scaledbias,1024,136450,0.6649737889940639,9.42935888624198,14.180045954151366
deep_mlp,256,44,he_scaledbias,1024,136450,0.30757304710601796,5.365976429462988,17.446185483259782
deep_mlp,256,45,he_scaledbias,1024,136450,0.3760240249543722,7.483497524152126,19.901647308467044
deep_mlp,256,46,he_scaledbias,1024,136450,0.41201995385275514,8.892481990363173,21.58264886739225
deep_mlp,512,42,he_scaledbias,1024,535042,0.4380538186510796,12.485877211625358,28.50306670096776
deep_mlp,512,43,he_scaledbias,1024,535042,0.8514319674208916,17.164478327644414,20.15954178892068
deep_mlp,512,44,he_scaledbias,1024,535042,0.49813203561471203,14.319035086423737,28.74546116824941
