arch,M,seed,init_mode,C_f,C_g,lambda_theta_ggn,lambda_phi_ggn,D_curv
mlp,16,42,theorem,1024,306,0.837966941580008,2.340996196737737,2.7936617551090133
mlp,16,43,theorem,1024,306,1.2058491123380188,4.043359950977347,3.3531226333431414
mlp,16,44,theorem,1024,306,0.21646034178734286,0.7941682631250678,3.6688857486203297
mlp,16,45,theorem,1024,306,0.3793895896490564,1.9292259933998954,5.085078889972894
mlp,16,46,theorem,1024,306,0.8131293883664169,1.599287299832978,1.966830030637508
mlp,32,42,theorem,1024,610,0.7854533354828717,2.537314502827156,3.230382236861081
mlp,32,43,theorem,1024,610,0.7237493464567127,1.5531942687652833,2.1460389240685545
mlp,32,44,theorem,1024,610,0.6409292898897485,2.4537542316569967,3.828432044475744
mlp,32,45,theorem,1024,610,0.4913720765789417,1.8975558680560851,3.861749493921908
mlp,32,46,theorem,1024,610,0.29385583389809694,2.219144283829684,7.551812922656615
mlp,64,42,theorem,1024,1218,0.9596128908284528,6.998652481324448,7.293203903589053
mlp,64,43,theorem,1024,1218,0.3708146843899465,2.5436261270166676,6.859561484738305
mlp,64,44,theorem,1024,1218,0.3555276213826808,3.940028794389216,11.082201655854666
mlp,64,45,theorem,1024,1218,1.0779039494978417,4.6819489351731445,4.343567845126
mlp,64,46,theorem,1024,1218,0.9299039984688144,5.528305699406666,5.945028420686015
mlp,128,42,theorem,1024,2434,0.989919418711528,9.503155706370308,9.599928566649947
mlp,128,43,theorem,1024,2434,0.432576898619458,7.795069713426019,18.02007859944323
mlp,128,44,theorem,1024,2434,1.106378286399148,7.857463888246015,7.101968634814004
mlp,128,45,theorem,1024,2434,0.8130946792349075,8.404514643784099,10.336452640044872
mlp,128,46,theorem,1024,2434,0.4312986279049813,6.528030263690907,15.135754767875326
mlp,256,42,theorem,1024,4866,0.10144157506550207,4.839033933126675,47.70266954157653
mlp,256,43,theorem,1024,4866,0.7057670255929203,21.098511739248618,29.894442463536176
mlp,256,44,theorem,1024,4866,0.21124216876335555,9.757481774143386,46.19097517917563
