arch,M,init_mode,C_f,C_g,lambda_theta_ggn_mean,lambda_theta_ggn_std,lambda_phi_ggn_mean,lambda_phi_ggn_std,D_curv_mean,D_curv_std,n_seeds
deep_mlp,16,theorem,1024,850,0.37132705379971936,0.36116361066366287,3.620610801727924,1.045262081062811,18.143168822515555,13.281579220234052,5
deep_mlp,32,theorem,1024,2722,0.615389504358619,0.29528126354662587,8.261612218274893,3.3554462108822363,16.986920049602134,12.298695735288092,5
deep_mlp,64,theorem,1024,9538,0.49825737624772365,0.19654449627890325,22.350559405615446,10.48022222366937,43.70776968426358,12.854398267064795,5
deep_mlp,128,theorem,1024,35458,0.29686363987095427,0.16854010138014447,28.50189548712301,16.32233529780463,100.79451756717826,45.49993178295647,5
deep_mlp,256,theorem,1024,136450,0.6007275555066126,0.2021975860053083,76.3091673055159,22.122384164140467,142.23028402233908,80.21989254809824,5
deep_mlp,512,theorem,1024,535042,0.4770522488557714,0.19476611560265564,119.43667792145462,51.32062876265537,261.9475605334907,82.7688081442484,5
deep_mlp,1024,theorem,1024,2118658,0.39822472388470764,0.17110640495343105,243.1299873465619,85.12364752442693,667.9915289640171,304.8244029143701,5
mlp,16,theorem,1024,306,0.6905590747441686,0.3949279810533958,2.141407540814605,1.2053244001296672,3.373515811536577,1.1545673503368281,5
mlp,32,theorem,1024,610,0.5870719764612743,0.19752889306565813,2.132192631027041,0.4078540480291098,4.123683124396781,2.038192790160516,5
mlp,64,theorem,1024,1218,0.7387526289135472,0.3473404155318421,4.738512407462029,1.6725958782914383,7.104712661998808,2.49423510236133,5
mlp,128,theorem,1024,2434,0.7546535821740046,0.31255697871326793,8.017646843103469,1.078257852903342,12.038836641765476,4.432414884753896,5
mlp,256,theorem,1024,4866,0.6515444146510061,0.5551017016697839,14.22363067622349,6.746840584528498,32.08298684623684,15.270816235930301,5
mlp,512,theorem,1024,9730,0.4638299611836099,0.2957208243332962,24.74967502387091,8.89761857671083,66.63597858606221,28.485644922172835,5
mlp,1024,theorem,1024,19458,0.7091889225970723,0.2515270439059864,59.84462297093012,7.598698918638076,89.4940134456473,18.256136171260803,5
mlp,2048,theorem,1024,38914,0.48684580182202986,0.2823883187657817,89.88798350248206,48.415648746304434,216.41384663679787,71.96200615344644,5
mlp,4096,theorem,1024,77826,0.6152859257992327,0.21537919991194365,242.53832637047844,8.645495021280142,444.3536489920476,181.74632055574784,5
mlp,8192,theorem,1024,155650,0.5378309008525223,0.144440717098676,441.57147087132125,68.07444833963903,869.3684675281253,270.6274610934022,5
