width,seed,final_train_loss,final_test_loss,final_test_acc
32,42,0.46603989973664284,0.6171929836273193,0.713409423828125
32,43,0.4641245938837528,0.6338008642196655,0.6806640625
32,44,0.46076662838459015,0.5864520072937012,0.739288330078125
128,42,0.4635341353714466,0.6227290630340576,0.688995361328125
128,43,0.4622223563492298,0.5969429016113281,0.697509765625
128,44,0.4584898389875889,0.5894958972930908,0.692779541015625
512,42,0.4558799974620342,0.5861908197402954,0.68682861328125
512,43,0.4528771247714758,0.6910600066184998,0.547332763671875
512,44,0.44965652748942375,0.5995835065841675,0.694244384765625
2048,42,0.43032647483050823,0.8219325542449951,0.496063232421875
2048,43,0.42827623523771763,1.0351123809814453,0.517974853515625
2048,44,0.42364405281841755,0.6932603716850281,0.60650634765625
