condition,width,seed,final_train_loss,final_test_loss,final_test_acc
joint,32,42,0.46494728513062,0.619688868522644,0.74957275390625
joint,32,43,0.4631646294146776,0.6069144010543823,0.75537109375
joint,32,44,0.4598526246845722,0.5796016454696655,0.76226806640625
joint,256,42,0.46482235938310623,0.6286548376083374,0.739654541015625
joint,256,43,0.4629439916461706,0.6117473840713501,0.75689697265625
joint,256,44,0.45962579920887947,0.5637320876121521,0.7664794921875
joint,2048,42,0.46473426558077335,0.6176598072052002,0.750457763671875
joint,2048,43,0.4627734497189522,0.6240565180778503,0.74530029296875
joint,2048,44,0.4594592619687319,0.5742660164833069,0.7645263671875
frozen,32,42,0.46765318512916565,0.6346330642700195,0.68731689453125
frozen,32,43,0.4647727683186531,0.5804747343063354,0.75360107421875
frozen,32,44,0.4620713423937559,0.5506941080093384,0.75616455078125
frozen,256,42,0.4675721041858196,0.6354444026947021,0.6845703125
frozen,256,43,0.4643899165093899,0.5900568962097168,0.750579833984375
frozen,256,44,0.4618884027004242,0.5431138277053833,0.759521484375
frozen,2048,42,0.4674505442380905,0.6145763993263245,0.7176513671875
frozen,2048,43,0.46407443284988403,0.6413674354553223,0.69146728515625
frozen,2048,44,0.46164089627563953,0.5601477026939392,0.755615234375
