arch,condition,width,seed,n_spectral,n_spatial,final_train_loss,final_test_loss,final_test_acc,peak_test_acc
cnn,joint,16,42,1024,2610,0.4547412060201168,0.6259148120880127,0.655364990234375,0.716766357421875
cnn,joint,16,43,1024,2610,0.4532417468726635,0.6925293207168579,0.547943115234375,0.61907958984375
cnn,joint,16,44,1024,2610,0.4503963999450207,0.6308209896087646,0.650115966796875,0.710906982421875
cnn,joint,64,42,1024,10434,0.4250760041177273,0.6680710315704346,0.606353759765625,0.703704833984375
cnn,joint,64,43,1024,10434,0.42215561866760254,0.736913800239563,0.531463623046875,0.682281494140625
cnn,joint,64,44,1024,10434,0.4163835793733597,0.6882209777832031,0.5833740234375,0.723480224609375
cnn,joint,256,42,1024,41730,0.29502868466079235,0.9863170981407166,0.554931640625,0.708251953125
cnn,joint,256,43,1024,41730,0.2956338934600353,1.1965609788894653,0.513153076171875,0.70806884765625
cnn,joint,256,44,1024,41730,0.2794080749154091,1.0257192850112915,0.55157470703125,0.718505859375
cnn,joint,1024,42,1024,166914,0.031479714903980494,2.1706085205078125,0.543121337890625,0.704681396484375
cnn,joint,1024,43,1024,166914,0.030801641289144754,2.5081381797790527,0.519073486328125,0.70965576171875
cnn,joint,1024,44,1024,166914,0.024564931634813547,2.3219923973083496,0.53857421875,0.717681884765625
cnn,frozen,16,42,1024,2610,0.46931286714971066,0.6515325307846069,0.616363525390625,0.626129150390625
cnn,frozen,16,43,1024,2610,0.4618328046053648,0.6475551128387451,0.621307373046875,0.7257080078125
cnn,frozen,16,44,1024,2610,0.4625913891941309,0.5841661095619202,0.695068359375,0.710968017578125
cnn,frozen,64,42,1024,10434,0.4409316275268793,0.6826321482658386,0.58477783203125,0.625885009765625
cnn,frozen,64,43,1024,10434,0.4358691144734621,0.6745843291282654,0.590240478515625,0.726348876953125
cnn,frozen,64,44,1024,10434,0.43303329311311245,0.6158683896064758,0.659210205078125,0.712066650390625
cnn,frozen,256,42,1024,41730,0.34826227463781834,0.8013279438018799,0.56353759765625,0.628387451171875
cnn,frozen,256,43,1024,41730,0.35000167042016983,0.8051695823669434,0.55474853515625,0.72540283203125
cnn,frozen,256,44,1024,41730,0.3355743307620287,0.7535083293914795,0.602569580078125,0.71514892578125
cnn,frozen,1024,42,1024,166914,0.15172284841537476,1.169290542602539,0.546356201171875,0.630828857421875
cnn,frozen,1024,43,1024,166914,0.17151952255517244,1.1245315074920654,0.5457763671875,0.718841552734375
cnn,frozen,1024,44,1024,166914,0.1345575414597988,1.0622614622116089,0.58709716796875,0.719207763671875
vit,joint,64,42,1024,84546,0.10159940458834171,2.997323751449585,0.5565185546875,0.7056884765625
vit,joint,64,43,1024,84546,0.15794204268604517,3.1073126792907715,0.52777099609375,0.700408935546875
vit,joint,64,44,1024,84546,0.1495686499401927,3.257636070251465,0.5150146484375,0.71539306640625
vit,joint,128,42,1024,300162,0.03525324130896479,2.1180081367492676,0.583984375,0.7171630859375
vit,joint,128,43,1024,300162,0.02449448697734624,3.3852264881134033,0.56121826171875,0.683990478515625
vit,joint,128,44,1024,300162,0.055877055041491985,3.944295883178711,0.493896484375,0.71697998046875
vit,joint,256,42,1024,1124610,0.05439811362884939,3.8636040687561035,0.44659423828125,0.7091064453125
vit,joint,256,43,1024,1124610,0.01934848807286471,4.278202533721924,0.517791748046875,0.683563232421875
vit,joint,256,44,1024,1124610,0.019248675904236734,3.193577766418457,0.544036865234375,0.72869873046875
vit,frozen,64,42,1024,84546,0.10604670736938715,3.4715311527252197,0.5621337890625,0.6597900390625
vit,frozen,64,43,1024,84546,0.15462383907288313,3.1234447956085205,0.49114990234375,0.727386474609375
vit,frozen,64,44,1024,84546,0.13517357548698783,3.566159725189209,0.588623046875,0.71771240234375
vit,frozen,128,42,1024,300162,0.03671738982666284,2.862156867980957,0.54302978515625,0.61322021484375
vit,frozen,128,43,1024,300162,0.020903240831103176,3.7624282836914062,0.546875,0.71551513671875
vit,frozen,128,44,1024,300162,0.01782335218740627,3.2799370288848877,0.61083984375,0.70697021484375
vit,frozen,256,42,1024,1124610,0.013864267501048744,3.6954593658447266,0.5350341796875,0.65972900390625
vit,frozen,256,43,1024,1124610,0.015501448942814022,3.3800363540649414,0.54681396484375,0.71661376953125
vit,frozen,256,44,1024,1124610,0.014473212417215109,3.4890332221984863,0.53607177734375,0.723907470703125
