arm,width,seed,step,epoch,total_steps,N_sites,C_classes,NC,P_theta,P_phi,loss_probe,r_sq,a_eff,kappa_eff,lam_max_Ktheta,lam_max_Kphi,lam_min_Kphi,share_inst,share_A1_bound,share_proxy_lammax,share_proxy_lammin,frac_range_Jtheta,frac_range_Jtheta_rtol1e-6,rank_Jtheta,rank_Jtheta_rtol1e-6,a_eff_H,kappa_eff_H,lam_max_Ktheta_H,lam_max_Kphi_H,lam_min_Kphi_H,share_inst_H,share_proxy_lammax_H,share_proxy_lammin_H,chk_grad_theta_relerr,chk_grad_phi_relerr,chk_ggn_phi_relerr,lam_max_Gphiphi_ggnpy,frac_r_topk1_Kphi,frac_r_topk5_Kphi,frac_r_topk20_Kphi,frac_r_topk100_Kphi,frac_r_topk1_Jtheta_sv,frac_r_topk5_Jtheta_sv,frac_r_topk20_Jtheta_sv,share_cum_discrete,test_loss,test_acc,share_cum_discrete_fullrun
joint,128,42,0,0,2400,256,2,512,1024,2434,0.6442220050662629,0.45287773353872485,0.7044451575611308,0.8575396939428928,2.3927159120839523,19.83884988772377,2.0271858009824024e-06,0.4509935911880489,0.4509935911880489,0.10762696310417534,0.9999991527685869,1.0000000000002536,1.0000000000002536,512,512,0.3351196054660521,0.4349874753014302,1.101632044244603,9.467519227998837,-2.7606635035197103e-16,0.43515975094278403,0.1042308900562048,1.0000000000000002,1.740011335851266e-16,1.4293712212971055e-16,3.7525286120294914e-16,9.46751922799884,0.01802182308644863,0.32770708894772066,0.3440605130847194,0.43562133071864767,0.2724226822006106,0.3382121105856095,0.37658161880287355,,0.7039963006973267,0.50738525390625,0.2896219303111698
joint,128,42,1,0,2400,256,2,512,1024,2434,0.622516039142953,0.43189497049209025,0.6593111953067147,0.7332655888190014,2.4318379284333154,19.828288223115603,2.1642363127205027e-06,0.47344692430776214,0.47344692430776214,0.1092463677823363,0.9999991100416843,1.0000000000002414,1.0000000000002414,512,512,0.31054866708658185,0.37434424905663755,1.0983446458358341,9.449549065244826,-4.892064494334455e-16,0.45342660110335026,0.10412928646427419,1.0000000000000004,0.0,0.0,1.8798323889693746e-16,9.449549065244828,0.013353703626412151,0.29863164172418055,0.3151323348199954,0.41648800100310845,0.254339659470682,0.30746810952126186,0.3579897317971156,0.4028607421470396,0.6974749565124512,0.51507568359375,0.2896219303111698
joint,128,42,2,0,2400,256,2,512,1024,2434,0.6022969165677527,0.41251061303618974,0.6222776579724418,0.6204813003206192,2.510047563941117,19.820892833735147,2.2282424194520428e-06,0.5007227297135278,0.5007227297135278,0.11240223292174073,0.9999991122716265,1.0000000000002458,1.0000000000002458,512,512,0.28879822808906547,0.3144625363708625,1.1051633848320774,9.401132481547604,-2.6135890269091397e-16,0.47872867771802374,0.10519058275986863,1.0000000000000002,0.0,2.1687845466877963e-16,0.0,9.401132481547604,0.009392094436439147,0.2690508985647565,0.2858063743351342,0.39094568657664863,0.2386989228739536,0.27767461877730326,0.32919085829866157,0.3884240951162335,0.6918517351150513,0.524749755859375,0.2896219303111698
joint,128,42,6,0,2400,256,2,512,1024,2434,0.5364419331370828,0.3525643381253086,0.4136784834754094,0.3357707940631299,2.6547608396161673,19.865466607744576,2.4559174890859233e-06,0.5519766258686354,0.5519766258686354,0.11788339375441308,0.9999990749015202,1.0000000000002287,1.0000000000002287,512,512,0.17383330009907133,0.14432838200265952,0.9833933265804782,8.93522844692637,-4.626466964587843e-16,0.5463678056727425,0.0991461665780192,1.0000000000000004,0.0,0.0,5.964112221477556e-16,8.935228446926375,0.0007530619553774118,0.1616502935014409,0.18249958164412108,0.3139781442766856,0.14768856754418186,0.17648599935746892,0.2208471108215691,0.43563365836140244,0.6774483323097229,0.57208251953125,0.2896219303111698
joint,128,42,13,0,2400,256,2,512,1024,2434,0.4668997652796068,0.3001772985424006,0.14498366520519979,0.17466818872856607,3.3336966121623854,20.19934994013631,2.684748402064715e-06,0.45356741536447165,0.45356741536447165,0.14166022256207841,0.9999991946638964,1.0000000000002223,1.0000000000002223,512,512,0.04786444521289946,0.0617270869256255,0.7253814532742254,7.602457129114742,-1.786863308605691e-16,0.4367531348352558,0.08710320764480269,1.0000000000000002,1.5943854694851824e-16,2.646845436464643e-16,4.673112414136284e-16,7.602457129114746,0.0008008209744654392,0.05262415308939234,0.08015351114946982,0.2099332099387382,0.034711569056577914,0.06481353736000556,0.10621253392015396,0.4598799692359031,0.664679765701294,0.60443115234375,0.2896219303111698
joint,128,42,32,2,2400,256,2,512,1024,2434,0.43049873514012815,0.27910239332289716,0.016775883022455022,0.011081533779005186,4.8869380530628455,21.590240795623814,4.005989712141137e-06,0.6022052633959829,0.6022052633959829,0.18457170535392034,0.9999991802665831,1.0000000000002118,1.0000000000002118,512,512,0.004551769845954231,0.009211600159570588,0.4120509129665719,5.461052011024335,-5.850397292747704e-16,0.3307162304092009,0.07015898040597832,1.0000000000000016,3.704941082702714e-16,9.815329180420934e-16,1.6263870366133514e-16,5.461052011024336,1.4836417289760704e-05,0.005807404185861217,0.03898638498856164,0.12232769101198156,7.234174692753956e-05,0.00447652237715732,0.06796723319278292,0.45700095134925556,0.645086944103241,0.63385009765625,0.2896219303111698
joint,128,42,75,4,2400,256,2,512,1024,2434,0.43033135937903233,0.2792474409919659,0.01661710128787896,0.018639822109079253,3.968007274365877,21.257456413869903,3.458753281078161e-06,0.4713145585843318,0.4713145585843318,0.15730165849107497,0.9999991283407446,1.0000000000002138,1.0000000000002138,512,512,0.004785837450062141,0.007648306005896825,0.397555796151741,6.030910604893343,-2.5740660076172586e-16,0.38489482343623477,0.06184302310223009,1.0000000000000007,1.869200080831039e-16,1.3330894206485642e-15,1.9145233966381844e-15,6.030910604893331,8.980564101844567e-06,0.005052970415229996,0.045383215999816,0.12508971305456415,0.0014621966693322704,0.009070751954517793,0.060422833959120535,0.4477768087988109,0.655148983001709,0.62432861328125,0.2896219303111698
joint,128,42,179,11,2400,256,2,512,1024,2434,0.43194100732637214,0.28052876366637847,0.01300820631513285,0.02185956948612701,3.8767946566441083,21.630752731807846,3.6199328381893332e-06,0.37307244342963886,0.37307244342963886,0.1519861787417183,0.999999066257107,1.0000000000002125,1.0000000000002125,512,512,0.003872232571496367,0.011314545909582634,0.3450494365503216,6.039631180168339,-2.9727263230580613e-16,0.2549739285603414,0.05404333548757152,1.0000000000000009,5.94217523110188e-16,1.2729864103556365e-15,0.0,6.039631180168339,5.0737448102876296e-05,0.00533744709015379,0.05472760952128829,0.12811970822215152,0.001088534203496504,0.004021676291798144,0.051501081984977305,0.43624684173612355,0.6466862559318542,0.654296875,0.2896219303111698
joint,128,42,426,26,2400,256,2,512,1024,2434,0.4331324559159984,0.28077191518303724,0.011705415201371182,0.021615173353846672,3.764314168363213,21.884337983632633,4.051462940244599e-06,0.3512967720234991,0.3512967720234991,0.14676459979478076,0.9999989237193287,1.0000000000002107,1.0000000000002107,512,512,0.003560748338126473,0.01061372803347637,0.32390766765835355,6.039910614962791,-1.2537930345866927e-15,0.2512084570023397,0.0508983213023081,1.000000000000004,0.0,1.5721014128580785e-15,8.82309500574221e-16,6.0399106149627855,9.52289564186705e-06,0.005759575884237885,0.05935207263877353,0.1296243568941342,0.000891537966004484,0.004320329808927669,0.05393083198966721,0.4138022791721072,0.6233065128326416,0.704864501953125,0.2896219303111698
joint,128,42,1011,63,2400,256,2,512,1024,2434,0.43280368927645785,0.28029541092218263,0.012793989876639017,0.0223830383326823,4.289537098260922,22.026485499776243,5.223500717116897e-06,0.36370297685490177,0.36370297685490177,0.1630009657531175,0.9999987822708519,1.0000000000002156,1.0000000000002156,512,512,0.003916177370133668,0.01017777208155467,0.3358711899923485,6.0217817416428225,-4.688525022373199e-15,0.27786231131008793,0.052829431490523875,1.000000000000014,0.0,2.7650006003014415e-16,1.4749428953195805e-16,6.021781741642823,2.3771506223982096e-07,0.005975446219366832,0.05433385248679099,0.15892888148015694,0.0006072334154110908,0.005076427180766536,0.053361318417501906,0.37082262133315025,0.6182640790939331,0.705657958984375,0.2896219303111698
