arm,width,seed,step,epoch,total_steps,N_sites,C_classes,NC,P_theta,P_phi,loss_probe,r_sq,a_eff,kappa_eff,lam_max_Ktheta,lam_max_Kphi,lam_min_Kphi,share_inst,share_A1_bound,share_proxy_lammax,share_proxy_lammin,frac_range_Jtheta,frac_range_Jtheta_rtol1e-6,rank_Jtheta,rank_Jtheta_rtol1e-6,a_eff_H,kappa_eff_H,lam_max_Ktheta_H,lam_max_Kphi_H,lam_min_Kphi_H,share_inst_H,share_proxy_lammax_H,share_proxy_lammin_H,chk_grad_theta_relerr,chk_grad_phi_relerr,chk_ggn_phi_relerr,lam_max_Gphiphi_ggnpy,frac_r_topk1_Kphi,frac_r_topk5_Kphi,frac_r_topk20_Kphi,frac_r_topk100_Kphi,frac_r_topk1_Jtheta_sv,frac_r_topk5_Jtheta_sv,frac_r_topk20_Jtheta_sv,share_cum_discrete,test_loss,test_acc,share_cum_discrete_fullrun
joint,128,42,0,0,2400,1024,2,2048,1024,2434,0.651468617989308,0.45971322363955214,0.5751338216547721,0.5743193124419823,2.3366992750367053,19.919727779957544,-8.149915799552795e-16,0.5003543029239856,0.5003543029239856,0.10498986514155514,1.0000000000000004,0.676724891718939,0.676724891718939,1024,1024,0.2733054865144624,0.28684085759516903,1.0535337946651617,9.486408949843117,-1.4376225635841991e-16,0.4879180046223264,0.09995631097845327,1.0000000000000002,2.0995408551071153e-16,2.1025184589105498e-16,1.1235169275068808e-15,9.486408949843106,0.009390130188144441,0.27853545706021193,0.29903772727906214,0.3407403336386341,0.22196862090312627,0.29235225033039847,0.3095577850418397,,0.7039963006973267,0.50738525390625,0.2896219303111698
joint,128,42,1,0,2400,1024,2,2048,1024,2434,0.6320426341672422,0.4410389134853058,0.5401864746737428,0.47819095937659567,2.397592834772736,19.913341381715448,-7.146961570322411e-16,0.5304383783577056,0.5304383783577056,0.1074626822663872,1.0000000000000004,0.6584557922449983,0.6584557922449983,1024,1024,0.2537918219819366,0.2396934129474182,1.056510637003412,9.469425598434738,-1.4283018026723074e-16,0.5142845297453902,0.1003721296967779,1.0000000000000002,0.0,1.316048721987457e-16,1.8758865793231178e-16,9.469425598434736,0.006216092064231418,0.24827910288064237,0.27009690145761023,0.3152229312481513,0.20811705566678051,0.2649209415127834,0.28221624346826657,0.4028607421470396,0.6974749565124512,0.51507568359375,0.2896219303111698
joint,128,42,7,0,2400,1024,2,2048,1024,2434,0.5446638604370632,0.3620822651061607,0.28686499256604103,0.22453262606265426,2.585228911851659,19.978698328346436,-6.21379873590068e-16,0.5609431528744014,0.5609431528744014,0.11457353519763266,1.0000000000000002,0.5655716955956017,0.5655716955956017,1024,1024,0.11628910768332103,0.0896564431847395,0.8776781904388071,8.816044022218112,-5.434061999594848e-16,0.5646594801060882,0.09054088524352787,1.0000000000000007,0.0,1.7070000490262492e-16,2.0149137582837521e-16,8.816044022218113,0.0005191446251533086,0.10269547217880386,0.1269311400410148,0.18001716662972594,0.10260351089233176,0.12706293295425142,0.14583789849285153,0.4426710272592293,0.6751264333724976,0.579620361328125,0.2896219303111698
joint,128,42,49,3,2400,1024,2,2048,1024,2434,0.46628168587359164,0.3096794514765334,0.003424106250477795,0.0588713245151368,3.8415004999319797,21.198441156090126,-3.3659780976615213e-16,0.05496560836638134,0.05496560836638134,0.15341491416806471,1.0000000000000002,0.509680732104116,0.509680732104116,1024,1024,0.0011175976752258528,0.03324273592294949,0.420208334624786,6.065760936822115,-8.612353142193116e-17,0.03252580979845904,0.06478728421897768,1.0000000000000002,4.089880728149767e-16,0.0,4.392746906534597e-16,6.065760936822118,0.0018181533294831795,0.006240619507841292,0.019868901110646278,0.05480486813911748,0.00010284647085604881,0.00041716985604141766,0.021472773350544205,0.452412621074583,0.6526799201965332,0.6265869140625,0.2896219303111698
joint,128,42,343,21,2400,1024,2,2048,1024,2434,0.45989943756797114,0.3046171827806649,0.0021304484885795627,0.029249117064450682,3.532539813305338,21.827866869397774,-1.4096406613903689e-16,0.06789286119908791,0.06789286119908791,0.1392935001990596,1.0,0.4887372136994216,0.4887372136994216,1024,1024,0.0007142602601096232,0.016908440698032413,0.32228495787690925,6.146442934719581,-8.514475775587645e-17,0.04053069173710406,0.04982199950716228,1.0000000000000004,8.353237745130307e-16,1.9469872067202188e-16,2.8900566689818194e-16,6.1464429347195795,0.0007276314462350425,0.003217971324006165,0.014178385988363351,0.048381246954617735,6.142588322227715e-05,0.0001611635572368697,0.01595831902969046,0.4206538989999592,0.6276922225952148,0.69659423828125,0.2896219303111698
joint,128,42,2400,150,2400,1024,2,2048,1024,2434,0.4590754436141411,0.3033061614887639,0.008093761275211404,0.054272767749358714,6.851436829838745,22.437434045054232,-7.70616773697974e-16,0.12977732450081933,0.12977732450081933,0.23392628753442105,1.0000000000000002,0.6525748186484581,0.6525748186484581,1024,1024,0.0022449364703945166,0.02668519389168525,0.42624763751282096,6.305221568103385,-8.220771416158512e-17,0.07759856047303099,0.06332163521704795,1.0000000000000002,0.0,4.2152859838911835e-16,2.817279012662168e-16,6.305221568103383,0.001785073984723564,0.005163791550504402,0.01395824713588015,0.05075656610464964,0.0003800091653498873,0.0008519475678144397,0.00637465132617665,0.2896219303111698,0.6580626964569092,0.6099853515625,0.2896219303111698
joint,512,42,0,0,2400,1024,2,2048,1024,9730,0.8338252823610134,0.6324024553700655,0.9353824380102508,5.056431387929833,2.022494791353028,70.59509181115243,5.091437542455139e-07,0.15611006369402577,0.15611006369402577,0.027851308284641448,0.9999997482596107,0.7332870067595726,0.7332870067595726,1024,1024,0.4179469540085836,2.054899516312315,0.902366623747876,33.095995876918394,-3.7264344043774926e-15,0.1690145178945732,0.02654147309977627,1.0000000000000042,0.0,0.0,4.2938290082133e-16,33.09599587691841,0.020312897025536257,0.47707468744709985,0.4918626891437153,0.5257015618927648,0.44839647287893747,0.47329376772321274,0.4914723726942617,,0.664383053779602,0.589385986328125,0.1302518249011428
joint,512,42,1,0,2400,1024,2,2048,1024,9730,0.7741199460510995,0.5789386994355987,0.8159654565160963,3.1900901533940185,1.8973648877694198,70.54960697345602,5.017672104837577e-07,0.20368300791870542,0.20368300791870542,0.02618970591902564,0.9999997355452918,0.7138856142196697,0.7138856142196697,1024,1024,0.39022157451469996,1.469238065439384,0.8901097288210095,34.29823379634867,-4.85853372537383e-16,0.20985751243535233,0.02529558483434515,1.0000000000000004,2.350205699493845e-16,0.0,4.143319682168262e-16,34.298233796348654,0.009439883439699787,0.42799511585800937,0.44344189321156513,0.48053234000566813,0.40140740070652137,0.4394249304085506,0.45910531500892476,0.19016308104219243,0.6532192230224609,0.65155029296875,0.1302518249011428
joint,512,42,7,0,2400,1024,2,2048,1024,9730,0.5814624589404033,0.39343491257934293,0.360825906758493,0.6920367137623211,2.077910772869632,70.58037447788735,5.051762002725463e-07,0.3427093903096352,0.3427093903096352,0.028598400935259942,0.9999997568826899,0.5884389967291633,0.5884389967291633,1024,1024,0.16003336174092156,0.31036822863170227,0.8401857574788437,32.78444186688466,-1.7421925904468411e-15,0.34020582629015506,0.024987213743002692,1.0000000000000022,1.9551479689905404e-16,2.038816798960552e-16,0.0,32.78444186688466,4.338598429089429e-05,0.1614743148899375,0.18229980287437453,0.22934602525565279,0.16425313264963826,0.18626060898810173,0.2130824391522023,0.2544192719938969,0.6379760503768921,0.664459228515625,0.1302518249011428
joint,512,42,49,3,2400,1024,2,2048,1024,9730,0.47251807960194564,0.3146827001836736,0.011957139999048398,0.21639735153606265,5.610121706340323,71.88457463465038,7.037906817501186e-07,0.05236218442066381,0.05236218442066381,0.0723936213860981,0.9999998745498528,0.5048185249221167,0.5048185249221167,1024,1024,0.0031665076774428833,0.10565374477187918,0.7876627546342682,22.36106130542887,-1.7426596487990128e-15,0.029098514349776353,0.034026184449326397,1.0000000000000022,2.305154708168601e-16,2.0379589579547422e-16,7.943973745865905e-16,22.361061305428887,0.0017230818907380031,0.006536400588631159,0.02291295699769084,0.05149054568953994,0.001282964614759807,0.003189083221302791,0.029638890814793487,0.2654543022038502,0.6162304878234863,0.6934814453125,0.1302518249011428
