condition,noise,seed,lambda_sd,egr_early,egr_mid,egr_late,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
joint,0.05,42,,0.23175566502554878,0.23461806531941973,0.20449345250127482,0.16299101932088672,0.06876464570466206,0.620379638671875,0.720794677734375,0.10041503906250004,0.4141085296869278,0.6488872528076172
frozen,0.05,42,,,,,,,0.581719970703125,0.644378662109375,0.06265869140625002,0.4228549562394619,0.6757831156253815
sd,0.05,42,0.001,0.23163882020304175,0.23361247807165295,0.2051070531629145,0.16190797450365174,0.06973084569939,0.6235595703125,0.7210693359375,0.09750976562500002,0.4144722931087017,0.646712577342987
sd,0.05,42,0.01,0.2287082735049143,0.2333616524854919,0.21079858830376252,0.1520422127154038,0.07666606078951049,0.6281280517578125,0.71990966796875,0.0917816162109375,0.41521130874753,0.6418930947780609
sd,0.05,42,0.1,0.18317927755260976,0.21085574487163772,0.19822011270024625,0.11012358063206343,0.07305569692054634,0.6110198974609375,0.723724365234375,0.11270446777343746,0.43530662916600704,0.6541702032089234
sd,0.05,42,1.0,0.12210620392053737,0.17029968726096048,0.1904645836068633,0.07569500538375148,0.04641119853678588,0.5401702880859375,0.723358154296875,0.18318786621093752,0.5503209568560123,0.6916902661323547
joint,0.05,43,,0.2142734005226427,0.1993020704239974,0.1777255799296689,0.08674601045704197,0.12752739006560074,0.5521331787109375,0.754180908203125,0.20204772949218752,0.41440228931605816,0.7176550686359405
frozen,0.05,43,,,,,,,0.581585693359375,0.763458251953125,0.18187255859374996,0.4231270141899586,0.674779337644577
sd,0.05,43,0.001,0.21418768958176357,0.20034331924402335,0.18097886614292955,0.08674194509153256,0.127445744490231,0.5491729736328125,0.75439453125,0.20522155761718752,0.41437206603586674,0.7199486315250396
sd,0.05,43,0.01,0.20922819917098,0.19801046728891386,0.1771451655035329,0.08670459985963111,0.1225235993113489,0.5668914794921875,0.756072998046875,0.18918151855468746,0.4151173606514931,0.6997753739356994
sd,0.05,43,0.1,0.16079552888387105,0.1800499883451026,0.17350541689655855,0.08624847577701207,0.07454705310685898,0.534295654296875,0.759033203125,0.22473754882812502,0.43429696187376976,0.7149434864521027
sd,0.05,43,1.0,0.09668110516534263,0.1502944107907372,0.17966815168154254,0.04703735333779531,0.04964375182754732,0.5488372802734375,0.760711669921875,0.21187438964843752,0.5485134534537792,0.6892703354358674
joint,0.05,44,,0.2059216497753286,0.2384975822360827,0.20373946124271225,0.10213834395513767,0.10378330582019092,0.55902099609375,0.75653076171875,0.197509765625,0.40485270507633686,0.6985198974609375
frozen,0.05,44,,,,,,,0.6686370849609375,0.75146484375,0.08282775878906246,0.41344924829900265,0.6041115760803223
sd,0.05,44,0.001,0.20619291785982302,0.238100111655198,0.20192505391905902,0.1021387822824653,0.10405413557735772,0.5430816650390625,0.756622314453125,0.21354064941406248,0.40523117035627365,0.7146220564842224
sd,0.05,44,0.01,0.20826413726147425,0.23874164600212402,0.20479685225392,0.10214238316861493,0.10612175409285932,0.543475341796875,0.756591796875,0.21311645507812504,0.40607705153524876,0.7114780604839325
sd,0.05,44,0.1,0.18489097397383758,0.22154400347374173,0.19532147836513303,0.10214571001178746,0.08274526396205012,0.520135498046875,0.75543212890625,0.23529663085937502,0.4278408847749233,0.7166955828666687
