dataset,fold,split,width,seed,batch,n_valid_px,lam_phi,lam_theta,D_curv,C_f,C_g,ratio_Cg_Cf,reduce_dim,spatial_size,peak_gb,secs,lam_max_sigma,trace_sigma,eff_rank_sigma
breast,0,train,48,0,0,29664,211.1543426513672,365.58929443359375,0.5775725544111129,60480,1877284,31.039748677248678,64,336,3.413540864,7.284715414047241,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,48,0,1,14206,194.38243103027344,416.1250305175781,0.46712506284108823,60480,1877284,31.039748677248678,64,336,3.41247232,5.3291425704956055,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,48,0,2,12684,172.22607421875,341.1573791503906,0.5048288114056254,60480,1877284,31.039748677248678,64,336,3.41247232,5.981657981872559,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,48,0,3,10185,185.80706787109375,337.8048400878906,0.5500426454006703,60480,1877284,31.039748677248678,64,336,3.41247232,8.792015552520752,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,48,1,0,29664,170.13702392578125,352.6260681152344,0.4824856677078744,60480,1877284,31.039748677248678,64,336,3.41207296,7.210292816162109,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,48,1,1,14206,154.76824951171875,371.56884765625,0.4165264404913184,60480,1877284,31.039748677248678,64,336,3.4153728,7.80548357963562,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,48,1,2,12684,136.78872680664062,287.86865234375,0.47517757037087294,60480,1877284,31.039748677248678,64,336,3.4153728,8.084123849868774,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,48,1,3,10185,165.71278381347656,459.1062927246094,0.36094644407951476,60480,1877284,31.039748677248678,64,336,3.4153728,7.741044044494629,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,48,2,0,29664,177.7830810546875,193.78443908691406,0.917427022997188,60480,1877284,31.039748677248678,64,336,3.41207296,8.689996242523193,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,48,2,1,14206,188.77676391601562,245.2574005126953,0.7697087367043342,60480,1877284,31.039748677248678,64,336,3.4153728,6.2556376457214355,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,48,2,2,12684,162.39389038085938,276.948974609375,0.5863675451765409,60480,1877284,31.039748677248678,64,336,3.4153728,7.478740215301514,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,48,2,3,10185,251.38731384277344,310.3826904296875,0.8099269759365703,60480,1877284,31.039748677248678,64,336,3.4153728,5.012869834899902,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,192,0,0,29664,262.62823486328125,287.5828552246094,0.9132263279678549,60480,18271540,302.1087962962963,64,336,3.913304576,8.9051833152771,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,192,0,1,14206,203.7017364501953,204.94473266601562,0.9939349687125361,60480,18271540,302.1087962962963,64,336,3.914108928,13.869077205657959,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,192,0,2,12684,187.6862335205078,232.06320190429688,0.8087720585614855,60480,18271540,302.1087962962963,64,336,3.914108928,15.909533023834229,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,192,0,3,10185,234.03207397460938,253.01101684570312,0.9249876819290129,60480,18271540,302.1087962962963,64,336,3.914108928,14.912357091903687,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,192,1,0,29664,224.61691284179688,226.7126922607422,0.9907557914025609,60480,18271540,302.1087962962963,64,336,3.913304576,7.306114435195923,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,192,1,1,14206,170.79537963867188,229.13368225097656,0.7453962156973277,60480,18271540,302.1087962962963,64,336,3.914108928,8.976656675338745,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,192,1,2,12684,181.34365844726562,187.78604125976562,0.9656929622176325,60480,18271540,302.1087962962963,64,336,3.914108928,15.787127494812012,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,192,1,3,10185,216.66845703125,226.5269317626953,0.9564798999627433,60480,18271540,302.1087962962963,64,336,3.914108928,15.535548686981201,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,192,2,0,29664,207.4086151123047,135.52975463867188,1.5303548336324,60480,18271540,302.1087962962963,64,336,3.913304576,6.68758749961853,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,192,2,1,14206,200.70556640625,117.64904022216797,1.7059685827205937,60480,18271540,302.1087962962963,64,336,3.914108928,6.522223234176636,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,192,2,2,12684,172.69078063964844,109.1407241821289,1.5822762945156035,60480,18271540,302.1087962962963,64,336,3.914108928,9.573476076126099,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,192,2,3,10185,245.9209442138672,119.26829528808594,2.061913802153865,60480,18271540,302.1087962962963,64,336,3.914108928,11.344681739807129,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,384,0,0,29664,281.4224548339844,212.17820739746094,1.3263494789868417,60480,65935348,1090.2008597883598,64,336,5.260406784,15.768920660018921,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,384,0,1,14206,218.3882293701172,182.83128356933594,1.1944795502532084,60480,65935348,1090.2008597883598,64,336,5.260144128,10.281372308731079,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,384,0,2,12684,195.56494140625,187.65789794921875,1.0421354152606512,60480,65935348,1090.2008597883598,64,336,5.259912704,11.877400636672974,0.05876401243405247,0.08286280930042267,1.4100944756523377
