dataset,fold,split,width,seed,batch,n_valid_px,lam_phi,lam_theta,D_curv,C_f,C_g,ratio_Cg_Cf,reduce_dim,spatial_size,peak_gb,secs
breast,0,train,48,0,0,29664,108.6625747680664,359.91259765625,0.3019137853903332,61108,1877284,30.72075669306801,64,336,5.996434432,22.893604516983032
breast,0,train,48,0,1,14206,117.63607025146484,437.0729675292969,0.26914515193296584,61108,1877284,30.72075669306801,64,336,5.996434432,12.656478643417358
breast,0,train,48,0,2,12684,107.20797729492188,375.57940673828125,0.2854468998339642,61108,1877284,30.72075669306801,64,336,5.996434432,22.221316814422607
breast,0,train,48,0,3,10185,110.86669921875,383.8747253417969,0.28880958265756046,61108,1877284,30.72075669306801,64,336,5.996434432,19.885667324066162
breast,0,train,48,1,0,29664,128.21444702148438,447.8289489746094,0.2863022752661614,61108,1877284,30.72075669306801,64,336,5.99597568,41.80959939956665
breast,0,train,48,1,1,14206,121.29041290283203,664.4740600585938,0.18253596369455952,61108,1877284,30.72075669306801,64,336,5.99597568,20.748821020126343
breast,0,train,48,1,2,12684,114.17469024658203,691.3930053710938,0.16513717865181562,61108,1877284,30.72075669306801,64,336,5.99597568,30.33651900291443
breast,0,train,48,1,3,10185,133.35321044921875,622.9754028320312,0.2140585484482987,61108,1877284,30.72075669306801,64,336,5.99597568,25.32003378868103
breast,0,train,48,2,0,29664,109.0739974975586,211.11550903320312,0.5166555408319339,61108,1877284,30.72075669306801,64,336,5.99597568,17.896986722946167
breast,0,train,48,2,1,14206,107.988037109375,225.40306091308594,0.47908860097962264,61108,1877284,30.72075669306801,64,336,5.99597568,22.654714345932007
breast,0,train,48,2,2,12684,107.468505859375,222.5189971923828,0.48296328500195945,61108,1877284,30.72075669306801,64,336,5.99597568,22.715054988861084
breast,0,train,48,2,3,10185,117.9733657836914,257.03564453125,0.45897667616815063,61108,1877284,30.72075669306801,64,336,5.99597568,17.86178755760193
breast,0,train,96,0,0,29664,101.23865509033203,393.8358459472656,0.2570580005149857,61108,5498836,89.9855338089939,64,336,6.089742848,56.98140358924866
breast,0,train,96,0,1,14206,126.13372802734375,338.63531494140625,0.3724765919619711,61108,5498836,89.9855338089939,64,336,6.089742848,61.584067583084106
breast,0,train,96,0,2,12684,124.17459869384766,423.1451416015625,0.29345627891143705,61108,5498836,89.9855338089939,64,336,6.089742848,52.136627197265625
breast,0,train,96,0,3,10185,126.85588836669922,398.7580261230469,0.3181274859845821,61108,5498836,89.9855338089939,64,336,6.089742848,52.34617066383362
breast,0,train,96,1,0,29664,110.34073638916016,498.6928405761719,0.22125991674890783,61108,5498836,89.9855338089939,64,336,6.089742848,30.063636302947998
breast,0,train,96,1,1,14206,125.12619018554688,668.4969482421875,0.1871754097226115,61108,5498836,89.9855338089939,64,336,6.089742848,23.034730434417725
breast,0,train,96,1,2,12684,125.62847137451172,744.0216674804688,0.16885055485001663,61108,5498836,89.9855338089939,64,336,6.089742848,27.61247229576111
breast,0,train,96,1,3,10185,141.6151123046875,653.0104370117188,0.21686500594499092,61108,5498836,89.9855338089939,64,336,6.089742848,27.416773080825806
breast,0,train,96,2,0,29664,177.0160675048828,255.95126342773438,0.6916006787161719,61108,5498836,89.9855338089939,64,336,6.089742848,46.51908016204834
breast,0,train,96,2,1,14206,166.0250244140625,249.56942749023438,0.6652458439468073,61108,5498836,89.9855338089939,64,336,6.089742848,61.119274854660034
breast,0,train,96,2,2,12684,170.63552856445312,257.26806640625,0.6632596534348103,61108,5498836,89.9855338089939,64,336,6.089742848,61.05503010749817
breast,0,train,96,2,3,10185,170.68495178222656,244.13525390625,0.6991409436007592,61108,5498836,89.9855338089939,64,336,6.089742848,39.370458126068115
breast,0,train,192,0,0,29664,175.1927490234375,386.28485107421875,0.45353253832306484,61108,18271540,299.00405838842704,64,336,6.30184192,25.398632287979126
