dataset,fold,split,width,seed,batch,n_valid_px,lam_phi,lam_theta,D_curv,C_f,C_g,ratio_Cg_Cf,reduce_dim,spatial_size,peak_gb,secs,lam_max_sigma,trace_sigma,eff_rank_sigma
breast,0,train,48,0,0,29664,103.66852569580078,312.2826843261719,0.3319701376318434,61108,1877284,30.72075669306801,64,336,5.996860416,22.852580785751343,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,48,0,1,14206,117.5761947631836,429.8907470703125,0.2735025016575966,61108,1877284,30.72075669306801,64,336,5.996860416,12.657764434814453,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,48,0,2,12684,107.34046936035156,376.3103332519531,0.2852445438655635,61108,1877284,30.72075669306801,64,336,5.996860416,22.24533200263977,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,48,0,3,10185,109.75338745117188,366.6051025390625,0.2993776864834483,61108,1877284,30.72075669306801,64,336,5.996860416,15.077899932861328,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,48,1,0,29664,127.97457122802734,385.2994079589844,0.3321431815998285,61108,1877284,30.72075669306801,64,336,5.99663104,61.19969177246094,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,48,1,1,14206,121.94356536865234,625.2064208984375,0.1950452863126651,61108,1877284,30.72075669306801,64,336,5.99663104,68.07423758506775,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,48,1,2,12684,115.1623306274414,691.734130859375,0.16648351655623764,61108,1877284,30.72075669306801,64,336,5.99663104,91.87676501274109,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,48,1,3,10185,136.9181365966797,568.5908813476562,0.2408025543289766,61108,1877284,30.72075669306801,64,336,5.99663104,99.2833001613617,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,48,2,0,29664,109.73430633544922,219.78932189941406,0.4992704167205575,61108,1877284,30.72075669306801,64,336,5.99663104,53.53420925140381,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,48,2,1,14206,107.7925796508789,224.7630615234375,0.4795831615758565,61108,1877284,30.72075669306801,64,336,5.99663104,50.15552306175232,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,48,2,2,12684,106.2983169555664,223.14991760253906,0.4763538257042893,61108,1877284,30.72075669306801,64,336,5.99663104,26.456384420394897,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,48,2,3,10185,121.14105987548828,261.3381652832031,0.4635414033163197,61108,1877284,30.72075669306801,64,336,5.99663104,17.775734186172485,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,192,0,0,29664,172.00064086914062,346.066162109375,0.4970166393060395,61108,18271540,299.00405838842704,64,336,6.300847104,20.667895317077637,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,192,0,1,14206,167.4985809326172,455.5251770019531,0.36770433203058506,61108,18271540,299.00405838842704,64,336,6.300847104,18.38136315345764,0.04142916054458458,0.06692904978990555,1.6155058154721456
