dataset,fold,width,seed,batch,n_valid_px,lam_v1,lam_mean,ratio_v1_over_mean,cos_mean_v1,mean_spec_norm,lam1_data,conc_data,class_counts,pair,n_a,n_b,lam_d_full,lam_d_perp,ratio_v1_over_dfull,ratio_v1_over_dperp,cos_d_v1,cos_d_mean,cos_d_dperp,cos_dperp_v1,cos_dperp_mean,secs
breast,0,192,0,0,29664,358.52546258170884,354.5114647354116,1.0113226178715915,0.9985839128494263,37.30583190917969,1439.599476514727,0.873230958666628,"{""CancerEpi"": 29664}",none,,,,,,,,,,,,339.48828625679016
breast,0,192,0,1,14206,430.2219847072713,420.7138323655473,1.0226000468971095,0.9970946311950684,36.65536117553711,1407.4172973319066,0.8077948717121907,"{""CancerEpi"": 9609, ""CAS"": 4597}",CancerEpi-CAS,9609,4597,133.7063929044712,22.041142359461354,3.2176620381543817,19.51904205739113,0.45989692211151123,0.441326379776001,0.8879722356796265,3.725290298461914e-08,0.019408660009503365,670.8258485794067
breast,0,192,0,2,12684,416.37451995532695,403.8724250206367,1.030955554675592,0.9955983757972717,35.65509033203125,1334.544665585917,0.7918992111625855,"{""CancerEpi"": 11589, ""CAS"": 1095}",CancerEpi-CAS,11589,1095,163.15013607547968,35.66296250744215,2.552094224197862,11.675264495159029,0.49423691630363464,0.4628368020057678,0.8693272471427917,7.450580596923828e-09,0.0336175411939621,621.070205450058
breast,0,192,0,3,10185,375.0344307207552,365.87046446280567,1.0250470238733391,0.9966957569122314,36.365013122558594,1395.5002769428427,0.8274177160206122,"{""CancerEpi"": 7846, ""CAS"": 2339}",CancerEpi-CAS,7846,2339,87.62977860414684,14.820798281778611,4.279760107747297,25.30460394848233,0.3937910795211792,0.37019869685173035,0.9192000031471252,2.9336661100387573e-08,0.02425059676170349,621.0186769962311
breast,0,192,1,0,29664,662.9468420397111,656.0205417029174,1.010558054049366,0.9985839128494263,37.30583190917969,1439.599476514727,0.873230958666628,"{""CancerEpi"": 29664}",none,,,,,,,,,,,,310.4845199584961
breast,0,192,1,1,14206,718.9842335465014,698.22092463687,1.0297374486741857,0.9970946311950684,36.65536117553711,1407.4172973319066,0.8077948717121907,"{""CancerEpi"": 9609, ""CAS"": 4597}",CancerEpi-CAS,9609,4597,185.3939687524272,33.60168983675827,3.8781425220289876,21.397264156636997,0.45989692211151123,0.441326379776001,0.8879722356796265,3.725290298461914e-08,0.019408660009503365,621.3155636787415
breast,0,192,1,2,12684,720.9471231284288,687.2394978361776,1.0490478579860179,0.9955983757972717,35.65509033203125,1334.544665585917,0.7918992111625855,"{""CancerEpi"": 11589, ""CAS"": 1095}",CancerEpi-CAS,11589,1095,229.07931784832448,40.20073033694378,3.147150645898878,17.93368222631246,0.49423691630363464,0.4628368020057678,0.8693272471427917,7.450580596923828e-09,0.0336175411939621,621.3106007575989
breast,0,192,1,3,10185,671.9313031233478,653.922049132829,1.0275403681744653,0.9966957569122314,36.365013122558594,1395.5002769428427,0.8274177160206122,"{""CancerEpi"": 7846, ""CAS"": 2339}",CancerEpi-CAS,7846,2339,140.16301847382596,23.98930317255877,4.793927174512328,28.009621550490312,0.3937910795211792,0.37019869685173035,0.9192000031471252,2.9336661100387573e-08,0.02425059676170349,621.1073126792908
breast,0,192,2,0,29664,173.503744512999,171.67157511641886,1.0106725262777931,0.9985839128494263,37.30583190917969,1439.599476514727,0.873230958666628,"{""CancerEpi"": 29664}",none,,,,,,,,,,,,310.6728172302246
breast,0,192,2,1,14206,194.15969292579075,190.74053374268988,1.0179257083746727,0.9970946311950684,36.65536117553711,1407.4172973319066,0.8077948717121907,"{""CancerEpi"": 9609, ""CAS"": 4597}",CancerEpi-CAS,9609,4597,57.64449656739906,12.5778268834142,3.3682260144084264,15.436664435397832,0.45989692211151123,0.441326379776001,0.8879722356796265,3.725290298461914e-08,0.019408660009503365,621.0719921588898
breast,0,192,2,2,12684,220.1575854656898,216.29396641749787,1.0178628147247264,0.9955983757972717,35.65509033203125,1334.544665585917,0.7918992111625855,"{""CancerEpi"": 11589, ""CAS"": 1095}",CancerEpi-CAS,11589,1095,72.5830278356257,15.03586386470868,3.033182715445091,14.642164058323985,0.49423691630363464,0.4628368020057678,0.8693272471427917,7.450580596923828e-09,0.0336175411939621,621.4413075447083
breast,0,192,2,3,10185,221.37073865906171,217.0804191922262,1.019763733103152,0.9966957569122314,36.365013122558594,1395.5002769428427,0.8274177160206122,"{""CancerEpi"": 7846, ""CAS"": 2339}",CancerEpi-CAS,7846,2339,48.34876097484583,9.569747371177275,4.578622785684894,23.13234927452725,0.3937910795211792,0.37019869685173035,0.9192000031471252,2.9336661100387573e-08,0.02425059676170349,621.1297032833099
