dataset,block,seed,batch,rank,eigenvalue
breast,theta,0,0,1,386.27440360022894
breast,theta,0,0,2,274.1312468488736
breast,theta,0,0,3,232.48713810444772
breast,theta,0,0,4,99.97867293813309
breast,theta,0,0,5,92.05454246665887
breast,theta,0,0,6,84.4851870776863
breast,theta,0,0,7,77.35749600619688
breast,theta,0,0,8,67.9276126494718
breast,theta,0,0,9,53.47694934254044
breast,theta,0,0,10,50.48084226228557
breast,theta,0,0,11,47.87590041051074
breast,theta,0,0,12,41.872050181541326
breast,theta,0,0,13,39.870592212070235
breast,theta,0,0,14,35.70538469834895
breast,theta,0,0,15,33.94325566227464
breast,theta,0,0,16,31.94989747073198
breast,theta,0,0,17,29.804091405449704
breast,theta,0,0,18,28.881870826116252
breast,theta,0,0,19,28.369389792870145
breast,theta,0,0,20,27.181043567930516
breast,theta,0,0,21,25.177955890273246
breast,theta,0,0,22,23.980031802425003
breast,theta,0,0,23,22.662005127143587
breast,theta,0,0,24,21.622767413873685
breast,theta,0,0,25,20.431781969029714
breast,theta,0,0,26,19.457062421912863
breast,theta,0,0,27,18.45716813968655
breast,theta,0,0,28,17.621242615487073
breast,theta,0,0,29,17.0348041044205
breast,theta,0,0,30,16.192546891064637
breast,theta,0,0,31,15.971196738859915
breast,theta,0,0,32,15.654139910598795
breast,theta,0,0,33,15.172461781877791
breast,theta,0,0,34,14.941594626591069
breast,theta,0,0,35,14.230796055353697
breast,theta,0,0,36,13.706071295860616
breast,theta,0,0,37,13.337364910471292
breast,theta,0,0,38,12.905878205600679
breast,theta,0,0,39,12.320790004944117
breast,theta,0,0,40,11.870384422550412
breast,phi,0,0,1,175.20535039064822
breast,phi,0,0,2,118.64025909359657
breast,phi,0,0,3,73.51308087672956
breast,phi,0,0,4,45.890180527068864
breast,phi,0,0,5,43.55795859726865
breast,phi,0,0,6,38.38838528117047
breast,phi,0,0,7,37.54410456026672
breast,phi,0,0,8,34.96831794585058
breast,phi,0,0,9,31.906534622947092
breast,phi,0,0,10,29.176397181853762
breast,phi,0,0,11,28.44324590690125
breast,phi,0,0,12,24.957850294721958
breast,phi,0,0,13,23.58879759178462
breast,phi,0,0,14,22.086909116600225
breast,phi,0,0,15,19.40512933679321
breast,theta,0,1,1,466.4506876584097
breast,theta,0,1,2,303.6183149959993
breast,theta,0,1,3,206.91381217310024
breast,theta,0,1,4,133.07041858187924
breast,theta,0,1,5,127.98842899655433
breast,theta,0,1,6,106.80169198366518
breast,theta,0,1,7,87.57676796346928
breast,theta,0,1,8,80.86532802041259
breast,theta,0,1,9,71.32723797951992
breast,theta,0,1,10,58.3161373298933
breast,theta,0,1,11,52.57877910876975
breast,theta,0,1,12,49.671340555696325
breast,theta,0,1,13,47.45830930115259
breast,theta,0,1,14,44.318713233065374
breast,theta,0,1,15,39.930864492232544
breast,theta,0,1,16,38.344490402243636
breast,theta,0,1,17,35.306150163081035
breast,theta,0,1,18,34.08650449194451
breast,theta,0,1,19,32.65969590774866
breast,theta,0,1,20,32.17890838506133
breast,theta,0,1,21,31.10806351805588
breast,theta,0,1,22,29.353864457270753
breast,theta,0,1,23,28.862803243940885
breast,theta,0,1,24,26.602261752534822
breast,theta,0,1,25,25.780486677319132
breast,theta,0,1,26,24.55042990565221
breast,theta,0,1,27,22.965728442056736
breast,theta,0,1,28,20.96617092587767
breast,theta,0,1,29,20.80420202155993
breast,theta,0,1,30,20.286713221525847
breast,theta,0,1,31,19.56219210958976
breast,theta,0,1,32,19.332995053349585
breast,theta,0,1,33,18.98138506272849
breast,theta,0,1,34,17.395420574436358
breast,theta,0,1,35,16.977640979734268
breast,theta,0,1,36,16.765373704374294
breast,theta,0,1,37,16.118425829520923
breast,theta,0,1,38,15.8397910922538
breast,theta,0,1,39,15.502048076888515
breast,theta,0,1,40,14.934810842523353
breast,phi,0,1,1,168.15812881117787
breast,phi,0,1,2,123.12684365367963
breast,phi,0,1,3,70.17745856892101
breast,phi,0,1,4,66.26623112675988
breast,phi,0,1,5,65.31058250158704
breast,phi,0,1,6,53.362931976962095
breast,phi,0,1,7,49.213105296374785
breast,phi,0,1,8,45.68235958154245
breast,phi,0,1,9,43.27108898076938
breast,phi,0,1,10,42.49331785182635
breast,phi,0,1,11,39.85419751613226
breast,phi,0,1,12,36.801386537339866
breast,phi,0,1,13,34.14824556590311
breast,phi,0,1,14,30.10843879300712
breast,phi,0,1,15,26.88130982212396
breast,theta,0,2,1,457.76672462938785
breast,theta,0,2,2,343.3095121094834
breast,theta,0,2,3,296.9929148271756
breast,theta,0,2,4,162.15573123315323
breast,theta,0,2,5,146.8422079792658
breast,theta,0,2,6,127.72950825994388
breast,theta,0,2,7,102.581273909521
breast,theta,0,2,8,94.85847577704403
breast,theta,0,2,9,78.59821864907711
breast,theta,0,2,10,67.97227163995906
breast,theta,0,2,11,60.12584816974857
breast,theta,0,2,12,53.25342232672904
breast,theta,0,2,13,47.69878526785728
breast,theta,0,2,14,44.510337629241675
breast,theta,0,2,15,40.349779959777884
breast,theta,0,2,16,38.909507561325
breast,theta,0,2,17,36.68473006177684
breast,theta,0,2,18,35.858753697764314
breast,theta,0,2,19,33.16151983685501
breast,theta,0,2,20,32.01724306458338
breast,theta,0,2,21,30.05146156293754
breast,theta,0,2,22,28.348131327403657
breast,theta,0,2,23,27.86002809094322
breast,theta,0,2,24,27.09785503192339
breast,theta,0,2,25,25.945764454580626
breast,theta,0,2,26,24.64851861114234
breast,theta,0,2,27,23.054434551071353
breast,theta,0,2,28,22.656152147187374
breast,theta,0,2,29,21.74736781828833
breast,theta,0,2,30,21.390608495332966
breast,theta,0,2,31,19.97479885012772
breast,theta,0,2,32,19.539699294151717
breast,theta,0,2,33,19.321967426776506
breast,theta,0,2,34,18.307300752275427
breast,theta,0,2,35,17.923141377766683
breast,theta,0,2,36,17.642930631210824
breast,theta,0,2,37,17.020130490753793
breast,theta,0,2,38,16.025309214373568
breast,theta,0,2,39,15.799603714295412
breast,theta,0,2,40,15.153278909372757
breast,phi,0,2,1,167.80542565997763
breast,phi,0,2,2,125.384226726025
breast,phi,0,2,3,82.48592697819065
breast,phi,0,2,4,80.91410845347353
breast,phi,0,2,5,78.69876015460274
breast,phi,0,2,6,60.804231692454195
breast,phi,0,2,7,55.06710430694414
breast,phi,0,2,8,48.96184087991253
breast,phi,0,2,9,47.28827766847136
breast,phi,0,2,10,43.816000451371
breast,phi,0,2,11,38.016676317026274
breast,phi,0,2,12,34.27491211244696
breast,phi,0,2,13,32.57296861408781
breast,phi,0,2,14,30.46827217414658
breast,phi,0,2,15,27.728695703649297
breast,theta,0,3,1,407.2346743307135
breast,theta,0,3,2,315.3740216536792
breast,theta,0,3,3,276.14457420586024
breast,theta,0,3,4,140.94607802007656
breast,theta,0,3,5,112.69231772566192
breast,theta,0,3,6,103.04331452747336
breast,theta,0,3,7,94.82936996402113
breast,theta,0,3,8,87.42450082356915
breast,theta,0,3,9,77.62565332037259
breast,theta,0,3,10,61.788137232935526
