dataset,fold,width,seed,batch,n_valid_px,lam1_theta,lam2_theta,lam5_theta,lam20_theta,trace_theta,trace_theta_se,conc_theta,lam1_phi,lam2_phi,trace_phi,conc_phi,lam1_data,lam2_data,trace_data,conc_data,theta_resid_max,class_counts,secs,align_v1_data1,align_v1_data2,align_v1_data3,projfrac_v1,align_v2_data1,align_v2_data2,align_v2_data3,projfrac_v2,align_v3_data1,align_v3_data2,align_v3_data3,projfrac_v3,lam_along_vdata,lam_contrast_CancerEpi-CAS,overlap_CancerEpi-CAS_vdata
breast,0,192,0,0,29664,386.27440360022894,274.1312468488736,92.05454246665887,27.181043567930516,2524.952392578125,175.38577270507812,0.15298284622539757,175.20535039064822,118.64025909359657,3217.10546875,0.05446055533228257,1439.599476514727,137.84570453433514,1648.589599609375,0.873230958666628,0.02967839688062668,"{""CancerEpi"": 29664}",892.5955379009247,0.9628110793722806,0.10333898094408299,0.12493494417420237,0.9996232149341644,0.958785245966141,0.15752131539632747,0.09881086408580766,0.9996476483834726,0.9592606345881374,0.1271756092707482,0.04712780931153644,0.9996689832004826,358.52546258170884,,
breast,0,192,0,1,14206,466.4506876584097,303.6183149959993,127.98842899655433,32.17890838506133,3091.978271484375,217.71734619140625,0.15085833298384707,168.15812881117787,123.12684365367963,4122.38427734375,0.040791473452719995,1407.4172973319066,236.9849919075886,1742.29541015625,0.8077948717121907,0.04164302349090576,"{""CancerEpi"": 9609, ""CAS"": 4597}",1235.5801882743835,0.9586195178906396,0.14859718868403143,0.10034701035740144,0.9996160637371965,0.9435417588331206,0.23210480927214847,0.07207328275601986,0.9996704134756875,0.9462989863709823,0.17316149965992586,0.06087861922324787,0.9996503897159279,430.2219847072713,22.041142359461354,0.45989692211151123
breast,0,192,0,2,12684,457.76672462938785,343.3095121094834,146.8422079792658,32.01724306458338,3415.839111328125,248.6420440673828,0.13401296422635137,167.80542565997763,125.384226726025,4309.4970703125,0.038938517168503224,1334.544665585917,269.3393570509376,1685.24560546875,0.7918992111625855,0.041183289140462875,"{""CancerEpi"": 11589, ""CAS"": 1095}",630.2622756958008,0.9486196951754313,0.2023745145456271,0.09494028875443723,0.9996137991968226,0.9068812822134507,0.3575298748205806,0.036678149201725525,0.999645622183639,0.9360885783342602,0.2512221471350453,0.08997280318739502,0.9996853122365792,416.37451995532695,35.66296250744215,0.49423691630363464
breast,0,192,0,3,10185,407.2346743307135,315.3740216536792,112.69231772566192,30.71551646474383,3133.846923828125,229.438720703125,0.1299472131948485,177.14501914279077,119.5141853061995,3980.43212890625,0.0445039667568624,1395.5002769428427,197.32133630966317,1686.5728759765625,0.8274177160206122,0.019320914521813393,"{""CancerEpi"": 7846, ""CAS"": 2339}",565.4738683700562,0.9579236073130737,0.15032914900392952,0.1215134612383178,0.9996183282801354,0.952429524503898,0.19949230279469687,0.07127055305536396,0.999648840266687,0.9557125293063946,0.15601571576278656,0.04994553189556336,0.9996757770168188,375.0344307207552,14.820798281778611,0.3937910795211792
breast,0,192,1,0,29664,705.3091662486086,326.60129149274553,101.42118354045604,26.355858809092247,2475.213134765625,219.24656677246094,0.28494886211703685,186.76935887804424,128.94102507196766,3025.528564453125,0.06173115040869015,1439.599476514727,137.84570453433514,1648.589599609375,0.873230958666628,0.10640078783035278,"{""CancerEpi"": 29664}",410.24124789237976,0.9693433502799531,0.08754690972586537,0.04937129789486737,0.9996452646191756,0.9603185315237707,0.15527690422890392,0.10841339346661619,0.9995987817834617,0.34618205781249384,0.9240078481972838,0.07211639348484211,0.9996521775434672,662.9468420397111,,
breast,0,192,1,1,14206,792.1264555815786,338.55395155746737,141.43541220960637,41.442828639085064,3357.63916015625,245.70297241210938,0.235917684360316,196.8862701315954,134.5532179168743,3977.106201171875,0.04950490637478623,1407.4172973319066,236.9849919075886,1742.29541015625,0.8077948717121907,0.14179329574108124,"{""CancerEpi"": 9609, ""CAS"": 4597}",565.6118474006653,0.9437030717842603,0.25027121863280055,0.03707122626352591,0.9996512240352473,0.6459365020146826,0.7371167955468508,0.09254274310996108,0.9996294126588943,0.7593323991912263,0.6053467990649358,0.10115090965585145,0.9996209503856903,718.9842335465014,33.60168983675827,0.45989692211151123
breast,0,192,1,2,12684,832.2102857206831,404.2536520256183,148.22331668857123,41.08625414278528,3448.120361328125,272.987060546875,0.24135186667327868,191.57703220655262,133.63423918308428,3970.42578125,0.048251004492077136,1334.544665585917,269.3393570509376,1685.24560546875,0.7918992111625855,0.13318122923374176,"{""CancerEpi"": 11589, ""CAS"": 1095}",565.3935856819153,0.9048678860237659,0.37597476473539526,0.02801635801103879,0.9996528926749306,0.7446733508786845,0.6316515971630948,0.09133394348199904,0.9996230957473387,0.6870052012865773,0.6795353007809233,0.1063912060001482,0.9996308429057912,720.9471231284288,40.20073033694378,0.49423691630363464
breast,0,192,1,3,10185,728.0482487445897,351.68584379248244,148.0080676077389,35.065415710532605,3136.018798828125,233.96151733398438,0.23215685091449342,193.56034623952885,133.53364328664026,3763.319580078125,0.05143340662966248,1395.5002769428427,197.32133630966317,1686.5728759765625,0.8274177160206122,0.05513682961463928,"{""CancerEpi"": 7846, ""CAS"": 2339}",565.540519952774,0.9574872897477289,0.18645028863876748,0.02804871754654484,0.9996469332538851,0.9160199590579148,0.3468229404448735,0.08485948559008624,0.99960927012377,0.3398342602402051,0.9181793474032727,0.050916839853754406,0.9996463373127575,671.9313031233478,23.98930317255877,0.3937910795211792
breast,0,192,2,0,29664,186.35032473523475,90.72180334794511,63.04630906565708,18.123227714206667,1704.394287109375,145.78477478027344,0.10933522022728782,151.75565533136492,105.17842466201202,2844.742431640625,0.0533460089895886,1439.599476514727,137.84570453433514,1648.589599609375,0.873230958666628,0.011438383720815182,"{""CancerEpi"": 29664}",254.74088430404663,0.9648040992273709,0.1198090925853582,0.06513489279988897,0.9996503897159279,0.9519557753932812,0.10962855078972214,0.12724254481184816,0.9996394244086595,0.9448927743974849,0.2349145737492572,0.0873595892109573,0.9996586137358463,,,
breast,0,192,2,1,14206,210.23408457760732,88.76587951390398,67.25993513477746,23.03474624541013,2029.822998046875,159.5808868408203,0.103572619277591,158.06769867996798,108.48477415818203,3452.22314453125,0.045787219441584134,1407.4172973319066,236.9849919075886,1742.29541015625,0.8077948717121907,0.01830933429300785,"{""CancerEpi"": 9609, ""CAS"": 4597}",254.86352705955505,0.9601285559082636,0.13808094997024026,0.0797874577568972,0.9996567067137221,0.9261626547604129,0.2829926325941684,0.08780445052549297,0.9996350144650847,0.8216879858396663,0.5282838548123452,0.09623979555246244,0.9996382325310584,,,
breast,0,192,2,2,12684,239.91266901031605,102.01933066883156,73.11126919928475,25.004470147578292,2188.284912109375,183.3313751220703,0.10963502406962843,153.3308652110764,117.28330399835953,3546.270751953125,0.04323721338158648,1334.544665585917,269.3393570509376,1685.24560546875,0.7918992111625855,0.011520051397383213,"{""CancerEpi"": 11589, ""CAS"": 1095}",254.88938975334167,0.957030779832175,0.14459033162887694,0.06342499965572258,0.9996480059483623,0.7682813554708489,0.6075448176310194,0.09611828675951285,0.9996739891681763,0.7526206779254626,0.6193748669474003,0.1025741650317827,0.9996620702180827,,,
breast,0,192,2,3,10185,238.96866397711736,91.24338732305245,71.845890624727,23.071423713494557,2082.42919921875,181.53684997558594,0.11475476048202239,168.62920438589188,116.70398076097335,3488.595703125,0.04833727342920187,1395.5002769428427,197.32133630966317,1686.5728759765625,0.8274177160206122,0.019176648929715157,"{""CancerEpi"": 7846, ""CAS"": 2339}",254.6233446598053,0.9619532079207873,0.12988986360795438,0.08673211066076589,0.9996514624122597,0.9312873188839745,0.2622514382061551,0.08185562620190824,0.9995984242273757,0.9423514914953908,0.2053951046726867,0.07435024352751923,0.9995772093473967,,,
