step,loss,acc_train,gnorm_theta,gnorm_phi,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp
0,0.7103756070137024,0.504638671875,0.29526597261428833,0.7205526230125858,0.0026724015511806185,0.032272087573605945,0.17617510867263253,0.6122195871615516,0.029236492048839192,0.377094833689866,3.4079537361778094,0.0
25,0.7074090242385864,0.510894775390625,0.29333341121673584,0.7116725851448589,0.0026659672820388424,0.03216710253758572,0.17594949090833834,0.6111764037483918,0.02919545215148107,0.37597567250832703,3.4076941362798836,0.00215898786606398
50,0.7044897675514221,0.5165863037109375,0.2913936376571655,0.7031696117523516,0.0026597017721984592,0.03207465883461247,0.17573040891090927,0.6102551752101509,0.029156129845842788,0.3749970490841359,3.4074575041566715,0.004303964349263844
75,0.7016153335571289,0.522247314453125,0.28976863622665405,0.6950342436900875,0.0026536032232295915,0.031994306798155125,0.17551778787356936,0.6094519853617777,0.02911852969456312,0.3741530049820314,3.4072432798934202,0.0064355165863605466
100,0.6987850666046143,0.5279693603515625,0.28777602314949036,0.6872175102169915,0.002647656645883603,0.031926103910819466,0.1753111221074105,0.6087676962136513,0.029082558903018495,0.37344575389423795,3.407051022835644,0.008553470435489506
125,0.6959986686706543,0.533721923828125,0.285645991563797,0.6797158062950452,0.0026418834950025505,0.03186999583706996,0.17511110784485487,0.6082020339229575,0.029048422182074072,0.3728737139526108,3.4068802199315185,0.010657396298579046
150,0.6932574510574341,0.538604736328125,0.2836608588695526,0.6725443845711357,0.002636295871461285,0.031825610241975236,0.17491813669303066,0.6077516373300497,0.029016240184717754,0.3724326303360479,3.4067304131054197,0.012746018001891157
175,0.6905583143234253,0.544342041015625,0.28184613585472107,0.6657472508354337,0.0026308627869705285,0.031792507858151485,0.17473117041763744,0.6074124378917762,0.02898571032147168,0.3721180688253207,3.406601136755015,0.014820408938632762
200,0.6878979802131653,0.549774169921875,0.28027090430259705,0.6592246417223239,0.0026255849281467433,0.03177030745443676,0.17455021816725066,0.6071808551211498,0.028956783774940913,0.3719249681880583,3.4064919000889318,0.01688173442823537
225,0.685272216796875,0.5552520751953125,0.2787443995475769,0.6530290701396696,0.002620475282202396,0.03175896944582197,0.17437570796795354,0.6070565519711226,0.02892957853133237,0.3718542151390092,3.4064024000808617,0.01893171722546805
250,0.6826831102371216,0.560302734375,0.2767430543899536,0.6470564130014842,0.0026155261289055923,0.031758311257095065,0.17420737272538012,0.607037750734237,0.028904054020896075,0.37190371716309945,3.406332197342801,0.020968846485996253
275,0.6801319718360901,0.5660247802734375,0.27505937218666077,0.6413552893169637,0.002610727750227308,0.03176815710435146,0.17404488130152795,0.6071227028904519,0.02888012739380396,0.37207089341205873,3.406280923990936,0.022992020521303915
