step,loss,acc_train,gnorm_theta,gnorm_phi,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp
0,0.7303137183189392,0.4571075439453125,0.2984044849872589,0.6325756968781691,0.001964936026556246,0.0242259288887464,0.15501199959979053,0.5442912214485055,0.026728918621048724,0.2903903128770632,3.4969635927742284,0.0
25,0.6408310532569885,0.653594970703125,0.25829800963401794,0.49254791682558363,0.0019579945667390734,0.024243872201340513,0.15473598559991325,0.5444858242905548,0.026639179851821054,0.2904483401957014,3.496919093432929,0.0018584886949638212
50,0.5793919563293457,0.75103759765625,0.29477807879447937,0.42836851204213705,0.001956292108146897,0.024523127319689836,0.15468737365703408,0.5476788134393432,0.026620346190293433,0.29362165874986973,3.4973412833737894,0.0036492903346920756
75,0.5336007475852966,0.7917327880859375,0.3325624167919159,0.38525362922626155,0.00195858581054064,0.024958509938453177,0.15480825880654756,0.5526270652342959,0.026655046488054904,0.2986841819762054,3.498024315790573,0.005664172588411407
100,0.49774691462516785,0.8141937255859375,0.35947832465171814,0.35451461597813194,0.0019640142357183225,0.025490444531867003,0.15505943785908316,0.5586175736603659,0.026731291791438842,0.304934904111939,3.4988545547639243,0.007916763805178025
125,0.46856722235679626,0.826812744140625,0.3771760165691376,0.33146293878858374,0.0019719422553841006,0.02608337989878819,0.15541257312738113,0.5652245122741308,0.02684038052666684,0.3119510917447855,3.4997663760906863,0.010350812402478753
150,0.44410067796707153,0.836578369140625,0.3876139223575592,0.313376597041031,0.0019818950431385253,0.026715225490497468,0.15584675109294352,0.5721855019248071,0.026975920885392312,0.31946752602261685,3.50072041577524,0.012907270097021278
175,0.4231182932853699,0.844879150390625,0.3926323354244232,0.2984899416262458,0.0019935177513350608,0.027371751640877694,0.15634645689804874,0.5793343580154448,0.027133078676036072,0.32731074461005866,3.501692372406254,0.01553745393018653
200,0.40481993556022644,0.85113525390625,0.39350780844688416,0.2858005711542913,0.0020065420782455923,0.028042796863483346,0.1569000013188907,0.5865559903467901,0.027308260226625965,0.3353555864925174,3.502666683348525,0.01820339621729129
225,0.3886581063270569,0.857330322265625,0.39166000485420227,0.2746874542541763,0.0020207346109208835,0.028721396497851832,0.15749735083944025,0.5937742904878947,0.027498399842734438,0.3435138531638873,3.5036330398820534,0.020876881573853586
250,0.3742402195930481,0.861724853515625,0.38777729868888855,0.2647688775156299,0.002035914507662568,0.029402810777173927,0.1581307517669586,0.6009398324449876,0.027701074695896014,0.3517245651858206,3.5045847519241904,0.02353870742400708
275,0.36128661036491394,0.8666534423828125,0.38202452659606934,0.2556931519014997,0.00205190967509335,0.030083311227368365,0.15879295159367054,0.6080158769810122,0.027914154157010422,0.35993914592148196,3.5055171947465813,0.02617227743448446
300,0.3495749235153198,0.8699188232421875,0.3758232295513153,0.24732629222419109,0.0020686035767293375,0.030760504945185632,0.15947899232804777,0.6149808287598074,0.028136085575335146,0.36812607123800806,3.506427367158575,0.02876874242054951
325,0.3389343321323395,0.8732757568359375,0.3683435022830963,0.23945606999474317,0.0020858965746331287,0.0314324505728723,0.16018466323483171,0.6218185414163642,0.028365538110445326,0.3762611897029091,3.507313178458368,0.03132121088204908
350,0.32923293113708496,0.876708984375,0.36021220684051514,0.23202303932716142,0.002103706005678515,0.032097345281189286,0.1609064964141615,0.6285149498307406,0.028601487450039313,0.38431710435227967,3.508173431645053,0.03382322044155408
375,0.32036423683166504,0.87939453125,0.3513816297054291,0.2249483830045189,0.0021219661203550665,0.03275362287888069,0.16164173223510808,0.635058810017727,0.028843079452246737,0.39227375691465605,3.5090073113732636,0.03626881927957697
400,0.3122393488883972,0.8817291259765625,0.34247201681137085,0.21811932658686117,0.002140607248811513,0.03340032145650939,0.16238752214487165,0.6414450860207092,0.029089471088396976,0.4001170709013202,3.509814461984914,0.03865366149952306
425,0.30477309226989746,0.8840179443359375,0.3338155746459961,0.21174126713420602,0.0021595868856250917,0.034036993115099314,0.16314210351673938,0.647673772003267,0.029340163127352596,0.407839851556412,3.5105948949583063,0.040978349016132024
450,0.29789555072784424,0.8857879638671875,0.3250545561313629,0.20569485970347068,0.0021788801976426954,0.03466335127940405,0.1639044148510153,0.6537463090096067,0.029594825312379273,0.41543766336862187,3.5113488279693943,0.04324254821041797
475,0.29154670238494873,0.8881378173828125,0.31636103987693787,0.1999019623555327,0.002198439760403255,0.035279085728908706,0.16467256905790822,0.6596637766704538,0.02985293823310365,0.4229048259345577,3.512076571641412,0.04544622090550111
500,0.2856716811656952,0.8901214599609375,0.3080156445503235,0.19453082425561874,0.002218231061801658,0.035883989899751896,0.16544520241759278,0.6654281201848056,0.03011408553620073,0.43023847936079185,3.512778668212599,0.047590954961139686
525,0.2802239954471588,0.89178466796875,0.2995048761367798,0.18935734833517717,0.0022382285627833426,0.03647784429130778,0.1662213108417676,0.6710410196065365,0.030377940738153173,0.4374366339610001,3.5134557327413805,0.04967739400229625
550,0.27516621351242065,0.8935089111328125,0.29136669635772705,0.18445547160934092,0.002258430465153384,0.03706055086237192,0.16700079165217022,0.6765051440227206,0.030644394368732883,0.4444973309772382,3.514108513276194,0.051705573964465776
575,0.2704603374004364,0.89495849609375,0.2834663987159729,0.1798306547542175,0.002278805311021678,0.037632387602848795,0.167782449414311,0.6818263881974144,0.030913102649607033,0.45142303023136043,3.514737692019619,0.05367718982435439
600,0.2660719156265259,0.8961334228515625,0.2758297920227051,0.17542696080306905,0.0022993094422165583,0.03819326057662166,0.16856466664013994,0.6870070639300098,0.031183519824448797,0.4582128987602604,3.515344037003596,0.05559422530699076
625,0.26197442412376404,0.8974456787109375,0.2683955430984497,0.1711726070888053,0.0023199361222411446,0.038743325498146367,0.16934720216715843,0.6920515728665501,0.03145562166361525,0.4648679076171507,3.5159283197338147,0.0574577644122592
650,0.2581406831741333,0.8988189697265625,0.26140642166137695,0.16715535711789292,0.002340681615090193,0.039283082207777056,0.17012992978687483,0.696967181491619,0.03172926823952304,0.47139419593431714,3.516491328347899,0.05927008541120831
675,0.2545459568500519,0.9001922607421875,0.25475001335144043,0.16340801073086803,0.0023615300833645,0.039812804469054115,0.17091228748090456,0.7017589029559284,0.03200434370345253,0.4777960514805688,3.5170338285374236,0.06103355665351728
700,0.251168817281723,0.9011077880859375,0.24832074344158173,0.15987770678516033,0.0023824573244470627,0.040332642741124095,0.1716934216002358,0.7064304816242407,0.032280500418517384,0.48407446071343546,3.517556569550911,0.06275054765511522
725,0.24798955023288727,0.9022064208984375,0.24225199222564697,0.15648645063578032,0.0024034827447563436,0.04084299224348206,0.17247406183588865,0.7109876597629828,0.03255802456213567,0.4902348640072042,3.5180603645944877,0.06442332591165774
750,0.24499264359474182,0.9032440185546875,0.23631449043750763,0.15326576111556417,0.0024245877476979385,0.041344041836261544,0.17325356162897226,0.7154341785618413,0.032836715296746866,0.4962792711665792,3.5185458786961052,0.06605324836774823
775,0.24216240644454956,0.904083251953125,0.23080521821975708,0.15020177610034754,0.0024457691198978525,0.04183601236395951,0.17403183775711703,0.719773940614601,0.033116468887901915,0.5022096103998877,3.5190138624193135,0.06764217344949465
800,0.23948313295841217,0.9047088623046875,0.22568488121032715,0.14726245102764385,0.0024670155192540724,0.04231941229818974,0.1748085164459966,0.7240131601099979,0.03339714933172651,0.5080329661254281,3.5194649650688183,0.06919308602595307
825,0.2369416058063507,0.9056243896484375,0.2207120805978775,0.1445733880880421,0.0024883348579268034,0.04279458593121619,0.17558391256851935,0.7281564902610126,0.03367895033848913,0.513753009196782,3.5198998796663514,0.07070812823845611
850,0.23452921211719513,0.906402587890625,0.21594616770744324,0.14194959119223902,0.0025097377937878707,0.04326163513676961,0.176358433732693,0.7322064038525218,0.033961988540289784,0.5193717701079712,3.520319309242217,0.0721875515718524
875,0.23223477602005005,0.9073028564453125,0.2113739401102066,0.13945759937813837,0.002531229335762234,0.04372087413955919,0.17713228069812714,0.7361670672424668,0.034246291116406216,0.5248937025681116,3.520723887901312,0.07363361424754464
900,0.2300509214401245,0.907989501953125,0.20682822167873383,0.1369740353635359,0.002552805710889186,0.044172459122933196,0.17790533871623176,0.7400411822811434,0.03453180865452397,0.5303200558562992,3.5211141092234546,0.07504715905036961
925,0.22797223925590515,0.9087066650390625,0.20223917067050934,0.13455954166865475,0.002574436015507854,0.04461652481287307,0.17867655713696268,0.7438312059873528,0.03481811649167688,0.5356531217151906,3.521490526383884,0.07642838816198393
950,0.22599118947982788,0.9093017578125,0.19808891415596008,0.13227555323410337,0.0025961319182263285,0.045053344491846316,0.1794463742562627,0.7475406733578546,0.035105451183357526,0.5408957672482355,3.5218536861723386,0.07777871400016846
