step,loss,acc_train,gnorm_theta,gnorm_phi,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp
0,0.7002389430999756,0.5272064208984375,0.3365432024002075,0.31165118281761556,0.001964936026556246,0.0242259288887464,0.15501199959979053,0.5442912214485055,0.026728918621048724,0.2903903128770632,3.4969635927742284,0.0
25,0.6950408220291138,0.537567138671875,0.33239808678627014,0.3081588889558446,0.001962709109108086,0.02417456050638118,0.15491606445103953,0.543685536938901,0.02669856897902247,0.2898016472099184,3.4967814243862296,0.0023914507056488265
50,0.689958930015564,0.547576904296875,0.3287025988101959,0.304868465500668,0.0019608618749568305,0.024143371959002558,0.15483672134411205,0.5433121634224414,0.026672991051501737,0.28944658923005695,3.496636327701526,0.004755191313686861
75,0.6849855780601501,0.5571441650390625,0.3251056969165802,0.3017926186199372,0.0019593766528231407,0.02413181921307764,0.15477323835397713,0.5431651990545829,0.026651987042143627,0.28931993436701553,3.496527152227851,0.007092693026411739
100,0.68011474609375,0.5662689208984375,0.3216613233089447,0.2988900899905997,0.0019582577305615975,0.024139230844938186,0.15472574986450283,0.5432370539019867,0.026635577239716098,0.2894144930732072,3.4964528112807667,0.009404649644670639
125,0.6753396391868591,0.575958251953125,0.31846773624420166,0.29611763503180605,0.0019574991030977323,0.024165020108389397,0.15469398454982491,0.5435208648276145,0.02662371660265189,0.2897229219414984,3.4964123061037697,0.01169245349249472
150,0.670653760433197,0.585418701171875,0.31540724635124207,0.29353768816861553,0.0019570885607934326,0.024208682275295414,0.1546774209946849,0.544010470182769,0.026616264810756483,0.2902401558534272,3.496404600748044,0.013957623658820204
175,0.666053831577301,0.5946502685546875,0.3124287724494934,0.29106778829177543,0.001957042062120286,0.024269804190758058,0.15467665485761534,0.5447005670913552,0.026613468654397118,0.2909614779305514,3.4964288188653243,0.016200135257064163
200,0.6615346670150757,0.6030426025390625,0.30949458479881287,0.28876966245488955,0.001957346783226578,0.024347934891197003,0.15469114134186385,0.5455852510667631,0.02661513550834318,0.29188238569722447,3.4964840830623625,0.01842097408945162
225,0.6570916175842285,0.6118927001953125,0.30673885345458984,0.2866115231510382,0.001957991104951384,0.024442440567266018,0.15472038209842257,0.5466564238742802,0.02662112649498111,0.2929948010252156,3.4965695568296504,0.02062086090832168
250,0.6527210474014282,0.6209259033203125,0.30427470803260803,0.28454522079394867,0.001958964086450637,0.024552911600026157,0.15476390164424697,0.5479083674818545,0.026631315426487865,0.29429373913760204,3.4966843742414815,0.022800381060155066
275,0.6484177112579346,0.6292877197265625,0.30150657892227173,0.28257952737512215,0.0019602511702638777,0.02467912434059918,0.15482108476346354,0.5493373374050147,0.026645522444116103,0.29577748013970456,3.4968277917734936,0.02496097126665499
300,0.6441807746887207,0.637847900390625,0.2989869713783264,0.28077043264755347,0.001961824278562759,0.02482045462377595,0.1548907783954945,0.5509350159850122,0.02666340069952508,0.2974384667924621,3.496999014138679,0.027101843941029526
325,0.6400041580200195,0.645904541015625,0.296801894903183,0.27909512099721123,0.0019636974374748067,0.024976390111578324,0.1549734964799996,0.5526942921028143,0.026685140638302546,0.29926979257118014,3.497197384509893,0.029224680316182885
