tag,seed,head_mult,mult,width,arm,R_u,R_V,update_norm
ctxfree_M128_x1_s0,0,1.0,1.0,128,ctxfree,0.925421953201294,0.03691258281469345,0.8690879548647626
ctxfree_M128_x1_s1,1,1.0,1.0,128,ctxfree,0.9283632636070251,0.03752730414271355,0.844073939833783
ctxfree_M128_x1_s2,2,1.0,1.0,128,ctxfree,0.9161931872367859,0.04617998003959656,0.9493841333307815
ctxfree_M2_x1_s0,0,1.0,1.0,2,ctxfree,0.8932631611824036,0.046314746141433716,1.3364744836074733
ctxfree_M2_x1_s1,1,1.0,1.0,2,ctxfree,0.8526846766471863,0.04137156903743744,1.441540802255441
ctxfree_M2_x1_s2,2,1.0,1.0,2,ctxfree,0.8994401097297668,0.03794369474053383,1.352702988148362
ctxfree_M512_x1_s0,0,1.0,1.0,512,ctxfree,0.9008989930152893,0.034921057522296906,0.6805281209173495
ctxfree_M512_x1_s1,1,1.0,1.0,512,ctxfree,0.9029499292373657,0.03775470703840256,0.6539449855766484
ctxfree_M512_x1_s2,2,1.0,1.0,512,ctxfree,0.890919029712677,0.047953370958566666,0.7648091153494447
ctxfree_M8_x1_s0,0,1.0,1.0,8,ctxfree,0.9101151823997498,0.06636714190244675,1.1601550169658852
ctxfree_M8_x1_s1,1,1.0,1.0,8,ctxfree,0.9121102094650269,0.06267708539962769,1.1339770415066006
ctxfree_M8_x1_s2,2,1.0,1.0,8,ctxfree,0.9106317758560181,0.061832278966903687,1.1977261377934292
frozen_M128_x1_s0,0,1.0,1.0,128,frozen,,,0.0
frozen_M128_x1_s1,1,1.0,1.0,128,frozen,,,0.0
frozen_M128_x1_s2,2,1.0,1.0,128,frozen,,,0.0
frozen_M2_x1_s0,0,1.0,1.0,2,frozen,,,0.0
frozen_M2_x1_s1,1,1.0,1.0,2,frozen,,,0.0
frozen_M2_x1_s2,2,1.0,1.0,2,frozen,,,0.0
frozen_M512_x1_s0,0,1.0,1.0,512,frozen,,,0.0
frozen_M512_x1_s1,1,1.0,1.0,512,frozen,,,0.0
frozen_M512_x1_s2,2,1.0,1.0,512,frozen,,,0.0
frozen_M8_x1_s0,0,1.0,1.0,8,frozen,,,0.0
frozen_M8_x1_s1,1,1.0,1.0,8,frozen,,,0.0
frozen_M8_x1_s2,2,1.0,1.0,8,frozen,,,0.0
headlr_M32_x1_h0.00390625_s0,0,0.00390625,1.0,32,headlr,0.11193767189979553,0.8849249482154846,2.3665261934347246
headlr_M32_x1_h0.00390625_s1,1,0.00390625,1.0,32,headlr,0.07359585165977478,0.9226644039154053,2.7728226100944107
headlr_M32_x1_h0.00390625_s2,2,0.00390625,1.0,32,headlr,0.06588590890169144,0.930274486541748,2.6954029012806107
headlr_M32_x1_h0.0625_s0,0,0.0625,1.0,32,headlr,0.05655182525515556,0.9417749643325806,1.3032706327958306
headlr_M32_x1_h0.0625_s1,1,0.0625,1.0,32,headlr,0.03660397231578827,0.9618378281593323,1.3895798945729927
headlr_M32_x1_h0.0625_s2,2,0.0625,1.0,32,headlr,0.025874506682157516,0.972553551197052,1.3908694620317887
headlr_M32_x1_s0,0,1.0,1.0,32,headlr,0.034209057688713074,0.9641408324241638,0.39376545224826076
headlr_M32_x1_s1,1,1.0,1.0,32,headlr,0.02753249928355217,0.971052348613739,0.3621203835469301
headlr_M32_x1_s2,2,1.0,1.0,32,headlr,0.014854079112410545,0.9836054444313049,0.418783427797349
lrmult_M32_x0.0625_s0,0,1.0,0.0625,32,lrmult,0.04494696483016014,0.9535586833953857,0.6939607188530121
lrmult_M32_x0.0625_s1,1,1.0,0.0625,32,lrmult,0.02904454804956913,0.9696547389030457,0.6951429396058345
lrmult_M32_x0.0625_s2,2,1.0,0.0625,32,lrmult,0.015619956888258457,0.9830847978591919,0.750237109532726
lrmult_M32_x0.25_s0,0,1.0,0.25,32,lrmult,0.040066540241241455,0.9584590792655945,0.5713350717650902
lrmult_M32_x0.25_s1,1,1.0,0.25,32,lrmult,0.028677476570010185,0.9699926972389221,0.5539626368565536
lrmult_M32_x0.25_s2,2,1.0,0.25,32,lrmult,0.014983603730797768,0.9836832284927368,0.611562909266004
lrmult_M32_x16_s0,0,1.0,16.0,32,lrmult,0.03423826023936272,0.9627982974052429,0.11917627692304723
lrmult_M32_x16_s1,1,1.0,16.0,32,lrmult,0.02496176026761532,0.9728608131408691,0.10316301064350446
lrmult_M32_x16_s2,2,1.0,16.0,32,lrmult,0.017945168539881706,0.9792148470878601,0.1473125317289879
lrmult_M32_x1_s0,0,1.0,1.0,32,lrmult,0.034209057688713074,0.9641408324241638,0.39376545224826076
lrmult_M32_x1_s1,1,1.0,1.0,32,lrmult,0.02753249928355217,0.971052348613739,0.3621203835469301
lrmult_M32_x1_s2,2,1.0,1.0,32,lrmult,0.014854079112410545,0.9836054444313049,0.418783427797349
lrmult_M32_x4_s0,0,1.0,4.0,32,lrmult,0.03156879544258118,0.9662953615188599,0.22955157546385802
lrmult_M32_x4_s1,1,1.0,4.0,32,lrmult,0.025898100808262825,0.9724287986755371,0.20468117580399078
lrmult_M32_x4_s2,2,1.0,4.0,32,lrmult,0.016141017898917198,0.9818361401557922,0.25300620552790654
mup_M128_x1_s0,0,1.0,1.0,128,mup,0.020210230723023415,0.9784043431282043,0.6923444169647579
mup_M128_x1_s1,1,1.0,1.0,128,mup,0.02590942569077015,0.9728327989578247,0.7376266079865568
mup_M128_x1_s2,2,1.0,1.0,128,mup,0.011394273489713669,0.9875257611274719,0.7514772172470578
mup_M2048_x1_s0,0,1.0,1.0,2048,mup,0.029780689626932144,0.9687480926513672,0.6736226528747634
mup_M2048_x1_s1,1,1.0,1.0,2048,mup,0.012169767171144485,0.9865984320640564,0.7139840715271814
mup_M2048_x1_s2,2,1.0,1.0,2048,mup,0.014001457020640373,0.9847850799560547,0.7896664262864904
mup_M2_x1_s0,0,1.0,1.0,2,mup,0.024423038586974144,0.9728091359138489,0.6921095207843742
mup_M2_x1_s1,1,1.0,1.0,2,mup,0.06400072574615479,0.929999828338623,0.9269416715136993
mup_M2_x1_s2,2,1.0,1.0,2,mup,0.035817213356494904,0.95942622423172,0.8575823032040708
mup_M32_x1_s0,0,1.0,1.0,32,mup,0.04670591652393341,0.9517589211463928,0.7270206934516859
mup_M32_x1_s1,1,1.0,1.0,32,mup,0.029146520420908928,0.9695563912391663,0.7345103281202559
mup_M32_x1_s2,2,1.0,1.0,32,mup,0.015861956402659416,0.982839822769165,0.7895413824594226
mup_M4_x1_s0,0,1.0,1.0,4,mup,0.018908731639385223,0.9791908860206604,0.7113463096242462
mup_M4_x1_s1,1,1.0,1.0,4,mup,0.055613260716199875,0.9416642189025879,0.7146081588332739
mup_M4_x1_s2,2,1.0,1.0,4,mup,0.022289548069238663,0.9755531549453735,0.7714944959531933
mup_M512_x1_s0,0,1.0,1.0,512,mup,0.012321850284934044,0.9862683415412903,0.7398721820399323
mup_M512_x1_s1,1,1.0,1.0,512,mup,0.02711290679872036,0.9715160131454468,0.7569227205789167
mup_M512_x1_s2,2,1.0,1.0,512,mup,0.02151336893439293,0.9773706793785095,0.7996220083128551
mup_M8_x1_s0,0,1.0,1.0,8,mup,0.023757897317409515,0.974476158618927,0.66961925555826
mup_M8_x1_s1,1,1.0,1.0,8,mup,0.03546392172574997,0.962613582611084,0.7133625297572717
mup_M8_x1_s2,2,1.0,1.0,8,mup,0.021371521055698395,0.9770383238792419,0.7334522781216026
sp_M128_x1_s0,0,1.0,1.0,128,sp,0.017515476793050766,0.9806414842605591,0.19105025681541052
sp_M128_x1_s1,1,1.0,1.0,128,sp,0.02483426034450531,0.9738054871559143,0.19814661851200008
sp_M128_x1_s2,2,1.0,1.0,128,sp,0.004648847039788961,0.9940853118896484,0.24471374380724378
sp_M2048_x1_s0,0,1.0,1.0,2048,sp,0.017535550519824028,0.9809780716896057,0.022379539807630702
sp_M2048_x1_s1,1,1.0,1.0,2048,sp,0.012535530142486095,0.9860857129096985,0.023718493092851907
sp_M2048_x1_s2,2,1.0,1.0,2048,sp,0.012082717381417751,0.986103892326355,0.03520460908870964
sp_M2_x1_s0,0,1.0,1.0,2,sp,0.023962389677762985,0.9731684923171997,0.6189004329878969
sp_M2_x1_s1,1,1.0,1.0,2,sp,0.05407293140888214,0.9396529197692871,0.8332098909184716
sp_M2_x1_s2,2,1.0,1.0,2,sp,0.029833821579813957,0.9655165076255798,0.760262647908056
sp_M32_x1_s0,0,1.0,1.0,32,sp,0.034209057688713074,0.9641408324241638,0.39376545224826076
sp_M32_x1_s1,1,1.0,1.0,32,sp,0.02753249928355217,0.971052348613739,0.3621203835469301
sp_M32_x1_s2,2,1.0,1.0,32,sp,0.014854079112410545,0.9836054444313049,0.418783427797349
sp_M4_x1_s0,0,1.0,1.0,4,sp,0.011857742443680763,0.9863458275794983,0.5676233566334316
sp_M4_x1_s1,1,1.0,1.0,4,sp,0.04743769019842148,0.9504188299179077,0.5579600975030191
sp_M4_x1_s2,2,1.0,1.0,4,sp,0.022051123902201653,0.9759989976882935,0.6068501863995257
sp_M512_x1_s0,0,1.0,1.0,512,sp,0.009901270270347595,0.9884735941886902,0.07648741947890818
sp_M512_x1_s1,1,1.0,1.0,512,sp,0.020224589854478836,0.9783027172088623,0.07547274105110101
sp_M512_x1_s2,2,1.0,1.0,512,sp,0.008859800174832344,0.989589273929596,0.10228060437793271
sp_M8_x1_s0,0,1.0,1.0,8,sp,0.02557862177491188,0.9723329544067383,0.48390918298460034
sp_M8_x1_s1,1,1.0,1.0,8,sp,0.024413611739873886,0.9740590453147888,0.49942795991862093
sp_M8_x1_s2,2,1.0,1.0,8,sp,0.024962052702903748,0.9732831120491028,0.532759093799068
