regime,seed,encoder,retrain_steps,retrain_status,retrain_train_loss,retrain_train_acc,probe_val,wall_s,retrained_acc_iid_val,retrained_acc_reversed_val,retrained_acc_ctx_random_val,retrained_acc_spec_only_val,retrained_acc_iid_test,retrained_acc_reversed_test,retrained_acc_ctx_random_test,retrained_acc_spec_only_test,original_acc_iid_val,original_acc_reversed_val,original_acc_ctx_random_val,original_acc_spec_only_val,original_probe_val
unready,0,init,20000,budget,0.6901050806045532,0.5352916717529297,0.5848333333333333,40.32144069671631,0.5876666307449341,0.4451666474342346,0.5221666693687439,0.5128333568572998,0.5543333292007446,0.4401666522026062,0.49816665053367615,0.5009999871253967,,,,,
unready,0,kappa1,20000,budget,0.6887766718864441,0.5404166579246521,0.5818333333333333,40.02877235412598,0.5913333296775818,0.44733333587646484,0.5264999866485596,0.5233333110809326,0.5611666440963745,0.46016666293144226,0.5076666474342346,0.512666642665863,0.9213333129882812,0.0684999972581863,0.5005000233650208,0.5026666522026062,0.5818333333333333
unready,0,kappa256,20000,budget,0.6880894899368286,0.5430833101272583,0.5838333333333333,40.11501169204712,0.590833306312561,0.4581666588783264,0.5268333554267883,0.5306666493415833,0.5429999828338623,0.4933333396911621,0.512333333492279,0.5263333320617676,0.9226666688919068,0.0661666691303253,0.500166654586792,0.4998333156108856,0.5838333333333333
unready,1,init,20000,budget,0.6893215179443359,0.5406249761581421,0.6,40.08822250366211,0.4958333373069763,0.5464999675750732,0.5161666870117188,0.5218333005905151,0.5043333172798157,0.534500002861023,0.5161666870117188,0.5373333096504211,,,,,
unready,1,kappa1,20000,budget,0.6867755651473999,0.5554999709129333,0.6786666666666666,40.001957654953,0.5086666345596313,0.559499979019165,0.5363333225250244,0.5518333315849304,0.5241666436195374,0.5521666407585144,0.5411666631698608,0.5590000152587891,0.934333324432373,0.078166663646698,0.5101666450500488,0.5130000114440918,0.6786666666666666
unready,1,kappa256,20000,budget,0.6845299601554871,0.5640416741371155,0.7013333333333334,40.114290714263916,0.5231666564941406,0.5615000128746033,0.5431666374206543,0.5576666593551636,0.5318333506584167,0.5558333396911621,0.5481666326522827,0.578166663646698,0.9301666617393494,0.0886666625738143,0.5128333568572998,0.5174999833106995,0.7013333333333334
unready,2,init,20000,budget,0.6876373887062073,0.5481666326522827,0.5601666666666667,40.05999493598938,0.5216666460037231,0.5228333473205566,0.5270000100135803,0.5258333086967468,0.5346666574478149,0.5460000038146973,0.5400000214576721,0.5425000190734863,,,,,
unready,2,kappa1,20000,budget,0.6846837401390076,0.5630833506584167,0.5818333333333333,40.16096067428589,0.5168333053588867,0.5491666793823242,0.5425000190734863,0.5419999957084656,0.527999997138977,0.5640000104904175,0.5488333106040955,0.5669999718666077,0.9279999732971193,0.0684999972581863,0.4893333315849304,0.5134999752044678,0.5818333333333333
unready,2,kappa256,20000,budget,0.6829123497009277,0.5716666579246521,0.5975,40.78550887107849,0.5271666646003723,0.5573333501815796,0.546833336353302,0.5558333396911621,0.5411666631698608,0.5713333487510681,0.5573333501815796,0.5763333439826965,0.9236666560173036,0.0696666687726974,0.4871666729450226,0.518666684627533,0.5975
unready10,0,init,20000,budget,0.6910208463668823,0.5277083516120911,0.5848333333333333,40.86363649368286,0.5961666703224182,0.43149998784065247,0.5174999833106995,0.5176666378974915,0.5621666312217712,0.4269999861717224,0.5,0.4959999918937683,,,,,
unready10,0,kappa1,20000,budget,0.683212161064148,0.5729166865348816,0.606,41.03948760032654,0.6215000152587891,0.476500004529953,0.5531666874885559,0.5609999895095825,0.5948333144187927,0.5178333520889282,0.5563333034515381,0.5705000162124634,0.930833339691162,0.0633333325386047,0.5040000081062317,0.5041666626930237,0.606
unready10,0,kappa256,20000,budget,0.6647979021072388,0.6335833072662354,0.6358333333333334,40.83821392059326,0.6380000114440918,0.5496666431427002,0.5976666808128357,0.6153333187103271,0.6396666765213013,0.6256666779518127,0.6308333277702332,0.6468333005905151,0.9356666803359984,0.0568333342671394,0.503166675567627,0.4919999837875366,0.6358333333333334
unready10,1,init,20000,budget,0.689549446105957,0.5430416464805603,0.6,40.96578001976013,0.5043333172798157,0.5556666851043701,0.528166651725769,0.528333306312561,0.5084999799728394,0.5561666488647461,0.5333333015441895,0.5411666631698608,,,,,
unready10,1,kappa1,20000,budget,0.6728290319442749,0.6197916865348816,0.7316666666666667,41.21454930305481,0.5740000009536743,0.6025000214576721,0.5863333344459534,0.6056666374206543,0.5971666574478149,0.6079999804496765,0.6051666736602783,0.6371666789054871,0.937833309173584,0.0711666643619537,0.5105000138282776,0.5148333311080933,0.7316666666666667
unready10,1,kappa256,20000,budget,0.5991480946540833,0.7505833506584167,0.7803333333333333,40.874807357788086,0.6838333010673523,0.699833333492279,0.6919999718666077,0.6923333406448364,0.7153333425521851,0.715833306312561,0.715833306312561,0.7288333177566528,0.9348333477973938,0.0773333311080932,0.5101666450500488,0.5109999775886536,0.7803333333333333
unready10,2,init,20000,budget,0.6880671977996826,0.5564166903495789,0.5601666666666667,41.076236963272095,0.5274999737739563,0.5323333144187927,0.5351666808128357,0.5304999947547913,0.5303333401679993,0.5464999675750732,0.5371666550636292,0.5478333234786987,,,,,
unready10,2,kappa1,20000,budget,0.6732776761054993,0.6200000047683716,0.6361666666666667,40.925511598587036,0.5523333549499512,0.6041666865348816,0.5793333053588867,0.5891666412353516,0.5871666669845581,0.6114999651908875,0.6003333330154419,0.621999979019165,0.9331666827201844,0.0661666691303253,0.4893333315849304,0.5171666741371155,0.6361666666666667
