step,loss,acc_train,gnorm_theta,gnorm_phi,disp
0,0.7660963535308838,0.28970831632614136,0.0,1.4322220960425691,0.0
25,0.7182934284210205,0.4232916533946991,0.0,1.3338455423686217,0.0
50,0.6765823364257812,0.5860416889190674,0.0,1.250139282036864,0.0
75,0.6397333741188049,0.7177083492279053,0.0,1.1776360768658916,0.0
100,0.6068778038024902,0.7977916598320007,0.0,1.1147079179478265,0.0
125,0.5773382782936096,0.8421666622161865,0.0,1.0589169357987225,0.0
150,0.5506073236465454,0.8676249980926514,0.0,1.0086410398706265,0.0
175,0.5262964367866516,0.8832083344459534,0.0,0.9631611661294179,0.0
200,0.504096269607544,0.8912500143051147,0.0,0.9213778988539362,0.0
225,0.4837337136268616,0.8968749642372131,0.0,0.8832138986834679,0.0
250,0.46501636505126953,0.9015833139419556,0.0,0.8469250052946333,0.0
275,0.4477817416191101,0.9048749804496765,0.0,0.8131544756753014,0.0
300,0.43188002705574036,0.9081249833106995,0.0,0.7817417310025491,0.0
325,0.417167067527771,0.9109583497047424,0.0,0.7524323656342075,0.0
350,0.40352845191955566,0.9129583239555359,0.0,0.7244653558699558,0.0
375,0.3908754289150238,0.9143333435058594,0.0,0.6980231182082319,0.0
400,0.3791154623031616,0.9153749942779541,0.0,0.6733480695462954,0.0
425,0.36816415190696716,0.9169166684150696,0.0,0.6500186846814631,0.0
450,0.35795921087265015,0.9178749918937683,0.0,0.6276645190247547,0.0
475,0.34843212366104126,0.918541669845581,0.0,0.6067225042531489,0.0
500,0.3395231366157532,0.9194166660308838,0.0,0.5869043527066299,0.0
525,0.33117911219596863,0.9201666712760925,0.0,0.568260600866893,0.0
550,0.3233533203601837,0.9209583401679993,0.0,0.5504281506127203,0.0
575,0.31600427627563477,0.92208331823349,0.0,0.5337385839403699,0.0
600,0.309092253446579,0.9228749871253967,0.0,0.5177913737323896,0.0
625,0.30258166790008545,0.9237499833106995,0.0,0.5025840357840664,0.0
650,0.2964426875114441,0.9244583249092102,0.0,0.4882702453085571,0.0
675,0.2906460464000702,0.925041675567627,0.0,0.4746371236017755,0.0
700,0.2851640284061432,0.9256249666213989,0.0,0.4616703942828443,0.0
725,0.27997347712516785,0.9263333082199097,0.0,0.4495632447553225,0.0
750,0.27504968643188477,0.9268333315849304,0.0,0.4377952572933475,0.0
775,0.2703760862350464,0.9271666407585144,0.0,0.4267613671283596,0.0
800,0.26593253016471863,0.9275416731834412,0.0,0.41624449631998006,0.0
825,0.26170405745506287,0.9279583096504211,0.0,0.40617592787462514,0.0
850,0.25767505168914795,0.9287499785423279,0.0,0.3965587415063769,0.0
875,0.25383302569389343,0.9289999604225159,0.0,0.38736736126464566,0.0
900,0.25016433000564575,0.9294583201408386,0.0,0.37864564519262534,0.0
925,0.24665726721286774,0.9297083020210266,0.0,0.37033348635490043,0.0
950,0.24330082535743713,0.9301666617393494,0.0,0.36236120555543594,0.0
975,0.2400854527950287,0.9307500123977661,0.0,0.3547724312291865,0.0
1000,0.237002432346344,0.9312916398048401,0.0,0.3474283860341889,0.0
1025,0.23404477536678314,0.9316666722297668,0.0,0.3403663870900391,0.0
1050,0.23120322823524475,0.9321666359901428,0.0,0.3337877062164004,0.0
1075,0.2284700870513916,0.9325000047683716,0.0,0.32737406735628494,0.0
1100,0.22584040462970734,0.9328749775886536,0.0,0.32120241001212363,0.0
1125,0.22330699861049652,0.9331250190734863,0.0,0.31538675116038534,0.0
1150,0.220864400267601,0.9337499737739563,0.0,0.309690793615508,0.0
1175,0.21850813925266266,0.9340833425521851,0.0,0.3042299613432097,0.0
1200,0.21623384952545166,0.934624969959259,0.0,0.2989790035120434,0.0
1225,0.21403604745864868,0.9348750114440918,0.0,0.2939183540150599,0.0
1250,0.21191154420375824,0.9354583024978638,0.0,0.2890537927150039,0.0
1275,0.2098553478717804,0.9356666803359985,0.0,0.2844258013128042,0.0
1300,0.20786437392234802,0.9357916712760925,0.0,0.27993405652915676,0.0
1325,0.2059343457221985,0.9359583258628845,0.0,0.27567609130061205,0.0
1350,0.2040625810623169,0.9360833168029785,0.0,0.2715170047849378,0.0
1375,0.20224629342556,0.9363332986831665,0.0,0.26745810171439244,0.0
1400,0.2004835158586502,0.9365416765213013,0.0,0.263584065009015,0.0
1425,0.19877095520496368,0.9369166493415833,0.0,0.2598388906821549,0.0
1450,0.1971060335636139,0.937416672706604,0.0,0.25622301255990626,0.0
1475,0.19548681378364563,0.937874972820282,0.0,0.2527119872434641,0.0
1500,0.19391165673732758,0.9381666779518127,0.0,0.24926636245094247,0.0
1525,0.1923784613609314,0.9384999871253967,0.0,0.24596389054215637,0.0
1550,0.19088512659072876,0.9389583468437195,0.0,0.2427810928757115,0.0
1575,0.1894301325082779,0.9391666650772095,0.0,0.23966741968245614,0.0
1600,0.1880117952823639,0.9396249651908875,0.0,0.2366501424463227,0.0
1625,0.1866285353899002,0.9400833249092102,0.0,0.23376908781416572,0.0
1650,0.18527840077877045,0.9403333067893982,0.0,0.23096351767916318,0.0
1675,0.18396048247814178,0.940708339214325,0.0,0.22820166075030449,0.0
1700,0.18267354369163513,0.9409999847412109,0.0,0.2255084303705042,0.0
1725,0.18141581118106842,0.9414583444595337,0.0,0.22303288959924195,0.0
1750,0.18018607795238495,0.9416666626930237,0.0,0.22049828784629902,0.0
1775,0.17898422479629517,0.9419583082199097,0.0,0.21798534272187722,0.0
1800,0.17780885100364685,0.9422083497047424,0.0,0.21563315264254648,0.0
1825,0.17665857076644897,0.9424999952316284,0.0,0.21333848164012284,0.0
1850,0.1755322813987732,0.9429582953453064,0.0,0.21114293915104018,0.0
1875,0.17442867159843445,0.9432500004768372,0.0,0.2089927605867558,0.0
1900,0.17334748804569244,0.9435416460037231,0.0,0.20687017749252123,0.0
1925,0.17228825390338898,0.9438750147819519,0.0,0.20477128184854174,0.0
1950,0.17125049233436584,0.9440416693687439,0.0,0.20268765602107028,0.0
1975,0.17023301124572754,0.9443333148956299,0.0,0.20074057740816897,0.0
2000,0.16923503577709198,0.9444583058357239,0.0,0.19884493305193418,0.0
2025,0.16825562715530396,0.9447083473205566,0.0,0.19699758652957836,0.0
2050,0.1672939658164978,0.9450416564941406,0.0,0.19518244563937923,0.0
2075,0.16635000705718994,0.9452916383743286,0.0,0.1934283745664312,0.0
2100,0.16542299091815948,0.9455416798591614,0.0,0.19163218414043676,0.0
2125,0.16451279819011688,0.9457083344459534,0.0,0.18995102699983932,0.0
2150,0.16361865401268005,0.9459583163261414,0.0,0.1882611680644182,0.0
2175,0.16274014115333557,0.9460416436195374,0.0,0.18662542496577747,0.0
2200,0.16187675297260284,0.9463750123977661,0.0,0.18503636285741068,0.0
2225,0.16102786362171173,0.9465416669845581,0.0,0.1834570959364234,0.0
2250,0.16019316017627716,0.9467499852180481,0.0,0.18198639291095894,0.0
2275,0.15937171876430511,0.9469166398048401,0.0,0.18050512166172958,0.0
2300,0.15856394171714783,0.9471666812896729,0.0,0.1790106573846663,0.0
2325,0.1577693223953247,0.9473333358764648,0.0,0.1775651725186764,0.0
2350,0.15698733925819397,0.9474999904632568,0.0,0.17613458967738446,0.0
2375,0.15621773898601532,0.9476249814033508,0.0,0.17475407111228822,0.0
2400,0.15545985102653503,0.9478749632835388,0.0,0.17344882358889388,0.0
2425,0.15471337735652924,0.9480833411216736,0.0,0.17212298738631196,0.0
2450,0.15397830307483673,0.9482083320617676,0.0,0.17079816779505586,0.0
2475,0.15325459837913513,0.9484999775886536,0.0,0.16946598968727053,0.0
2500,0.1525419056415558,0.9485416412353516,0.0,0.16817430218561624,0.0
2525,0.15183992683887482,0.9487082958221436,0.0,0.1669496408640337,0.0
2550,0.15114803612232208,0.9489166736602783,0.0,0.16574586498708865,0.0
2575,0.15046608448028564,0.9490416646003723,0.0,0.16457660403021526,0.0
2600,0.14979341626167297,0.9492499828338623,0.0,0.16349946599966111,0.0
2625,0.14912961423397064,0.9495416283607483,0.0,0.1623850891175468,0.0
2650,0.1484750211238861,0.949874997138977,0.0,0.16121160634753673,0.0
2675,0.14782962203025818,0.950083315372467,0.0,0.16009564015125166,0.0
2700,0.1471930295228958,0.950249969959259,0.0,0.15903370399004435,0.0
2725,0.1465645283460617,0.950374960899353,0.0,0.1580445545038459,0.0
2750,0.14594414830207825,0.9507083296775818,0.0,0.1569718411900522,0.0
2775,0.14533205330371857,0.9507916569709778,0.0,0.1559574882651181,0.0
2800,0.14472779631614685,0.9509583115577698,0.0,0.15497463578405435,0.0
2825,0.1441311091184616,0.9511249661445618,0.0,0.15399534652553507,0.0
2850,0.14354202151298523,0.9512082934379578,0.0,0.15299645510323162,0.0
2875,0.14296026527881622,0.9512916803359985,0.0,0.15205449945991192,0.0
2900,0.14238572120666504,0.9513333439826965,0.0,0.15111597619689013,0.0
2925,0.14181815087795258,0.9514583349227905,0.0,0.1501958185997722,0.0
2950,0.14125758409500122,0.9515416622161865,0.0,0.14926965500894734,0.0
2975,0.14070381224155426,0.9518333077430725,0.0,0.14837114850142574,0.0
3000,0.1401566118001938,0.9519999623298645,0.0,0.14748541735380236,0.0
3025,0.13961578905582428,0.9521666765213013,0.0,0.14667332086778317,0.0
3050,0.13908112049102783,0.9524583220481873,0.0,0.1457835981983719,0.0
3075,0.13855309784412384,0.9525833129882812,0.0,0.14488080688012225,0.0
3100,0.13803116977214813,0.9527499675750732,0.0,0.14411341586005683,0.0
3125,0.13751496374607086,0.953041672706604,0.0,0.14328506308762257,0.0
3150,0.1370045691728592,0.953125,0.0,0.1424709979260098,0.0
3175,0.13649994134902954,0.953208327293396,0.0,0.14168782864640697,0.0
3200,0.13600046932697296,0.953291654586792,0.0,0.14096290996193264,0.0
3225,0.13550639152526855,0.953624963760376,0.0,0.14016606701167525,0.0
3250,0.1350177526473999,0.9538750052452087,0.0,0.13943558395459582,0.0
3275,0.13453423976898193,0.9539999961853027,0.0,0.13869771974618159,0.0
3300,0.1340557485818863,0.9541666507720947,0.0,0.13797974696676707,0.0
3325,0.13358214497566223,0.9542083144187927,0.0,0.13726987083747008,0.0
3350,0.13311365246772766,0.9543749690055847,0.0,0.13651796138161998,0.0
3375,0.13265015184879303,0.9546250104904175,0.0,0.1358056862129004,0.0
3400,0.13219135999679565,0.9547916650772095,0.0,0.13517259650734764,0.0
3425,0.13173675537109375,0.9549999833106995,0.0,0.13450741909756403,0.0
3450,0.13128675520420074,0.9552083015441895,0.0,0.1338382553535323,0.0
3475,0.13084112107753754,0.9553750157356262,0.0,0.13319112430342836,0.0
3500,0.13039982318878174,0.9555833339691162,0.0,0.13254834534083226,0.0
3525,0.12996283173561096,0.9556666612625122,0.0,0.1318674375014294,0.0
3550,0.12953008711338043,0.9557916522026062,0.0,0.13125200017323338,0.0
3575,0.12910139560699463,0.9559583067893982,0.0,0.13064484599265117,0.0
3600,0.12867651879787445,0.9560832977294922,0.0,0.1300535701653252,0.0
3625,0.1282556802034378,0.956250011920929,0.0,0.12942464384183378,0.0
3650,0.12783879041671753,0.956375002861023,0.0,0.12883378579929375,0.0
3675,0.12742581963539124,0.9565833210945129,0.0,0.1281960617544964,0.0
3700,0.12701702117919922,0.9566249847412109,0.0,0.1275463864894294,0.0
3725,0.12661224603652954,0.9567499756813049,0.0,0.12695993633819277,0.0
3750,0.126211017370224,0.9570000171661377,0.0,0.12639363427590974,0.0
3775,0.1258135735988617,0.9571250081062317,0.0,0.12579543543892316,0.0
3800,0.1254197359085083,0.9572916626930237,0.0,0.12522337326313576,0.0
3825,0.12502941489219666,0.9574583172798157,0.0,0.12466190723962128,0.0
3850,0.12464267760515213,0.9574999809265137,0.0,0.12408354086422334,0.0
3875,0.12425962835550308,0.9577499628067017,0.0,0.12350499640827775,0.0
3900,0.12387990206480026,0.9576666355133057,0.0,0.12301189543171642,0.0
3925,0.12350333482027054,0.9576666355133057,0.0,0.12245624260469194,0.0
3950,0.1231301799416542,0.9577916860580444,0.0,0.12189120513182303,0.0
3975,0.12276027351617813,0.9578333497047424,0.0,0.12138382970763802,0.0
4000,0.12239350378513336,0.9578750133514404,0.0,0.12089240374769966,0.0
4025,0.12202966958284378,0.9580000042915344,0.0,0.12038246313907608,0.0
4050,0.12166885286569595,0.9580416679382324,0.0,0.11989097473747828,0.0
4075,0.12131111323833466,0.9581666588783264,0.0,0.11936790904156622,0.0
4100,0.12095634639263153,0.9581666588783264,0.0,0.11889432778721855,0.0
4125,0.12060452252626419,0.9582083225250244,0.0,0.11837048328496422,0.0
