step,loss,acc_train,gnorm_theta,gnorm_phi,disp
0,0.49578383564949036,0.8548749685287476,1.664418339729309,1.1371912993474953,0.0
25,0.4150764048099518,0.8880833387374878,1.3014529943466187,0.9249174668999717,0.010670434683561325
50,0.36202800273895264,0.9025833010673523,1.0654261112213135,0.7847603736328619,0.01920245587825775
75,0.3244623839855194,0.9104999899864197,0.9021832346916199,0.6830373868754726,0.026285363361239433
100,0.29647815227508545,0.9170833230018616,0.7800409197807312,0.6037721018068073,0.03232370689511299
125,0.27484428882598877,0.9211666584014893,0.6882370114326477,0.5415888830460522,0.037571586668491364
150,0.2575749456882477,0.9237083196640015,0.6151691675186157,0.4912180683762581,0.04221037030220032
175,0.24345463514328003,0.9266666769981384,0.5569324493408203,0.45020479728316515,0.04635993018746376
200,0.23166094720363617,0.9291666746139526,0.5096931457519531,0.4162291474178453,0.050112925469875336
225,0.22162142395973206,0.9315833449363708,0.4704906940460205,0.3874288958685137,0.05353958532214165
250,0.2129436433315277,0.9331666827201843,0.4379502832889557,0.36322327711572855,0.05669271573424339
275,0.20533868670463562,0.9350000023841858,0.4099233150482178,0.34242058031456435,0.059613801538944244
300,0.19860009849071503,0.9361666440963745,0.385865718126297,0.32457480731694927,0.06233448162674904
325,0.19256772100925446,0.937583327293396,0.3650844991207123,0.30902580238142985,0.06488237529993057
350,0.18711112439632416,0.9388750195503235,0.3473201394081116,0.2954157267972285,0.06728193908929825
375,0.18213510513305664,0.9399166703224182,0.33151257038116455,0.28346924058930967,0.06955166906118393
400,0.17756593227386475,0.9411666393280029,0.31738144159317017,0.27289994245915494,0.07170549780130386
425,0.17334875464439392,0.9422916769981384,0.30465179681777954,0.26335415638591064,0.0737551897764206
450,0.1694357842206955,0.9435416460037231,0.29329368472099304,0.2547762782503833,0.07571090012788773
475,0.16578471660614014,0.9445416331291199,0.28295257687568665,0.24704779579766903,0.07758220285177231
500,0.16236884891986847,0.9456666707992554,0.27311986684799194,0.23998859110271975,0.07937557995319366
525,0.1591598093509674,0.9466249942779541,0.2643061578273773,0.23356577339161771,0.08109761774539948
550,0.15613582730293274,0.9476249814033508,0.25640517473220825,0.22764734455194907,0.08275485038757324
575,0.15327079594135284,0.9485833048820496,0.24929498136043549,0.22231486067203435,0.08435489982366562
600,0.15054869651794434,0.9494166374206543,0.24254930019378662,0.21736484534472672,0.08590161055326462
625,0.14795981347560883,0.949999988079071,0.2363298535346985,0.2127388354974915,0.08739778399467468
650,0.14548350870609283,0.9508749842643738,0.2309538722038269,0.20850226247889694,0.08884935826063156
675,0.14311224222183228,0.9519999623298645,0.2257952094078064,0.20450352773062408,0.09025801718235016
700,0.1408413052558899,0.9526666402816772,0.22038882970809937,0.20074428658629853,0.09162583947181702
725,0.1386621594429016,0.953291654586792,0.2156510353088379,0.19730195391765354,0.09295586496591568
750,0.13656674325466156,0.9538333415985107,0.2110043466091156,0.19404672010135687,0.09425117820501328
775,0.13454872369766235,0.9546250104904175,0.20687024295330048,0.19088608161931808,0.09551357477903366
800,0.1325996220111847,0.9555833339691162,0.20337870717048645,0.18805672176615815,0.09674625843763351
825,0.13071471452713013,0.9558749794960022,0.1993844211101532,0.18523170643177675,0.09795105457305908
850,0.12889373302459717,0.956458330154419,0.19560588896274567,0.18263354345353597,0.09912824630737305
875,0.1271315962076187,0.9567499756813049,0.19191788136959076,0.1801384120549,0.10027953237295151
900,0.12542667984962463,0.9574166536331177,0.18848073482513428,0.17777948368194177,0.10140522569417953
925,0.12377206981182098,0.9579583406448364,0.18535591661930084,0.17549016947123625,0.10250814259052277
950,0.12216445058584213,0.9582916498184204,0.1826179176568985,0.17339003368234626,0.10358919203281403
975,0.12059976160526276,0.9587083458900452,0.1797790676355362,0.17133271305538036,0.1046496331691742
1000,0.11907728761434555,0.9590416550636292,0.17710325121879578,0.16937633460459456,0.10569080710411072
1025,0.11759520322084427,0.9595833420753479,0.17449598014354706,0.16753143495994943,0.10671305656433105
1050,0.11615012586116791,0.9604166746139526,0.17211933434009552,0.1658001597009864,0.1077178567647934
1075,0.11473896354436874,0.9607916474342346,0.16984780132770538,0.16395877926423813,0.10870599001646042
1100,0.11336221545934677,0.9611250162124634,0.1675475686788559,0.16226984054413118,0.10967732965946198
1125,0.11201727390289307,0.9615833163261414,0.1654079258441925,0.16068059545196495,0.11063235253095627
1150,0.1107039749622345,0.9622916579246521,0.16289764642715454,0.15914516194019607,0.11157166212797165
1175,0.10942055284976959,0.9629583358764648,0.16088630259037018,0.15762879962220366,0.1124960407614708
1200,0.10816479474306107,0.9634166359901428,0.1590285301208496,0.15617198126071202,0.11340728402137756
1225,0.10693388432264328,0.9639999866485596,0.15735812485218048,0.1548885047575419,0.11430584639310837
1250,0.10572735220193863,0.9642916321754456,0.15538309514522552,0.15356028698550586,0.11519249528646469
1275,0.10454471409320831,0.9645000100135803,0.15379182994365692,0.1522470593360127,0.11606721580028534
1300,0.10338488966226578,0.9648749828338623,0.15212512016296387,0.15092961015763492,0.11693085730075836
1325,0.102246955037117,0.9653750061988831,0.15051765739917755,0.14976139813139827,0.11778367310762405
1350,0.10113126784563065,0.965666651725769,0.1486591249704361,0.14840855220835983,0.11862606555223465
1375,0.10003851354122162,0.9660833477973938,0.14700403809547424,0.14720939262672675,0.1194576695561409
