tag,seed,head_mult,mult,width,regime,arm,R_C,update_norm
ready_ctxfree_M128_s0,0,1.0,1.0,128,ready,ctxfree,0.9977908134460449,0.43625101553899837
ready_ctxfree_M128_s1,1,1.0,1.0,128,ready,ctxfree,0.9970677495002747,0.3546414862206866
ready_ctxfree_M128_s2,2,1.0,1.0,128,ready,ctxfree,0.9975548386573792,0.35089266861793006
ready_ctxfree_M8_s0,0,1.0,1.0,8,ready,ctxfree,0.9966771602630615,0.4427218958703256
ready_ctxfree_M8_s1,1,1.0,1.0,8,ready,ctxfree,0.9971474409103394,0.43945263332763296
ready_ctxfree_M8_s2,2,1.0,1.0,8,ready,ctxfree,0.9977149963378906,0.4702129581845388
ready_frozen_M32_s0,0,1.0,1.0,32,ready,frozen,,0.0
ready_frozen_M32_s1,1,1.0,1.0,32,ready,frozen,,0.0
ready_frozen_M32_s2,2,1.0,1.0,32,ready,frozen,,0.0
ready_headlr_M32_h0.00390625_s0,0,0.00390625,1.0,32,ready,headlr,0.9999354481697083,0.24788867230732775
ready_headlr_M32_h0.00390625_s1,1,0.00390625,1.0,32,ready,headlr,0.9999418258666992,0.2893926436316417
ready_headlr_M32_h0.00390625_s2,2,0.00390625,1.0,32,ready,headlr,0.9998975992202759,0.1752384175290523
ready_headlr_M32_h0.0625_s0,0,0.0625,1.0,32,ready,headlr,0.9999358654022217,0.24054691484431762
ready_headlr_M32_h0.0625_s1,1,0.0625,1.0,32,ready,headlr,0.9999431371688843,0.2795030859655715
ready_headlr_M32_h0.0625_s2,2,0.0625,1.0,32,ready,headlr,0.9998982548713684,0.1682144297846344
ready_headlr_M32_s0,0,1.0,1.0,32,ready,headlr,0.9999397397041321,0.17049385135994005
ready_headlr_M32_s1,1,1.0,1.0,32,ready,headlr,0.9999492168426514,0.1990506547580511
ready_headlr_M32_s2,2,1.0,1.0,32,ready,headlr,0.9999012351036072,0.1093159584362024
ready_sp_M128_s0,0,1.0,1.0,128,ready,sp,0.9999053478240967,0.11195932441684942
ready_sp_M128_s1,1,1.0,1.0,128,ready,sp,0.9999228119850159,0.1691278507879818
ready_sp_M128_s2,2,1.0,1.0,128,ready,sp,0.9999169707298279,0.15427893522247976
ready_sp_M32_s0,0,1.0,1.0,32,ready,sp,0.9999397397041321,0.17049385135994005
ready_sp_M32_s1,1,1.0,1.0,32,ready,sp,0.9999492168426514,0.1990506547580511
ready_sp_M32_s2,2,1.0,1.0,32,ready,sp,0.9999012351036072,0.1093159584362024
ready_sp_M512_s0,0,1.0,1.0,512,ready,sp,0.9998765587806702,0.07636523158893138
ready_sp_M512_s1,1,1.0,1.0,512,ready,sp,0.9999594688415527,0.09857231116371756
ready_sp_M512_s2,2,1.0,1.0,512,ready,sp,0.9999404549598694,0.08181510275419132
ready_sp_M8_s0,0,1.0,1.0,8,ready,sp,0.9999427795410156,0.12455673525969961
ready_sp_M8_s1,1,1.0,1.0,8,ready,sp,0.9999322891235352,0.21186314687515906
ready_sp_M8_s2,2,1.0,1.0,8,ready,sp,0.9998937845230103,0.2008267191599741
unready10_ctxfree_M32_s0,0,1.0,1.0,32,unready10,ctxfree,0.8913124799728394,1.2671409287931834
unready10_ctxfree_M32_s1,1,1.0,1.0,32,unready10,ctxfree,0.9021716713905334,1.2504458585943972
unready10_ctxfree_M32_s2,2,1.0,1.0,32,unready10,ctxfree,0.901777446269989,1.2790165484851352
unready10_frozen_M32_s0,0,1.0,1.0,32,unready10,frozen,,0.0
unready10_frozen_M32_s1,1,1.0,1.0,32,unready10,frozen,,0.0
unready10_frozen_M32_s2,2,1.0,1.0,32,unready10,frozen,,0.0
unready10_headlr_M32_h0.00390625_s0,0,0.00390625,1.0,32,unready10,headlr,0.9997462034225464,0.6437584839419218
