regime,seed,encoder,retrain_steps,retrain_status,retrain_train_loss,retrain_train_acc,probe_val,wall_s,retrained_acc_iid_val,retrained_acc_reversed_val,retrained_acc_ctx_random_val,retrained_acc_spec_only_val,retrained_acc_iid_test,retrained_acc_reversed_test,retrained_acc_ctx_random_test,retrained_acc_spec_only_test,original_acc_iid_val,original_acc_reversed_val,original_acc_ctx_random_val,original_acc_spec_only_val,original_probe_val
unready,0,init,20000,budget,0.5254974365234375,0.748663067817688,0.6639919759277834,41.575897216796875,0.6389167308807373,0.6339017152786255,0.6355733871459961,0.5884319543838501,0.6326923370361328,0.6214743852615356,0.6243590116500854,0.5583333373069763,,,,,
unready,0,kappa1,20000,budget,0.5297629237174988,0.739304780960083,0.6646606486125042,41.186084270477295,0.6395854353904724,0.6375793814659119,0.6352390646934509,0.599799394607544,0.6307692527770996,0.6256410479545593,0.6224359273910522,0.5743589997291565,0.9093948602676392,0.0946171805262565,0.5018388628959656,0.4938147664070129,0.6646606486125042
unready,0,kappa256,20000,budget,0.5145770311355591,0.75,0.6880641925777332,41.17003798484802,0.6255432963371277,0.649949848651886,0.6345703601837158,0.6054831147193909,0.622115433216095,0.6461538672447205,0.6371794939041138,0.5727564096450806,0.914409875869751,0.0979605466127395,0.5035105347633362,0.5198929905891418,0.6880641925777332
unready,1,init,20000,budget,0.5138223767280579,0.7629233598709106,0.7027749916415914,46.03750562667847,0.6148445010185242,0.6676696538925171,0.6375793814659119,0.6292209625244141,0.5740385055541992,0.6519231200218201,0.607692301273346,0.5740385055541992,,,,,
unready,1,kappa1,20000,budget,0.5164927244186401,0.7575757503509521,0.700768973587429,46.73379683494568,0.6111668348312378,0.6670010089874268,0.6385824084281921,0.6258776187896729,0.5637820959091187,0.6496794819831848,0.6057692766189575,0.5679487586021423,0.8883316516876221,0.0511534586548805,0.4717485606670379,0.3463724553585052,0.700768973587429
unready,1,kappa256,20000,budget,0.5215298533439636,0.7651515007019043,0.6920762286860581,47.59899115562439,0.5880976319313049,0.6456034779548645,0.6098294854164124,0.6158475279808044,0.5711538791656494,0.6387820839881897,0.603205144405365,0.5900641083717346,0.8662654161453247,0.0682046115398407,0.4667335152626037,0.3226345777511596,0.6920762286860581
unready,2,init,20000,budget,0.47329074144363403,0.791889488697052,0.7545971247074557,57.29767322540283,0.6405884027481079,0.6793714165687561,0.6519558429718018,0.5489802360534668,0.6503205299377441,0.687820553779602,0.6733974814414978,0.531410276889801,,,,,
unready,2,kappa1,20000,budget,0.4761737585067749,0.7932263612747192,0.7519224339685724,57.18098425865173,0.6449347734451294,0.670344352722168,0.6519558429718018,0.5473085641860962,0.6592949032783508,0.6842948794364929,0.6810897588729858,0.531410276889801,0.843864917755127,0.0678702741861343,0.4546974301338196,0.3182881772518158,0.7519224339685724
unready,2,kappa256,20000,budget,0.49712827801704407,0.7874331474304199,0.7459043798060849,58.0524480342865,0.6121698021888733,0.6516215205192566,0.6288866400718689,0.5777331590652466,0.625,0.6512820720672607,0.6368589997291565,0.571794867515564,0.8121029734611511,0.0742226690053939,0.4460046589374542,0.2771648168563843,0.7459043798060849
unready10,0,init,20000,budget,0.5403671860694885,0.7277183532714844,0.6639919759277834,57.19481301307678,0.652958869934082,0.6462721228599548,0.6502841711044312,0.5904379487037659,0.6592949032783508,0.64391028881073,0.6490384936332703,0.5618590116500854,,,,,
