regime,arm,width,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,acc_reversed_val,acc_ctx_random_val,acc_spec_only_val,acc_iid_test,acc_reversed_test,acc_ctx_random_test,acc_spec_only_test,status,lr,tau,reached_star,probe_val_gain,probe_test_gain
ready,ctxfree,128,1.0,0,init,0,0.8083263039588928,0.4706666469573974,1.2366900444030762,1.1270475761719738,0.0,0.0152122974395751,0.9116666666666666,0.9428333333333332,0.5686666369438171,0.3305000066757202,0.4536666572093963,0.449999988079071,0.5991666316986084,0.3458333313465118,0.4715000092983246,0.4646666646003723,stopped,0.001,1.47454833984375,True,0.0,0.0
ready,ctxfree,128,1.0,0,0.6,475,0.5999810695648193,0.7612082958221436,0.4749907255172729,0.4749601067774601,0.0549376904964447,5.95954155921936,0.9523333333333333,0.9565,0.7451666593551636,0.7278333306312561,0.7351666688919067,0.7761666774749756,0.7773333191871643,0.7706666588783264,0.7766666412353516,0.8116666674613953,stopped,0.001,1.47454833984375,True,0.04066666666666663,0.013666666666666827
ready,ctxfree,128,1.0,0,0.5,652,0.4997029602527618,0.8817499876022339,0.5672376155853271,0.5826837449290809,0.0787356346845626,8.200222253799438,0.9501666666666666,0.9588333333333332,0.8628333210945129,0.8648332953453064,0.8619999885559082,0.8840000033378601,0.8916666507720947,0.9004999995231628,0.8980000019073486,0.9163333177566528,stopped,0.001,1.47454833984375,True,0.03849999999999998,0.016000000000000014
ready,ctxfree,128,1.0,0,0.4,799,0.3999820053577423,0.9214583039283752,0.5615388751029968,0.5894085289329876,0.1008946448564529,10.07187294960022,0.9483333333333333,0.9601666666666666,0.9048333168029784,0.915833294391632,0.9114999771118164,0.9178333282470704,0.9371666312217712,0.937666654586792,0.9381666779518129,0.9473333358764648,stopped,0.001,1.47454833984375,True,0.036666666666666625,0.017333333333333423
ready,ctxfree,128,1.0,0,0.3,970,0.2996389865875244,0.9397500157356262,0.479486346244812,0.5163541114481704,0.1250131428241729,12.245109558105469,0.947,0.9605,0.9259999990463256,0.9333333373069764,0.9319999814033508,0.9329999685287476,0.9528332948684692,0.9541666507720948,0.9543333053588868,0.9584999680519104,stopped,0.001,1.47454833984375,True,0.03533333333333333,0.01766666666666683
ready,ctxfree,128,1.0,0,0.2,1247,0.1999592334032058,0.9555833339691162,0.3335083723068237,0.3686474107104697,0.1552778035402298,15.728588342666626,0.9455,0.9615,0.9409999847412108,0.9449999928474426,0.9434999823570251,0.9433333277702332,0.9664999842643738,0.9643332958221436,0.9649999737739564,0.9673333168029784,stopped,0.001,1.47454833984375,True,0.03383333333333338,0.01866666666666683
ready,ctxfree,128,1.0,0,0.15,1527,0.1499888151884079,0.9634166359901428,0.2364155948162078,0.2649653351856394,0.1765856295824051,19.25689125061035,0.9451666666666666,0.9623333333333332,0.9491666555404664,0.9521666765213012,0.9514999985694884,0.9491666555404664,0.9708333015441896,0.9706666469573976,0.9711666703224182,0.9711666703224182,stopped,0.001,1.47454833984375,True,0.033499999999999974,0.019499999999999962
ready,ctxfree,128,1.0,0,0.1,2276,0.099990963935852,0.971958339214325,0.1209814846515655,0.1390626085355469,0.2103970497846603,28.601816177368164,0.9453333333333332,0.9621666666666666,0.9558333158493042,0.9589999914169312,0.9573333263397216,0.9566666483879088,0.9760000109672546,0.9741666316986084,0.9741666316986084,0.9764999747276306,stopped,0.001,1.47454833984375,True,0.03366666666666662,0.019333333333333425
ready,ctxfree,128,1.0,0,final,2276,0.099990963935852,0.971958339214325,0.1209814846515655,0.1390626085355469,0.2103970497846603,28.64564085006714,0.9453333333333332,0.9621666666666666,0.9558333158493042,0.9589999914169312,0.9573333263397216,0.9566666483879088,0.9760000109672546,0.9741666316986084,0.9741666316986084,0.9764999747276306,stopped,0.001,1.47454833984375,True,0.03366666666666662,0.019333333333333425
ready,ctxfree,128,1.0,1,init,0,0.6946489214897156,0.5336250066757202,0.437827467918396,0.4992049821496866,0.0,0.0150966644287109,0.9413333333333334,0.9523333333333333,0.3023333251476288,0.7129999995231628,0.5088333487510681,0.5324999690055847,0.3523333370685577,0.7229999899864197,0.543666660785675,0.5588333010673523,stopped,0.001,1.47454833984375,True,0.0,0.0
ready,ctxfree,128,1.0,1,0.6,265,0.5995725989341736,0.7703333497047424,0.4413891434669494,0.4937240389810797,0.0292417407035827,3.355566501617432,0.9331666666666666,0.9551666666666666,0.7123333215713501,0.7808333039283752,0.75,0.7838333249092102,0.7618333101272583,0.8065000176429749,0.7848333120346069,0.8188333511352539,stopped,0.001,1.47454833984375,True,-0.008166666666666766,0.0028333333333333544
