k,model,seed,split,acc,macro_f1,f1_CancerEpi,f1_CAS,f1_NormalStroma,f1_NormalEpi
2,lda,0,val,0.4883783783783784,0.4772894161284174,0.5371477369769427,0.5874751491053678,0.5433287482806052,0.24120603015075376
2,lda,0,test,0.5162962962962963,0.4789787912740776,0.6067692307692307,0.5703275529865125,0.5690936106983655,0.16972477064220184
2,logreg,0,val,0.5005405405405405,0.4819443045985008,0.5358361774744027,0.612933458294283,0.5453306066803,0.23367697594501718
2,logreg,0,test,0.5288888888888889,0.4853323546463929,0.6013555144793592,0.6055384615384616,0.5667412378821775,0.16769420468557336
2,mlp,0,val,0.4905405405405405,0.4755235264249792,0.4745296007342818,0.6510212950890917,0.5,0.2765432098765432
2,mlp,0,test,0.5170370370370371,0.4765058271795699,0.5387647831800263,0.6652173913043479,0.5048888888888889,0.19715224534501644
2,mlp,1,val,0.597027027027027,0.4421972359032511,0.7060093558834113,0.7383780115371564,0.13256484149855907,0.19183673469387755
2,mlp,1,test,0.6359259259259259,0.43751029036616446,0.7726798748696558,0.7610766045548655,0.0880281690140845,0.1282565130260521
2,mlp,2,val,0.5543243243243243,0.4861858220835128,0.7139312300602623,0.5277044854881267,0.5467289719626168,0.15637860082304528
2,mlp,2,test,0.5733333333333334,0.4821021793674317,0.7706708268330733,0.4888268156424581,0.559322033898305,0.1095890410958904
4,lda,0,val,0.5254054054054054,0.5057332239284517,0.5788177339901478,0.6309055118110236,0.5809072444143534,0.2323024054982818
4,lda,0,test,0.5644444444444444,0.5169498454174695,0.6591448931116389,0.622360248447205,0.5954545454545455,0.19083969465648856
4,logreg,0,val,0.5424324324324324,0.5170062053114848,0.5822058220582206,0.6564593301435406,0.6030283080974326,0.22633136094674555
4,logreg,0,test,0.5766666666666667,0.525010167695218,0.6603325415676959,0.650210716435882,0.5908396946564886,0.19865771812080538
4,mlp,0,val,0.5554054054054054,0.5351758726003331,0.5745762711864407,0.6755148741418764,0.593103448275862,0.29750889679715303
4,mlp,0,test,0.5577777777777778,0.508902463021991,0.6150061500615006,0.667420814479638,0.5554642563681184,0.19771863117870722
4,mlp,1,val,0.591081081081081,0.5154753424606252,0.6589861751152074,0.741216471477144,0.4288577154308617,0.23284100781928757
4,mlp,1,test,0.6151851851851852,0.5089799640612457,0.7224719101123596,0.7388300322432059,0.3669501822600243,0.20766773162939298
4,mlp,2,val,0.6110810810810811,0.5326931487406867,0.7318260869565217,0.6456542502387774,0.6041397153945667,0.14915254237288136
4,mlp,2,test,0.6503703703703704,0.5413433842433464,0.8163059889280322,0.6462264150943396,0.5707656612529002,0.1320754716981132
8,lda,0,val,0.577027027027027,0.5584315689330798,0.6631016042780749,0.5993065874195146,0.5736235595390525,0.3976945244956772
8,lda,0,test,0.6325925925925926,0.5961965503780872,0.7717265353418308,0.6133162612035852,0.6121256391526662,0.3876177658142665
8,logreg,0,val,0.6,0.5707935747541844,0.7081864473168821,0.6160081053698075,0.5757946210268948,0.3831851253031528
8,logreg,0,test,0.65,0.6058413482042511,0.768,0.6592455163883735,0.6268436578171092,0.36927621861152143
8,mlp,0,val,0.6502702702702703,0.6218826988199355,0.7381507381507382,0.6857419980601358,0.6253263707571801,0.4383116883116883
8,mlp,0,test,0.6674074074074074,0.6218754702181148,0.792156862745098,0.6690997566909975,0.6243465272591486,0.40189873417721517
8,mlp,1,val,0.6283783783783784,0.6024151866425635,0.7025518341307815,0.6888677450047573,0.614247311827957,0.4039938556067588
8,mlp,1,test,0.6548148148148148,0.6135993421021964,0.7610208816705336,0.6782713085234093,0.626615969581749,0.38848920863309355
8,mlp,2,val,0.6527027027027027,0.62271827130358,0.7299610894941634,0.7068235294117647,0.6345762711864407,0.4195121951219512
8,mlp,2,test,0.6755555555555556,0.6266191833004198,0.7939698492462312,0.6903914590747331,0.6291441788743254,0.3929712460063898
16,lda,0,val,0.5691891891891891,0.5599572409133261,0.5649765658287175,0.6823176823176823,0.6472491909385113,0.3452855245683931
16,lda,0,test,0.5625925925925926,0.5377338813436914,0.5491749174917492,0.6695491043854231,0.6488956587966489,0.2833158447009444
16,logreg,0,val,0.6132432432432432,0.595242675524887,0.6506622516556292,0.6945812807881774,0.6619897959183674,0.37373737373737376
16,logreg,0,test,0.6037037037037037,0.5707499739013611,0.6169799092676604,0.7135325131810193,0.6456692913385826,0.3068181818181818
16,mlp,0,val,0.6483783783783784,0.6284669236566659,0.6831072749691739,0.7381733021077284,0.670299727520436,0.4222873900293255
16,mlp,0,test,0.6185185185185185,0.5832443208915268,0.6620341124447252,0.7110609480812641,0.6153846153846154,0.3444976076555024
16,mlp,1,val,0.6616216216216216,0.6381186540465954,0.7188244638602065,0.7235693501454898,0.6692708333333334,0.440809968847352
16,mlp,1,test,0.6340740740740741,0.5978108160508433,0.7068126520681265,0.6912552052349792,0.6311728395061729,0.362002567394095
16,mlp,2,val,0.6759459459459459,0.6526481202056195,0.7170418006430869,0.7578558225508318,0.68646408839779,0.4492307692307692
16,mlp,2,test,0.6396296296296297,0.6000402470960023,0.7032967032967034,0.7166197183098592,0.6203473945409429,0.35989717223650386
23,lda,0,val,0.6056756756756757,0.5916938424660991,0.6346074804767776,0.6845298281092013,0.6594110115236875,0.3882270497547302
23,lda,0,test,0.5911111111111111,0.5631609144170658,0.6058673469387755,0.6808510638297872,0.6486068111455109,0.31731843575418994
23,logreg,0,val,0.634054054054054,0.6149402835722293,0.6824489795918367,0.6964729259811226,0.6725552050473186,0.40828402366863903
23,logreg,0,test,0.6262962962962964,0.5871332206579755,0.6608587429993777,0.7245370370370371,0.6522435897435898,0.3108935128518972
23,mlp,0,val,0.6743243243243243,0.6514585941847584,0.7250100361300682,0.7423255813953489,0.676249144421629,0.4622496147919877
23,mlp,0,test,0.6437037037037037,0.5993554716034297,0.6955997588908981,0.731952993844432,0.6387259010896899,0.3311432325886991
23,mlp,1,val,0.6735135135135135,0.652276321023177,0.7320997586484312,0.7267525035765379,0.6701916721744877,0.48006134969325154
23,mlp,1,test,0.6525925925925926,0.6139858282035314,0.7255255255255255,0.7138777841233581,0.6308068459657702,0.3857331571994716
23,mlp,2,val,0.6891891891891891,0.6593238389700578,0.7792502839833396,0.7075743048897412,0.6517739816031537,0.49869678540399653
23,mlp,2,test,0.674074074074074,0.6225491080603404,0.7594070695553021,0.7303370786516854,0.6368159203980099,0.36363636363636365
32,lda,0,val,0.6235135135135135,0.6033346420237932,0.6809353943717796,0.6787695410993444,0.6443729903536978,0.409260642270351
32,lda,0,test,0.6092592592592593,0.5763705308646916,0.6507936507936508,0.6764705882352942,0.6493506493506493,0.32886723507917176
32,logreg,0,val,0.6424324324324324,0.61771154877522,0.7072394590294352,0.6981499513145083,0.6589147286821705,0.40654205607476634
32,logreg,0,test,0.6370370370370371,0.5969865180290221,0.6797787338660111,0.7259001161440186,0.6518987341772152,0.3303684879288437
32,mlp,0,val,0.705945945945946,0.6772358060461344,0.7745135444486837,0.7486187845303868,0.6764091858037579,0.5094017094017094
32,mlp,0,test,0.6637037037037037,0.6174044946752222,0.7351032448377581,0.7348066298342542,0.6294416243654822,0.3702664796633941
32,mlp,1,val,0.7002702702702702,0.6738226391814333,0.7725354813962408,0.7353079454630935,0.6702923181509177,0.5171548117154812
32,mlp,1,test,0.6596296296296297,0.6175236759653085,0.7383343177790904,0.7160068846815835,0.632,0.38375350140056025
32,mlp,2,val,0.7081081081081081,0.6722961021348849,0.8007339449541284,0.7280453257790368,0.6594740391099123,0.5009310986964618
32,mlp,2,test,0.6744444444444444,0.6230275951778811,0.7738296672306825,0.7151029748283753,0.6301369863013698,0.3730407523510972
64,lda,0,val,0.6508108108108108,0.6349717941877214,0.6942547207713942,0.7062937062937062,0.6692657569850552,0.47007299270072994
64,lda,0,test,0.6407407407407407,0.6065083589248907,0.673939393939394,0.7173396674584323,0.6692975532754538,0.36545682102628285
64,logreg,0,val,0.6767567567567567,0.6557402812002919,0.7360446570972887,0.7266536964980544,0.6718547341115434,0.4884080370942813
64,logreg,0,test,0.67,0.6268970304303546,0.7107636800962117,0.7572815533980582,0.6790622473726758,0.3604806408544726
64,mlp,0,val,0.7345945945945946,0.7008227605387289,0.8265602322206096,0.7436140018921475,0.6738111185532485,0.5593056894889104
64,mlp,0,test,0.6951851851851852,0.6417085167846175,0.7861915367483296,0.7432057681641708,0.6374367622259697,0.4
64,mlp,1,val,0.7281081081081081,0.6968626512936095,0.8257826887661142,0.734189253447456,0.6568364611260054,0.5706422018348624
64,mlp,1,test,0.6955555555555556,0.6419065181879735,0.7912946428571429,0.7435475013728721,0.6262798634812287,0.4065040650406504
64,mlp,2,val,0.7281081081081081,0.6910290114158664,0.8317823908375089,0.7267497603068073,0.6604897418927862,0.5450941526263627
64,mlp,2,test,0.7051851851851851,0.6444132031404369,0.8088552915766739,0.7423141419787591,0.6371976647206005,0.3892857142857143
128,lda,0,val,0.6851351351351351,0.6640343595867038,0.7360681114551083,0.7316831683168317,0.7010443864229765,0.4873417721518987
128,lda,0,test,0.6525925925925926,0.6226103301149637,0.7000610873549176,0.7119047619047619,0.6656200941915228,0.41285537700865266
128,logreg,0,val,0.701081081081081,0.6724902581237411,0.7604446147949406,0.7578646329837941,0.703530979347102,0.46812080536912754
128,logreg,0,test,0.6822222222222222,0.6432334466449287,0.7434367541766109,0.746031746031746,0.6661211129296236,0.4173441734417344
128,mlp,0,val,0.7505405405405405,0.7106297343436752,0.8355776045357902,0.7714942528735632,0.6953455571227081,0.5401015228426396
128,mlp,0,test,0.7318518518518519,0.6772500408669899,0.8170865279299014,0.7762008733624454,0.6724137931034483,0.44329896907216493
128,mlp,1,val,0.7621621621621621,0.7229070760814694,0.846344048039562,0.7799544419134397,0.701280227596017,0.5640495867768595
128,mlp,1,test,0.7388888888888889,0.686094767594329,0.8299024918743229,0.7741935483870968,0.6678141135972461,0.4724689165186501
128,mlp,2,val,0.7602702702702703,0.7178390575967488,0.8438048438048438,0.7833182230281052,0.7010752688172043,0.5431578947368421
128,mlp,2,test,0.7266666666666667,0.6690367666255541,0.8258064516129032,0.7609649122807017,0.6517626827171109,0.4376130198915009
256,lda,0,val,0.6786486486486486,0.6501222335231053,0.7230011367942403,0.750370736529906,0.7231270358306189,0.40399002493765584
256,lda,0,test,0.667037037037037,0.6291427796911091,0.6937313432835821,0.7514318442153494,0.6960865945045795,0.37532133676092544
256,logreg,0,val,0.7035135135135135,0.6675431730269348,0.7541106128550075,0.777937649880096,0.7317073170731707,0.40641711229946526
256,logreg,0,test,0.7044444444444444,0.6547337673102116,0.7466511357018055,0.7881773399014779,0.700942587832048,0.38316400580551524
256,mlp,0,val,0.7481081081081081,0.7013494838019921,0.8192348192348192,0.7906542056074767,0.7313738892686261,0.4641350210970464
256,mlp,0,test,0.7374074074074074,0.675119339030851,0.8123644251626898,0.7931404072883173,0.6886120996441281,0.40636042402826855
256,mlp,1,val,0.7489189189189189,0.7022794733897566,0.820853743876837,0.7893007977475364,0.7307430129516019,0.4682203389830508
256,mlp,1,test,0.737037037037037,0.6713834735613387,0.8201284796573876,0.7861396859772605,0.6829694323144104,0.3962962962962963
256,mlp,2,val,0.7529729729729729,0.7068175299841662,0.8248072880168185,0.7931194793119479,0.7325501036627505,0.4767932489451477
256,mlp,2,test,0.7548148148148148,0.6925839936907218,0.8303905831995719,0.8027867095391211,0.7046263345195729,0.43253234750462105
942,lda,0,val,0.6789189189189189,0.6511848322516898,0.7199091597274792,0.751730959446093,0.726797385620915,0.40630182421227196
942,lda,0,test,0.6844444444444444,0.6453252484556955,0.7193396226415094,0.7613636363636364,0.7042965459140691,0.3963011889035667
942,logreg,0,val,0.7078378378378378,0.6734739735988138,0.7559055118110236,0.7815650504080653,0.7373271889400922,0.41909814323607425
942,logreg,0,test,0.7085185185185185,0.6580192070281639,0.7444574095682613,0.7969515514425695,0.7109577221742882,0.37971014492753624
942,mlp,0,val,0.75,0.7062036917088526,0.8208744710860366,0.7905027932960894,0.7273982056590752,0.4860392967942089
942,mlp,0,test,0.7407407407407407,0.6789158250808902,0.8214285714285714,0.7913978494623656,0.6879432624113475,0.4148936170212766
942,mlp,1,val,0.7505405405405405,0.7032917514185018,0.8271044359063919,0.787372330547818,0.7241139680333565,0.4745762711864407
942,mlp,1,test,0.737037037037037,0.6697674365093973,0.8171581769436997,0.79004329004329,0.6888111888111889,0.3830570902394107
942,mlp,2,val,0.7545945945945945,0.7063717771439231,0.8299130434782609,0.7940630797773655,0.7256267409470752,0.4758842443729904
942,mlp,2,test,0.7466666666666667,0.6830338380544314,0.8273650454302512,0.7929184549356223,0.6933333333333334,0.4185185185185185
