arm,width,head_mult,seed,encoder,status,steps,train_loss,wall_s,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_CancerEpi,f1_ctx_random_val_CAS,f1_ctx_random_val_NormalStroma,f1_ctx_random_val_NormalEpi,acc_iid_val,f1_iid_val,f1_iid_val_CancerEpi,f1_iid_val_CAS,f1_iid_val_NormalStroma,f1_iid_val_NormalEpi,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_CancerEpi,f1_homogeneous_val_CAS,f1_homogeneous_val_NormalStroma,f1_homogeneous_val_NormalEpi,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_CancerEpi,f1_ctx_random_test_CAS,f1_ctx_random_test_NormalStroma,f1_ctx_random_test_NormalEpi,acc_iid_test,f1_iid_test,f1_iid_test_CancerEpi,f1_iid_test_CAS,f1_iid_test_NormalStroma,f1_iid_test_NormalEpi,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_CancerEpi,f1_homogeneous_test_CAS,f1_homogeneous_test_NormalStroma,f1_homogeneous_test_NormalEpi
nat,32,1.0,0,init,done,20000.0,0.8997009992599487,6.398670673370361,0.4651351571083069,0.4548292202794896,0.5216680294358136,0.46336206896551724,0.5351586807716241,0.29912810194500333,0.48486489057540894,0.4613837166921415,0.5904397705544933,0.4029936672423719,0.541860465116279,0.3102409638554217,0.4718919098377228,0.4518351785549196,0.5688646117830667,0.35714285714285715,0.5501691093573844,0.33116413593637023,0.4614814817905426,0.4293417781402887,0.5215252152521526,0.4856952761144378,0.5525568181818182,0.15758980301274622,0.46481481194496155,0.42356153154165727,0.5645821157218002,0.4069767441860465,0.5669083717864206,0.15577889447236182,0.4422222077846527,0.40674041615471657,0.5324519230769231,0.36964688204357626,0.5609284332688588,0.16393442622950818
nat,32,1.0,0,0.3,done,20000.0,0.40788140892982483,6.669506311416626,0.6935135126113892,0.6737295835119644,0.7589743589743589,0.7191119691119691,0.6784313725490196,0.5384006334125099,0.6881081461906433,0.6661924957487524,0.7798025816249051,0.6705020920502092,0.661378889566809,0.5530864197530864,0.6913513541221619,0.668807375957654,0.781203007518797,0.6726315789473685,0.6678832116788321,0.5535117056856187,0.6677777767181396,0.6234005315175173,0.7313345091122869,0.7344110854503464,0.6634615384615384,0.36439499304589706,0.6507407426834106,0.6113537205593638,0.7521367521367521,0.6658491722869405,0.6280120481927711,0.39941690962099125,0.6585184931755066,0.6173040540747763,0.7627118644067796,0.6715958102279729,0.6360902255639098,0.3988183161004431
nat,32,1.0,0,final,done,20000.0,0.3776908814907074,6.600201606750488,0.6951351761817932,0.6725282028405033,0.7755417956656346,0.7094890510948905,0.6636185499673416,0.5414634146341464,0.6875675916671753,0.6642796273735703,0.7867370007535796,0.660695468914647,0.6561743341404358,0.5535117056856187,0.6951351761817932,0.6716989832222993,0.7949101796407185,0.6638343069569835,0.6626506024096386,0.5654008438818565,0.6674073934555054,0.621297749497395,0.7492828456683879,0.7162790697674418,0.6444444444444445,0.37518463810930575,0.6381481289863586,0.5951849064387571,0.7460850111856824,0.6424090338770388,0.6223207686622321,0.3699248120300752,0.6429629325866699,0.6013558278630512,0.7523862998315554,0.6443883984867591,0.6265590608950844,0.382089552238806
headlr,32,0.00390625,0,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headlr,32,0.00390625,0,final,done,20000.0,0.4612472653388977,6.166457891464233,0.6597297191619873,0.6387103909572877,0.7036144578313253,0.720532319391635,0.6824457593688363,0.4482490272373541,0.6440540552139282,0.6214314544086836,0.7150663544106167,0.6594761171032357,0.6642380085003036,0.44694533762057875,0.6370270252227783,0.6149002449454819,0.7147310989867498,0.6389473684210526,0.6583034647550776,0.44761904761904764,0.647777795791626,0.6043565806278628,0.6940253470126735,0.7353951890034365,0.65642683912692,0.33157894736842103,0.6048148274421692,0.5691609682715724,0.6835138387484958,0.6458072590738423,0.6191176470588236,0.3282051282051282,0.5951851606369019,0.5615092739445298,0.6807738814993954,0.6242038216560509,0.613603473227207,0.327455919395466
nat16,32,1.0,0,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nat16,32,1.0,0,final,done,20000.0,0.566413938999176,6.2987494468688965,0.6024324297904968,0.581120687243971,0.632661456190868,0.6988636363636364,0.6442244224422442,0.34873323397913564,0.5835134983062744,0.5608952039160044,0.6570397111913358,0.583934088568486,0.6301050175029171,0.37250199840127896,0.5602703094482422,0.5473984775437423,0.6137521222410866,0.5586470267321331,0.6336522228474958,0.38354253835425384,0.6048148274421692,0.5677165867313214,0.6455223880597015,0.6914319952067106,0.6395080707148347,0.2944038929440389,0.5788888931274414,0.5393935949989297,0.6690734055354994,0.5961917268548916,0.6170798898071626,0.27522935779816515,0.5351851582527161,0.5116505168947532,0.6157826649417852,0.5165843330980946,0.5984455958549223,0.3157894736842105
shuf,32,1.0,0,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuf,32,1.0,0,final,done,20000.0,0.36617812514305115,6.449467420578003,0.7078378796577454,0.6828785212990092,0.7740940632228219,0.7438330170777988,0.6902536715620827,0.5233333333333333,0.6921621561050415,0.6645255017739633,0.7855316039459262,0.6677299308878256,0.6791767554479419,0.5256637168141592,0.6883783936500549,0.6606114462785835,0.7873039036847865,0.6503000545553737,0.6761061946902654,0.5287356321839081,0.6800000071525574,0.6319304588086219,0.7440510737086478,0.7488636363636364,0.6677551020408163,0.3670520231213873,0.6425926089286804,0.6022425713381152,0.7536394176931691,0.6385390428211587,0.6239882266372333,0.39280359820089955,0.6388888955116272,0.5970522076100266,0.754863813229572,0.6245975531229878,0.6263498920086393,0.38239757207890746
nat,32,1.0,1,init,done,20000.0,0.7880130410194397,6.4023659229278564,0.5443243384361267,0.5241274763873555,0.651792828685259,0.504885993485342,0.5572609208972845,0.3825701624815362,0.4954054057598114,0.4820178389499703,0.5996563573883161,0.38531005418422637,0.5366114377338321,0.4064935064935065,0.49945947527885437,0.48850419939067286,0.5979655019902698,0.3856882959369315,0.5385023898035051,0.43186060983198504,0.5522221922874451,0.5073109929204176,0.6922642574816488,0.4968944099378882,0.575880758807588,0.26420454545454547,0.5007407665252686,0.4696459636608201,0.6444579043004239,0.3619489559164733,0.5592185592185592,0.31295843520782396,0.49666666984558105,0.4712018928470391,0.6269592476489029,0.3592156862745098,0.5637910085054678,0.334841628959276
