step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp
0,2.2164552211761475,0.26217252016067505,0.209874605284446,0.9416431188583374,3.9900651108294247,0.0
25,1.8797425031661987,0.28932908177375793,0.23416207960453037,0.660185694694519,3.1731510064338426,0.005999744404107332
50,1.66741943359375,0.32051119208335876,0.2626729520755282,0.48940637707710266,2.548932630485908,0.010229784995317459
75,1.5295454263687134,0.34913739562034607,0.29209364376312774,0.3930470049381256,2.069634900049491,0.01336720585823059
100,1.4372355937957764,0.3796805143356323,0.3200160468325386,0.3353494107723236,1.7162037750657635,0.01581389270722866
125,1.3715693950653076,0.40543133020401,0.344608272334854,0.30298912525177,1.4656691130510042,0.01782486028969288
150,1.3223223686218262,0.4270287752151489,0.36410012804091507,0.2829451560974121,1.2850046549031624,0.01955554634332657
175,1.283184289932251,0.4460063874721527,0.3821214798807366,0.27098819613456726,1.1534378953924727,0.021113408729434013
200,1.2509560585021973,0.4605751037597656,0.3958368953617684,0.2625419497489929,1.0528532343693853,0.02256261371076107
225,1.2236534357070923,0.4710543155670166,0.4061879406411267,0.25777825713157654,0.9720266556943078,0.02394944243133068
250,1.199984073638916,0.4812779724597931,0.4166207852099437,0.25393146276474,0.9054930078350368,0.025300636887550354
275,1.1790224313735962,0.4891373813152313,0.4242613915538169,0.2505054473876953,0.8541659182982487,0.026624225080013275
