arm,width,head_mult,seed,threshold,step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,f1_iid_val,f1_iid_val_CancerEpi,f1_iid_val_CAS,f1_iid_val_NormalStroma,f1_iid_val_NormalEpi,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_CancerEpi,f1_ctx_random_val_CAS,f1_ctx_random_val_NormalStroma,f1_ctx_random_val_NormalEpi,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_CancerEpi,f1_homogeneous_val_CAS,f1_homogeneous_val_NormalStroma,f1_homogeneous_val_NormalEpi,acc_iid_test,f1_iid_test,f1_iid_test_CancerEpi,f1_iid_test_CAS,f1_iid_test_NormalStroma,f1_iid_test_NormalEpi,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_CancerEpi,f1_ctx_random_test_CAS,f1_ctx_random_test_NormalStroma,f1_ctx_random_test_NormalEpi,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_CancerEpi,f1_homogeneous_test_CAS,f1_homogeneous_test_NormalStroma,f1_homogeneous_test_NormalEpi,status,lr,reached_star
natfull,32,1.0,1,init,0,1.4717209339141846,0.10600639134645462,0.10334707668931722,0.0,6.4189377212055785,0.0,0.006368398666381836,0.6344559834848466,0.6419532823690661,0.08702702820301056,0.08771349675374143,0.03335017685699848,0.05071521456436931,0.11473380107304994,0.15205479452054796,0.1899999976158142,0.18347700965860278,0.19496518478843064,0.12492113564668769,0.24245002126754572,0.17157169693174704,0.07810810953378677,0.07859852090613481,0.06321575813101236,0.038871473354231974,0.10110069302894414,0.11120615911035073,0.08481481671333313,0.08075091360006961,0.03480422622747048,0.06174957118353345,0.14806505888951205,0.07838479809976247,0.18074074387550354,0.16545956586796723,0.20577871740662437,0.13238770685579196,0.24545954870665934,0.0782122905027933,0.0770370364189148,0.07290590221837995,0.05730337078651685,0.031224322103533278,0.1291409320606401,0.07395498392282958,stopped,0.001,True
natfull,32,1.0,1,1.0,33,0.9974687099456787,0.5119488835334778,0.4349573972592238,0.0,2.386759082565645,0.0,0.2694549560546875,0.6344559834848466,0.6419532823690661,0.4794594645500183,0.4162206084178038,0.6946061311602638,0.0660377358490566,0.5211267605633803,0.3831118060985145,0.2432432472705841,0.23165116589975737,0.30149716055756326,0.12105263157894737,0.2966666666666667,0.20738820479585224,0.4937838017940521,0.40513844547988037,0.745702005730659,0.0350597609561753,0.52514463729417,0.31464737793851716,0.4640740752220154,0.38724851008395245,0.7136465324384788,0.07492795389048991,0.5299785867237687,0.23044096728307253,0.23444443941116333,0.20716841043945294,0.21694378463974665,0.15505090054815976,0.31927437641723355,0.13740458015267176,0.4962962865829468,0.395218415263196,0.7914937759336099,0.03714565004887586,0.5261472785485592,0.22608695652173913,stopped,0.001,True
natfull,32,1.0,1,0.8,99,0.7998328804969788,0.6437699794769287,0.5831642316525335,0.0,1.2852555642427959,0.0,0.7394149303436279,0.6344559834848466,0.6419532823690661,0.5540540814399719,0.4893610179106552,0.7690120824449183,0.23884892086330936,0.5552434456928839,0.39433962264150946,0.2683783769607544,0.2598992043045878,0.3522504892367906,0.17769607843137256,0.2893919218819352,0.2202583276682529,0.5664864778518677,0.4959708616782191,0.7835408022130014,0.26062322946175637,0.5644699140401146,0.37524950099800397,0.5359259247779846,0.4694893342673013,0.759956942949408,0.2905405405405405,0.5579793340987371,0.2694805194805195,0.25925925374031067,0.23941448199855847,0.2419984387197502,0.24742268041237114,0.31274900398406374,0.15548780487804878,0.5540740489959717,0.4887456726030944,0.7824245632609846,0.30948419301164726,0.5625730994152047,0.3005008347245409,stopped,0.001,True
natfull,32,1.0,1,0.6,361,0.5998387932777405,0.7511821389198303,0.7312344558889122,0.0,0.645532431438685,0.0,2.424499750137329,0.6344559834848466,0.6419532823690661,0.6289189457893372,0.6050738012254305,0.7272024729520865,0.586483390607102,0.6536312849162011,0.45297805642633227,0.2875675857067108,0.28167214800226736,0.3628530397319292,0.2583148558758315,0.28114396509936984,0.22437673130193905,0.6283783912658691,0.6099816799454862,0.7165605095541401,0.6046511627906976,0.6550319953461314,0.46368305209097577,0.5951851606369019,0.562902176140326,0.6928571428571428,0.5947019867549669,0.6171107994389902,0.3469387755102041,0.2737036943435669,0.25038397697011233,0.2,0.3616279069767442,0.2913522925130586,0.1485557083906465,0.5774074196815491,0.5486510815129199,0.6633846153846154,0.59765625,0.6073223259152908,0.3262411347517731,stopped,0.001,True
natfull,32,1.0,1,0.5,723,0.4999903440475464,0.7943131327629089,0.7768312117264158,0.0,0.4338184033317633,0.0,4.674338340759277,0.6344559834848466,0.6419532823690661,0.6735135316848755,0.6516810741987648,0.737330754352031,0.6994818652849741,0.6987654320987654,0.47114624505928854,0.29081082344055176,0.2843112158391886,0.35333018422295703,0.2936344969199179,0.2731048805815161,0.21717530163236337,0.642973005771637,0.6269920236446547,0.6947368421052632,0.6874043855175931,0.6805819101834282,0.4452449567723343,0.6270370483398438,0.5920109376520968,0.6961194029850746,0.6736324523663184,0.6418816388467374,0.3564102564102564,0.2848148047924042,0.2562360628862935,0.18790849673202614,0.40670859538784065,0.2712975098296199,0.15902964959568733,0.6025925874710083,0.5739570123900574,0.6511627906976745,0.6699206833435022,0.6318216756341276,0.3429228998849252,stopped,0.001,True
natfull,32,1.0,1,0.4,1587,0.3999517261981964,0.835463285446167,0.8195723070974631,0.0,0.27133886710272104,0.0,10.124760627746582,0.6344559834848466,0.6419532823690661,0.7072973251342773,0.6850718220168839,0.7604006163328197,0.748159057437408,0.7191157347204161,0.5126118795768918,0.3005405366420746,0.29148441390709834,0.33922599139990445,0.35365286179618427,0.2542182227221597,0.21884057971014492,0.6729729771614075,0.6556969010008449,0.7153225806451613,0.7314725697786333,0.693029490616622,0.482962962962963,0.6588888764381409,0.6189154362012491,0.7162403331350387,0.7284382284382285,0.65814696485623,0.37283621837549935,0.2944444417953491,0.2568286542624453,0.16871416871416872,0.4458413926499033,0.24516129032258063,0.16759776536312848,0.6329629421234131,0.5984345351043643,0.6666666666666666,0.7254901960784313,0.6503267973856209,0.35125448028673834,stopped,0.001,True
natfull,32,1.0,1,0.3,4084,0.2999785840511322,0.8803195357322693,0.8661720045931847,0.0,0.15513894379361404,0.0,25.4248948097229,0.6344559834848466,0.6419532823690661,0.7391892075538635,0.7171849415118253,0.7894333843797856,0.7791087685673215,0.7373333333333333,0.5628642797668609,0.2991892099380493,0.2878839810727257,0.30294259527255185,0.38639337112952465,0.22716346153846154,0.23503649635036497,0.708648681640625,0.6883005046656809,0.7554498612762585,0.7615062761506276,0.7053140096618358,0.5309318715740016,0.6822222471237183,0.6399396672908524,0.7423887587822015,0.7479954180985109,0.669374492282697,0.4,0.29592591524124146,0.24844808120283446,0.154095701540957,0.4726598702502317,0.21273408239700375,0.1543026706231454,0.6674073934555054,0.6259035614615656,0.7160048134777377,0.751685393258427,0.6610878661087866,0.3748361730013106,stopped,0.001,True
natfull,32,1.0,1,0.2,11361,0.19999799132347107,0.9250479340553284,0.9152328466291612,0.0,0.09444173268358456,0.0,71.21145391464233,0.6344559834848466,0.6419532823690661,0.7567567825317383,0.732936111813354,0.8150943396226416,0.7841658812441094,0.7418918918918919,0.5905923344947736,0.28324323892593384,0.2646990073081661,0.25593795443528844,0.4078144078144078,0.1744340878828229,0.22060957910014514,0.7259459495544434,0.7029219156252617,0.7868725868725869,0.76,0.70474879559532,0.56006628003314,0.6992592811584473,0.6541743641305096,0.7719701321079839,0.7537058152793614,0.6726238830219334,0.41839762611275966,0.2837037146091461,0.23074111935609024,0.14009661835748793,0.4688480502017033,0.17287866772402855,0.14114114114114115,0.6737037301063538,0.6265596977298282,0.7421236872812136,0.7446808510638298,0.6504201680672269,0.36901408450704226,stopped,0.001,True
natfull,32,1.0,1,0.15,18694,0.1499992311000824,0.9454952478408813,0.9381216421926122,0.0,0.07541772707238913,0.0,116.59164428710938,0.6344559834848466,0.6419532823690661,0.7672973275184631,0.7437355485226189,0.8233082706766918,0.7943661971830986,0.7532290958531611,0.6040386303775241,0.27702704071998596,0.2537308164842123,0.24392614188532555,0.4127861089187056,0.15589887640449437,0.2023121387283237,0.7364864945411682,0.7121309798338294,0.8010691103474609,0.7662337662337663,0.7100346020761246,0.5711864406779661,0.7122222185134888,0.6658387341327461,0.7907239819004525,0.7592487194080819,0.6775244299674267,0.43585780525502316,0.27481481432914734,0.21917588635451887,0.14113873295910184,0.4601847778266608,0.1434460016488046,0.13193403298350825,0.6770370602607727,0.6285307477978449,0.754325259515571,0.7399103139013453,0.6454316848281643,0.37445573294629897,stopped,0.001,True
natfull,32,1.0,1,0.1,31102,0.0999990925192833,0.9700319766998291,0.9658668845275137,0.0,0.058871305300829485,0.0,170.62858080863953,0.6344559834848466,0.6419532823690661,0.7740540504455566,0.7491535755486853,0.8307921160282633,0.797196261682243,0.7619047619047619,0.6067211625794732,0.26972973346710205,0.2433026913119,0.2428430404738401,0.40384615384615385,0.14096916299559473,0.18555240793201133,0.7418919205665588,0.7178482097052858,0.8032036613272311,0.77207582061951,0.7173462335867312,0.5787671232876712,0.7174074053764343,0.6693821680676114,0.8040201005025126,0.7565415244596132,0.6753670473083198,0.4416,0.2707407474517822,0.20698943569206463,0.13705179282868526,0.4649763644177052,0.11846689895470383,0.10746268656716418,0.6803703904151917,0.6314961386810961,0.7699316628701595,0.7303561334087055,0.6411960132890365,0.38450074515648286,stopped,0.001,True
