step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp
0,1.4019112586975098,0.23214058578014374,0.20312857350765767,0.3129518926143646,0.3294737747418816,0.0
25,1.3968676328659058,0.24095846712589264,0.21103259327944582,0.3034760653972626,0.3242585872775842,0.002230460988357663
50,1.39202082157135,0.2472204566001892,0.21735482816223398,0.295565664768219,0.32099889785755265,0.00439794547855854
75,1.387307047843933,0.25367411971092224,0.22339608299554378,0.2902223765850067,0.31990225000249517,0.006513675674796104
100,1.3826650381088257,0.261277973651886,0.23049531377599286,0.2883613109588623,0.32018014943590334,0.008592760190367699
125,1.3780227899551392,0.26952075958251953,0.23844899081504206,0.28640034794807434,0.32180863012573857,0.010656422935426235
150,1.3733755350112915,0.2757188677787781,0.24417244698995752,0.28584739565849304,0.324454803377577,0.012696969322860241
175,1.3686699867248535,0.282428115606308,0.25057064379658167,0.28576359152793884,0.3285482049381111,0.014730888418853283
200,1.3638612031936646,0.2895207703113556,0.2573855636819056,0.29025590419769287,0.33411765886057965,0.016768475994467735
225,1.3589109182357788,0.2959105372428894,0.2636740149078344,0.29176783561706543,0.34053163430756644,0.018816914409399033
250,1.3537776470184326,0.30274760723114014,0.2699939536622137,0.29761365056037903,0.34808532362260863,0.020886732265353203
275,1.34840726852417,0.3107348382472992,0.27726915706537514,0.30561402440071106,0.3565611672169545,0.022994551807641983
300,1.3427773714065552,0.3180830776691437,0.28499974729627175,0.31165093183517456,0.3654319192299491,0.025145230814814568
325,1.336865782737732,0.32428115606307983,0.29084782321732494,0.3186379075050354,0.37532380086757805,0.027338866144418716
350,1.330670714378357,0.3318849802017212,0.2984203044331825,0.3244413137435913,0.3855074483896673,0.029567066580057144
375,1.3241679668426514,0.336805135011673,0.30328470660040796,0.3310542404651642,0.3964837960367532,0.03183440491557121
400,1.3173139095306396,0.34408947825431824,0.31017042948863244,0.3394685387611389,0.40793303973355743,0.03415115177631378
