k,model,seed,split,acc,macro_f1,f1_CancerEpi,f1_CAS,f1_NormalStroma,f1_NormalEpi
2,lda,0,val,0.5345161290322581,0.5261986687896559,0.6379928315412187,0.5501691093573844,0.49432197728790916,0.42231075697211157
2,lda,0,test,0.532962962962963,0.4955246648087719,0.6144355336212215,0.6054254007398274,0.5754495699765442,0.1867881548974943
2,logreg,0,val,0.5551612903225807,0.5446158289541936,0.6575505350772889,0.5767790262172284,0.4943067649028801,0.44982698961937717
2,logreg,0,test,0.5533333333333333,0.5087937499572625,0.6216216216216216,0.6397146254458977,0.574088440651668,0.19975031210986266
2,mlp,0,val,0.4541935483870968,0.40009153282726184,0.0022172949002217295,0.5491329479768786,0.551094890510949,0.4979209979209979
2,mlp,0,test,0.4022222222222222,0.3678913602611151,0.005982053838484547,0.6095592799503414,0.5787545787545788,0.2772695285010556
2,mlp,1,val,0.587741935483871,0.5007749470378521,0.7747178329571106,0.5787506673785371,0.5023317788141239,0.14729950900163666
2,mlp,1,test,0.6737037037037037,0.5329621671050494,0.8665723715228666,0.631578947368421,0.5473186119873817,0.08637873754152824
2,mlp,2,val,0.47516129032258064,0.44268663585624274,0.19961612284069097,0.6035443037974684,0.4681460272011453,0.49944008958566627
2,mlp,2,test,0.4318518518518519,0.40392256022055006,0.15176151761517614,0.6560906515580737,0.543801652892562,0.26403641881638845
4,lda,0,val,0.5567741935483871,0.54563178019152,0.6430260047281324,0.5846662989520133,0.52832674571805,0.42650807136788443
4,lda,0,test,0.5755555555555556,0.5262547340517644,0.6630888491353608,0.6548672566371682,0.5821972734562951,0.20486555697823303
4,logreg,0,val,0.5880645161290322,0.5748528863221078,0.684301322599195,0.6006637168141593,0.5561904761904762,0.4582560296846011
4,logreg,0,test,0.5929629629629629,0.5396559758343628,0.6630824372759857,0.6858127512923607,0.5902165196471532,0.21951219512195122
4,mlp,0,val,0.49806451612903224,0.4731969959454839,0.27542754275427545,0.62134944612286,0.48863636363636365,0.5073746312684366
4,mlp,0,test,0.47555555555555556,0.44207540807552714,0.23407917383820998,0.7136100893326327,0.5381083562901745,0.2825040128410915
4,mlp,1,val,0.5919354838709677,0.544485461803948,0.721608040201005,0.6373737373737374,0.5095812633073101,0.3093788063337393
4,mlp,1,test,0.652962962962963,0.5615096397895173,0.7918196119559517,0.6995753715498938,0.5275519421860885,0.22709163346613545
4,mlp,2,val,0.5338709677419354,0.528139164334803,0.4488854727132975,0.566128067025733,0.5915985997666278,0.5059445178335535
4,mlp,2,test,0.48333333333333334,0.46423994509485184,0.3957543593631539,0.6334733053389322,0.5677321156773212,0.26
