step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp
0,1.3890445232391357,0.2882779538631439,0.25379906768121824,0.2241593897342682,0.19621785539617817,0.0
25,1.3868218660354614,0.29172205924987793,0.25748983760912325,0.2244114875793457,0.19692555834683406,0.001606581499800086
50,1.3845986127853394,0.2969788610935211,0.262702657016327,0.22230587899684906,0.19826894321279373,0.003206424880772829
75,1.3823692798614502,0.3013293147087097,0.2664423946324051,0.22203554213047028,0.2005712177833195,0.00479750894010067
100,1.3801265954971313,0.3064652681350708,0.27078359688991394,0.22084325551986694,0.20321890186021482,0.006379780359566212
125,1.377862811088562,0.3113595247268677,0.27543786232989365,0.2199472337961197,0.20663662384021486,0.007953631691634655
150,1.3755708932876587,0.3152870237827301,0.27884698511121253,0.21946382522583008,0.2105770009213322,0.009518695063889027
175,1.3732337951660156,0.31818732619285583,0.2814815627225359,0.21867379546165466,0.21520001717030202,0.01108190231025219
200,1.3708564043045044,0.32241693139076233,0.28588041627378347,0.22073815762996674,0.22001209846219158,0.012635898776352406
225,1.3683853149414062,0.32688820362091064,0.29067197253415367,0.22208620607852936,0.225730965355064,0.014208635315299034
250,1.3658381700515747,0.3315407931804657,0.29528562138241304,0.22366271913051605,0.23160870984522583,0.015785645693540573
275,1.3631974458694458,0.335528701543808,0.2991713290197464,0.22623325884342194,0.23810404168127422,0.01737328991293907
300,1.3604422807693481,0.3406042158603668,0.3042669446070059,0.22986601293087006,0.24485277579721557,0.018980007618665695
325,1.3575706481933594,0.345377653837204,0.30875029261339315,0.23200534284114838,0.25211260200273017,0.020601829513907433
350,1.354569911956787,0.35093656182289124,0.31401195461853804,0.23551328480243683,0.25996679726092764,0.02223951742053032
375,1.351414680480957,0.35462236404418945,0.3177079539689789,0.2404547929763794,0.2680041548864729,0.023902975022792816
400,1.3480842113494873,0.3600604236125946,0.32274768142467536,0.2451009303331375,0.2767031354461829,0.025601433590054512
425,1.3445894718170166,0.36513593792915344,0.3280830600987247,0.24914181232452393,0.28563453293168195,0.027322208508849144
450,1.340889811515808,0.3695468306541443,0.33231785129565883,0.2558186948299408,0.2947542004807637,0.02908165194094181
475,1.3369656801223755,0.37661632895469666,0.3389011886474334,0.2630758285522461,0.3045105550989182,0.03088466264307499
500,1.3327932357788086,0.3804229497909546,0.3422810485186933,0.2700672745704651,0.31476506416913674,0.03273463249206543
525,1.3283627033233643,0.3867069482803345,0.34847381091927443,0.27744901180267334,0.32539539957660074,0.03463045507669449
550,1.3236348628997803,0.39069485664367676,0.3526075883659685,0.2861321270465851,0.3369201961197284,0.03658166155219078
575,1.318601131439209,0.3979456126689911,0.3602603147747253,0.29357394576072693,0.348471809277163,0.038585640490055084
600,1.313245177268982,0.40374621748924255,0.36619872899358186,0.3020421266555786,0.36058519131302996,0.04064520448446274
625,1.3075364828109741,0.40936556458473206,0.37218362622296863,0.31074002385139465,0.37257099358078416,0.042765431106090546
650,1.301477074623108,0.4155891239643097,0.37807903830764855,0.3190287947654724,0.3848989759341426,0.04494047537446022
675,1.295050024986267,0.42138972878456116,0.3836771804724173,0.3267470598220825,0.39744347906313837,0.04716995730996132
700,1.2882384061813354,0.42700907588005066,0.38973903271143373,0.3347139060497284,0.4104378975044506,0.04945356026291847
725,1.281030535697937,0.43329304456710815,0.39568481320936943,0.34287014603614807,0.4235737011320773,0.05178920924663544
750,1.2733948230743408,0.4393957853317261,0.4017325230166109,0.3516926169395447,0.4365379788839962,0.054184164851903915
775,1.265321135520935,0.44519639015197754,0.4077943452090246,0.36025068163871765,0.44982558331273637,0.05663953348994255
800,1.256786584854126,0.4492447078227997,0.4123407472820878,0.3689970076084137,0.46319270325615813,0.05915741249918938
825,1.2477935552597046,0.45468276739120483,0.4178551167327905,0.3768864572048187,0.47622167572661045,0.06173344701528549
850,1.23835289478302,0.4586707055568695,0.42232834876961606,0.38372546434402466,0.4891170531398056,0.0643593892455101
875,1.2284668684005737,0.4654984772205353,0.42917310933518493,0.39078646898269653,0.5017691662346381,0.06703405827283859
900,1.2181342840194702,0.4710574150085449,0.4349552733266452,0.39850345253944397,0.5137414317539181,0.06975875794887543
925,1.2073614597320557,0.4773413836956024,0.44160813890147915,0.4047572612762451,0.5250080018713902,0.07253487408161163
950,1.196165919303894,0.48138973116874695,0.4459682273562297,0.4112939238548279,0.5360572729554682,0.07535642385482788
975,1.1845506429672241,0.48598188161849976,0.4509188972220898,0.41739538311958313,0.546137348870032,0.07822354882955551
1000,1.172556757926941,0.490151047706604,0.4550733841821461,0.42291802167892456,0.5555521926070452,0.08112942427396774
1025,1.1602129936218262,0.49444109201431274,0.45975097595743575,0.4268623888492584,0.5636703196378489,0.08407136052846909
1050,1.1475627422332764,0.4981873035430908,0.4638915012739879,0.4305305778980255,0.5707687556091924,0.08704296499490738
1075,1.1346561908721924,0.5018731355667114,0.46792335777073113,0.4330897927284241,0.5771854608822883,0.0900363102555275
1100,1.1215590238571167,0.5052567720413208,0.47187333254592545,0.43453797698020935,0.5818017475403633,0.0930417999625206
1125,1.1083104610443115,0.5080362558364868,0.47491301047777007,0.43555036187171936,0.5851564567822841,0.09605830162763596
1150,1.0949925184249878,0.509667694568634,0.47672307081730103,0.4348491430282593,0.5868455001844629,0.09907635301351547
1175,1.0816519260406494,0.5104531645774841,0.47767666883760695,0.43389418721199036,0.5877212347998838,0.10208776593208313
1200,1.0683386325836182,0.5122054219245911,0.47925558410972713,0.43193256855010986,0.5870268147917975,0.10508877784013748
1225,1.0551059246063232,0.5132930278778076,0.4802288006018553,0.42911723256111145,0.5852110518866781,0.1080760732293129
1250,1.04203200340271,0.5145015120506287,0.48167736786025145,0.42478764057159424,0.5816475110103644,0.11103615909814835
