k,model,seed,split,acc,macro_f1,f1_Asphalt,f1_Meadows,f1_Gravel,f1_Trees,f1_PaintedMetal,f1_BareSoil,f1_Bitumen,f1_Bricks,f1_Shadows
2,lda,0,val,0.5140959170447181,0.5488308926155891,0.7232985593641331,0.46596858638743455,0.1375796178343949,0.6666666666666666,0.8111332007952287,0.21363910681955342,0.5687903970452447,0.35467980295566504,0.9977220956719818
2,lda,0,test,0.7181208053691275,0.7193827401110021,0.8622754491017964,0.7376146788990826,0.4270353302611367,0.88671875,0.8401826484018264,0.5181733457595527,0.43162393162393164,0.774869109947644,0.9959514170040485
2,logreg,0,val,0.5469863901490603,0.5717917589617364,0.6695821185617103,0.551462621885157,0.12903225806451613,0.7252475247524752,0.9468085106382979,0.1447098976109215,0.6060019361084221,0.37555886736214605,0.9977220956719818
2,logreg,0,test,0.697986577181208,0.7228106566066812,0.8604329801934593,0.713716814159292,0.43478260869565216,0.8690591658583899,0.9836065573770492,0.3943377148634985,0.4582441113490364,0.7951645399597045,0.9959514170040485
2,mlp,0,val,0.5941348023331173,0.591171781444893,0.6926503340757239,0.6331888860565893,0.06818181818181818,0.7498455836936381,0.9420035149384886,0.15816326530612246,0.5352112676056338,0.5458468176914779,0.9954545454545455
2,mlp,0,test,0.7380989542687685,0.7320546965065184,0.8339805825242719,0.7791533546325878,0.4650112866817156,0.9142857142857143,0.9794238683127572,0.3034013605442177,0.4691358024691358,0.8561484918793504,0.9879518072289156
2,mlp,1,val,0.5886260531432275,0.590212163481211,0.7021040974529347,0.6337194337194337,0.06540880503144654,0.7614852108244179,0.9337979094076655,0.19933554817275748,0.5373134328358209,0.4832904884318766,0.9954545454545455
2,mlp,1,test,0.732324020602466,0.7334094082265902,0.8374336710082007,0.7749032389488695,0.4448462929475588,0.9217391304347826,0.9836065573770492,0.34980988593155893,0.4585537918871252,0.8379888268156425,0.9918032786885246
2,mlp,2,val,0.6179520414776409,0.6015546594912338,0.7100271002710027,0.6926406926406926,0.07616707616707617,0.7747035573122529,0.9432624113475178,0.14770459081836326,0.5536445536445537,0.5204081632653061,0.9954337899543378
2,mlp,2,test,0.7366942406742625,0.7274218124985992,0.8492890995260663,0.7904909161190569,0.45514950166112955,0.8966900702106319,0.9834710743801653,0.27232142857142855,0.4970414201183432,0.8105395232120451,0.9918032786885246
