arm,width,head_mult,seed,encoder,status,steps,train_loss,wall_s,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_Asphalt,f1_ctx_random_val_Meadows,f1_ctx_random_val_Gravel,f1_ctx_random_val_Trees,f1_ctx_random_val_PaintedMetal,f1_ctx_random_val_BareSoil,f1_ctx_random_val_Bitumen,f1_ctx_random_val_Bricks,f1_ctx_random_val_Shadows,acc_iid_val,f1_iid_val,f1_iid_val_Asphalt,f1_iid_val_Meadows,f1_iid_val_Gravel,f1_iid_val_Trees,f1_iid_val_PaintedMetal,f1_iid_val_BareSoil,f1_iid_val_Bitumen,f1_iid_val_Bricks,f1_iid_val_Shadows,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_Asphalt,f1_homogeneous_val_Meadows,f1_homogeneous_val_Gravel,f1_homogeneous_val_Trees,f1_homogeneous_val_PaintedMetal,f1_homogeneous_val_BareSoil,f1_homogeneous_val_Bitumen,f1_homogeneous_val_Bricks,f1_homogeneous_val_Shadows,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_Asphalt,f1_ctx_random_test_Meadows,f1_ctx_random_test_Gravel,f1_ctx_random_test_Trees,f1_ctx_random_test_PaintedMetal,f1_ctx_random_test_BareSoil,f1_ctx_random_test_Bitumen,f1_ctx_random_test_Bricks,f1_ctx_random_test_Shadows,acc_iid_test,f1_iid_test,f1_iid_test_Asphalt,f1_iid_test_Meadows,f1_iid_test_Gravel,f1_iid_test_Trees,f1_iid_test_PaintedMetal,f1_iid_test_BareSoil,f1_iid_test_Bitumen,f1_iid_test_Bricks,f1_iid_test_Shadows,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_Asphalt,f1_homogeneous_test_Meadows,f1_homogeneous_test_Gravel,f1_homogeneous_test_Trees,f1_homogeneous_test_PaintedMetal,f1_homogeneous_test_BareSoil,f1_homogeneous_test_Bitumen,f1_homogeneous_test_Bricks,f1_homogeneous_test_Shadows
nat,32,1.0,0,init,done,20000.0,0.7719622850418091,38.49892520904541,0.5648333430290222,0.5620764054496021,0.6684723726977249,0.6055242692410834,0.2063953488372093,0.6666666666666666,0.9816849816849816,0.08937437934458789,0.4639175257731959,0.47643979057591623,0.9002123142250531,0.5933333039283752,0.5660040896240086,0.6518873576992211,0.6460358056265985,0.0,0.6475548060708263,0.9907578558225508,0.08536585365853659,0.48205128205128206,0.6314797360980208,0.958904109589041,0.5928333401679993,0.5654028909403038,0.6614925373134328,0.6411311053984576,0.0,0.6419479800774764,0.9745454545454545,0.0687116564417178,0.48604992657856094,0.6401515151515151,0.9745958429561201,0.5718333125114441,0.5944046928340202,0.81789802289282,0.5675068629897679,0.30664395229982966,0.6174863387978142,0.9910714285714286,0.1855937702790396,0.3877917414721723,0.6978723404255319,0.7777777777777778,0.6330000162124634,0.6035883263707388,0.7993596584845251,0.6393897364771152,0.0,0.6783004552352049,0.9910714285714286,0.1630901287553648,0.38110236220472443,0.8477777777777777,0.9322033898305084,0.6269999742507935,0.6040487288987172,0.797638217928073,0.625495222558844,0.0,0.6661764705882353,0.9866666666666667,0.15868477483917084,0.3887147335423197,0.8481501932633904,0.9649122807017544
nat,32,1.0,0,0.3,done,20000.0,0.5353099703788757,37.83938264846802,0.6004999876022339,0.6160293004035983,0.6951151038742279,0.636218799787573,0.24875621890547264,0.7432605905006419,0.988929889298893,0.21189894050529748,0.5258693808312129,0.5327635327635327,0.9614512471655329,0.5999999642372131,0.6187259786956844,0.6793575252825699,0.6394557823129252,0.2769640479360852,0.7316471314003702,0.9925925925925926,0.15226689478186484,0.519036519036519,0.5982905982905983,0.9789227166276346,0.6004999876022339,0.617037562082529,0.6694510739856802,0.6429699842022117,0.28495339547270304,0.7433414043583535,0.9781021897810219,0.14310344827586208,0.5127807900852053,0.599713055954089,0.9789227166276346,0.6940000057220459,0.697259615909683,0.8272965879265092,0.7447811447811448,0.36633663366336633,0.8110599078341014,0.9955156950672646,0.36983606557377047,0.45540796963946867,0.7519110493398193,0.9531914893617022,0.6903333067893982,0.7000231911348815,0.8027941966684579,0.7376760563380281,0.41454545454545455,0.8365019011406845,0.9955156950672646,0.2911306702775897,0.4308231173380035,0.8090787716955942,0.9821428571428571,0.690833330154419,0.6988149804800969,0.7984913793103449,0.744380784486558,0.4203152364273205,0.849624060150376,0.9866666666666667,0.29155313351498635,0.42758620689655175,0.7929395790902919,0.9777777777777777
nat,32,1.0,0,final,done,20000.0,0.5227162837982178,38.946001291275024,0.6026666760444641,0.6247625498617554,0.6983771684387241,0.6286784376672017,0.28023952095808385,0.7410256410256411,0.9925925925925926,0.21508828250401285,0.5371329879101899,0.5660919540229885,0.9636363636363636,0.5988333225250244,0.6245077414904299,0.6733608978145305,0.6294148655772273,0.31675392670157065,0.7125603864734299,0.9925925925925926,0.15437392795883362,0.5233201581027668,0.6324786324786325,0.9857142857142858,0.6006666421890259,0.6271738068880022,0.6682436428149024,0.6290580095795636,0.3389830508474576,0.71849234393404,0.9852941176470589,0.14904679376083188,0.5184603299293009,0.6464646464646465,0.990521327014218,0.6953333020210266,0.7002086120183099,0.8297537977998952,0.7433191107118796,0.3851132686084142,0.8029330889092575,0.9955156950672646,0.36973684210526314,0.46484375,0.7574704656011119,0.9531914893617022,0.6875,0.6992525046832553,0.8062098501070664,0.7300884955752213,0.4448336252189142,0.7989130434782609,0.9955156950672646,0.2914364640883978,0.4400715563506261,0.8086253369272237,0.9775784753363229,0.6884999871253967,0.6990498693726869,0.8036480686695279,0.7347391786903441,0.4406196213425129,0.8035555555555556,0.9866666666666667,0.29902642559109877,0.43936731107205623,0.7972789115646258,0.9865470852017937
headlr,32,0.00390625,0,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headlr,32,0.00390625,0,final,done,20000.0,0.5002068877220154,42.40326976776123,0.6021666526794434,0.6089099523408691,0.7029702970297029,0.6509803921568628,0.1905940594059406,0.7651715039577837,0.9834862385321101,0.20066889632107024,0.5141342756183745,0.5020689655172413,0.9701149425287356,0.5818333029747009,0.5836322494436205,0.6566446181599519,0.6467096774193548,0.13966480446927373,0.6828087167070218,0.9907578558225508,0.13891531874405327,0.5007496251874063,0.5552631578947368,0.9411764705882353,0.5718333125114441,0.576213521843017,0.655933214072749,0.6297176035893376,0.13618157543391188,0.6647365373480023,0.9852941176470589,0.13904761904761906,0.5049429657794677,0.5531914893617021,0.9168765743073047,0.687833309173584,0.6874956736750459,0.8269030239833159,0.7390042420183076,0.3495798319327731,0.809433962264151,0.9910714285714286,0.33842070338420704,0.44881889763779526,0.7547683923705722,0.9294605809128631,0.6075000166893005,0.6455284377081426,0.7849755035383778,0.6088815008311564,0.3914590747330961,0.5645730416372619,0.9955156950672646,0.2681564245810056,0.4154103852596315,0.7941176470588235,0.9866666666666667,0.5863333344459534,0.6313165238736659,0.7827510917030568,0.5793234873749404,0.3922942206654991,0.5364145658263305,0.9910714285714286,0.21133659902029392,0.415973377703827,0.7949061662198391,0.9777777777777777
nat16,32,1.0,0,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nat16,32,1.0,0,final,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuf,32,1.0,0,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuf,32,1.0,0,final,done,20000.0,0.5275357365608215,42.383955001831055,0.5985000133514404,0.6114114623266729,0.7131608548931384,0.6339262012211309,0.1984924623115578,0.741222366710013,0.985239852398524,0.22061191626409019,0.533106960950764,0.5111111111111111,0.9658314350797267,0.543666660785675,0.5480621745403205,0.6755043227665706,0.5316455696202531,0.055248618784530384,0.6371220020855057,0.988929889298893,0.1092511013215859,0.5095057034220533,0.6391752577319587,0.7861771058315334,0.5410000085830688,0.5485796297140855,0.6814562002275313,0.5223707147007554,0.059813084112149535,0.6354755784061696,0.9834862385321101,0.10043290043290043,0.5091463414634146,0.6359447004608295,0.8090909090909091,0.6869999766349792,0.6915580424739703,0.8208092485549133,0.7252137739773515,0.3583180987202925,0.7974683544303798,0.9955156950672646,0.3884093711467324,0.42379182156133827,0.777257525083612,0.9372384937238494,0.5799999833106995,0.5950534638688957,0.8081023454157783,0.5294725956566702,0.20710059171597633,0.5544794188861986,0.9955156950672646,0.22371064969859344,0.3993453355155483,0.8348348348348348,0.8029197080291971,0.5864999890327454,0.6057664282400795,0.8118706942236354,0.5291387313047963,0.23529411764705882,0.5621621621621622,0.9866666666666667,0.21668909825033647,0.40327868852459015,0.8518957345971564,0.8549019607843137
nat,32,1.0,1,init,done,20000.0,0.8200863599777222,42.434168100357056,0.5716666579246521,0.5592093545808322,0.7014925373134329,0.6123324396782842,0.22704081632653061,0.697215777262181,0.9832402234636871,0.07093596059113301,0.48621041879468846,0.383448275862069,0.8709677419354839,0.6116666793823242,0.5187182970781783,0.7078125,0.6949194547707559,0.042483660130718956,0.6964078794901506,0.9869158878504672,0.023622047244094488,0.01507537688442211,0.562363238512035,0.9388646288209607,0.6103333234786987,0.5151944827466689,0.717551336691205,0.6869391824526421,0.05211726384364821,0.6915137614678899,0.9759704251386322,0.018494055482166448,0.005420054200542005,0.5436893203883495,0.945054945054945,0.625333309173584,0.6043619072161689,0.8507317073170731,0.6778801843317972,0.26976744186046514,0.7202521670606777,0.9868995633187773,0.17668356263577117,0.3532219570405728,0.646539027982327,0.7572815533980582,0.7329999804496765,0.6298072714395506,0.8850877192982456,0.7762295081967213,0.28361858190709044,0.8241758241758241,0.9911504424778761,0.1211556383970177,0.026490066225165563,0.8462951622780159,0.9140625,0.7369999885559082,0.6352552802329081,0.8862642169728784,0.7763211798443261,0.30446194225721784,0.8344007319304666,0.9783549783549783,0.12371134020618557,0.04,0.8457831325301205,0.928
