k,model,seed,split,acc,macro_f1,f1_CancerEpi,f1_CAS,f1_NormalStroma,f1_NormalEpi
2,lda,0,val,0.5224324324324324,0.505983672927445,0.5898922949461475,0.600196463654224,0.5672676837725381,0.26657824933687
2,lda,0,test,0.5459259259259259,0.5116003944459562,0.6552984165651644,0.5690213869086196,0.5805022156573116,0.2415795586527294
2,logreg,0,val,0.5332432432432432,0.5107004316746542,0.5843348528802321,0.6268656716417911,0.5726083964211975,0.2589928057553957
2,logreg,0,test,0.5625925925925926,0.5237400231900946,0.6495412844036698,0.61090458488228,0.5838876570583887,0.2506265664160401
2,mlp,0,val,0.5118918918918919,0.493719505326652,0.558458244111349,0.6104195481788843,0.5295774647887324,0.2764227642276423
2,mlp,0,test,0.5462962962962963,0.5112941783242373,0.6170347003154574,0.6261792452830188,0.5499207606973059,0.25204200700116686
2,mlp,1,val,0.6064864864864865,0.4929904653837686,0.7036901717208622,0.735949098621421,0.30900243309002434,0.22332015810276679
2,mlp,1,test,0.6455555555555555,0.5089269673720523,0.7728740581270183,0.7531562908141054,0.2741702741702742,0.23550724637681159
2,mlp,2,val,0.5627027027027027,0.5018927394684727,0.7193421523060421,0.5227637921799678,0.5606936416184971,0.2047713717693837
2,mlp,2,test,0.5740740740740741,0.4993516725809701,0.7848101265822784,0.45021645021645024,0.5572519083969466,0.20512820512820512
4,lda,0,val,0.5559459459459459,0.5327493528012339,0.6317473010795682,0.6283448959365708,0.6065128900949797,0.26439232409381663
4,lda,0,test,0.5855555555555556,0.5454978696551936,0.6921241050119332,0.6150919467343057,0.607275426874536,0.2675
4,logreg,0,val,0.5635135135135135,0.537721714778652,0.6163215590742996,0.6510067114093959,0.6150819672131147,0.2684766214177979
4,logreg,0,test,0.5848148148148148,0.5403360187800511,0.6810035842293907,0.6326781326781327,0.5953627524308153,0.25229960578186594
4,mlp,0,val,0.5702702702702702,0.5446641082755352,0.6130734876167275,0.664179104477612,0.6135135135135135,0.2878903274942879
4,mlp,0,test,0.58,0.5338337953209542,0.6614552014431749,0.6585507246376812,0.5688960515713135,0.24643320363164722
4,mlp,1,val,0.6072972972972973,0.5210738105655657,0.6845891707686482,0.7423357664233576,0.39215686274509803,0.2652134423251589
4,mlp,1,test,0.6366666666666667,0.5270399649979065,0.751535455053043,0.748653500897666,0.33553500660501984,0.2724358974358974
4,mlp,2,val,0.6189189189189189,0.5451553494893298,0.7524204702627939,0.6088264794383149,0.6175395858708892,0.2018348623853211
4,mlp,2,test,0.6451851851851852,0.5525336697775031,0.8345902463549523,0.5841836734693877,0.5779036827195467,0.21345707656612528
8,lda,0,val,0.5037837837837837,0.49636850766258955,0.512955643390426,0.6075697211155379,0.5915309446254071,0.27341772151898736
8,lda,0,test,0.5466666666666666,0.5244356227580159,0.5778364116094987,0.6070496083550914,0.6226685796269728,0.29018789144050106
