arm,width,head_mult,seed,encoder,status,steps,train_loss,wall_s,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_CancerEpi,f1_ctx_random_val_CAS,f1_ctx_random_val_NormalStroma,f1_ctx_random_val_NormalEpi,acc_iid_val,f1_iid_val,f1_iid_val_CancerEpi,f1_iid_val_CAS,f1_iid_val_NormalStroma,f1_iid_val_NormalEpi,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_CancerEpi,f1_homogeneous_val_CAS,f1_homogeneous_val_NormalStroma,f1_homogeneous_val_NormalEpi,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_CancerEpi,f1_ctx_random_test_CAS,f1_ctx_random_test_NormalStroma,f1_ctx_random_test_NormalEpi,acc_iid_test,f1_iid_test,f1_iid_test_CancerEpi,f1_iid_test_CAS,f1_iid_test_NormalStroma,f1_iid_test_NormalEpi,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_CancerEpi,f1_homogeneous_test_CAS,f1_homogeneous_test_NormalStroma,f1_homogeneous_test_NormalEpi
nat,32,1.0,0,init,done,20000.0,0.8534041047096252,29.452240467071533,0.4983783960342407,0.4829083183628837,0.5736,0.48660470202296335,0.5714285714285714,0.3,0.5178378224372864,0.4955905525458868,0.6240805265195509,0.43100411039342335,0.571917808219178,0.355359765051395,0.5102702975273132,0.4906020194742032,0.6150178784266984,0.3869377695625385,0.5723720418271877,0.3880803880803881,0.5029629468917847,0.46272118767084647,0.589622641509434,0.5089940039973351,0.5674157303370787,0.18485237483953787,0.4833333194255829,0.4470365009918175,0.5855106888361045,0.42419825072886297,0.5688193085453359,0.2096177558569667,0.4637036919593811,0.43198348583187407,0.5518087063151441,0.40148698884758366,0.5655790147152912,0.20905923344947736
nat,32,1.0,0,0.3,done,20000.0,0.33952686190605164,29.24904441833496,0.7243243455886841,0.7074836767284417,0.7759092686742276,0.7390882638215325,0.7278562259306803,0.5870809484873263,0.7300000190734863,0.7099454656036107,0.8040388930441287,0.711864406779661,0.718865598027127,0.6050129645635264,0.7256757020950317,0.7057258595169976,0.8095415579575103,0.6931521170935703,0.7030965391621129,0.6171132238547969,0.7440740466117859,0.7096285968300209,0.7913752913752914,0.7966386554621848,0.7292539815590947,0.5212464589235127,0.7385185360908508,0.7070451165514262,0.8036015756893641,0.7628985507246376,0.7156862745098039,0.5459940652818991,0.7337036728858948,0.7031717790297463,0.8013430330162283,0.7532314923619271,0.7096774193548387,0.5484351713859911
nat,32,1.0,0,final,done,20000.0,0.2121429592370987,29.206499099731445,0.7245945930480957,0.7077680004895035,0.7846332945285215,0.7352342158859471,0.715527950310559,0.5956765412329864,0.7197297215461731,0.7016879434271198,0.7893536121673004,0.711040676175383,0.712378640776699,0.5939788445890968,0.7162162065505981,0.6987805025226694,0.7884542347132548,0.6983957219251337,0.708433734939759,0.5998383185125303,0.8325926065444946,0.7958103922046247,0.8807241746538871,0.856043956043956,0.8082545141874462,0.6382189239332097,0.8262962698936462,0.7923850753470489,0.8888888888888888,0.8266818700114025,0.7976588628762542,0.6563106796116505,0.8151851892471313,0.7771750344519924,0.8795056642636457,0.8177113283496262,0.7903893951946976,0.62109375
headlr,32,0.00390625,0,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headlr,32,0.00390625,0,final,done,20000.0,0.3306758403778076,29.173656225204468,0.708648681640625,0.6905476952911022,0.7522718293164757,0.7420596727622714,0.7250482936252415,0.5428109854604201,0.7191892266273499,0.6948220963342485,0.7895125553914328,0.7067067067067067,0.7227722772277227,0.5602968460111317,0.7159459590911865,0.6909843182317359,0.7882998171846435,0.700507614213198,0.719059405940594,0.5560704355885079,0.7314814925193787,0.6979590706714578,0.766388557806913,0.7968662562954673,0.7312552653748947,0.49732620320855614,0.7229629755020142,0.6897142892559782,0.7938844847112118,0.7472009428403065,0.7038216560509554,0.5139500734214391,0.7211111187934875,0.687159718494452,0.792090395480226,0.7469026548672566,0.7023144453312051,0.5073313782991202
nat16,32,1.0,0,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nat16,32,1.0,0,final,done,20000.0,0.5589409470558167,28.913383722305298,0.6299999952316284,0.6069328484543647,0.6916633426406062,0.6760019314340898,0.6468689477081988,0.413197172034564,0.6189189553260803,0.5888855143534824,0.7040971168437026,0.6206174777603349,0.6535008976660682,0.377326565143824,0.6224324703216553,0.5879348929398163,0.7248421834385443,0.6093498119290703,0.6441681468324453,0.37337942955920483,0.6129629611968994,0.5816544717329908,0.6873065015479877,0.6610271903323263,0.6184310738766184,0.3598531211750306,0.6111111044883728,0.5782250268111775,0.7327433628318584,0.5848806366047745,0.6155969634230504,0.37967914438502676,0.6129629611968994,0.5776345329054475,0.7530364372469636,0.5664194200944033,0.607215793056501,0.38386648122392214
shuf,32,1.0,0,0.3,done,20000.0,0.288833349943161,29.10760760307312,0.7459459900856018,0.7270439740819764,0.8012255840674071,0.7592233009708738,0.7395498392282959,0.6081771720613288,0.7367568016052246,0.7145741882906006,0.8164603058994901,0.7057591623036649,0.7209726443768997,0.6151046405823476,0.7321621775627136,0.7104932602357421,0.8195298372513562,0.6838432635534085,0.7094068304373876,0.629193109700816,0.7596296072006226,0.7248434493874475,0.8083140877598153,0.8084163898117387,0.7406143344709898,0.5420289855072464,0.7592592835426331,0.7274596648263334,0.8145695364238411,0.782608695652174,0.7460969597370584,0.56656346749226,0.7514814734458923,0.7192830240047527,0.8123280132085856,0.7709431751611013,0.7365853658536585,0.5572755417956656
shuf,32,1.0,0,final,done,20000.0,0.18883132934570312,29.04036784172058,0.7375676035881042,0.7200507574683682,0.7959814528593508,0.7536820721178263,0.7170731707317073,0.6134663341645885,0.730270266532898,0.7130278722997478,0.8032665181885672,0.7009646302250804,0.7092537313432836,0.6386266094420601,0.7235135436058044,0.7065327383555529,0.7989671707856879,0.6823144104803494,0.7054631828978623,0.639386189258312,0.8114814758300781,0.7746332723618782,0.8596395412342982,0.8430296377607025,0.788659793814433,0.6072041166380789,0.7959259152412415,0.7609798524493817,0.8560885608856088,0.803955788248982,0.7781402936378466,0.6057347670250897,0.7992592453956604,0.7658299866284166,0.8616352201257862,0.8023323615160349,0.7784137367130008,0.6209386281588448
nat,32,1.0,1,init,done,20000.0,0.7480995655059814,28.771136045455933,0.5332432389259338,0.515115188394357,0.6216106839336301,0.5314009661835749,0.5614877024595081,0.3459614010007148,0.4818919003009796,0.4719978734681932,0.5618964003511853,0.4004781829049611,0.5374259558427571,0.38819095477386933,0.4743243455886841,0.4647820631631432,0.552925413130862,0.38391224862888484,0.5374402549123739,0.38485033598045204,0.5859259366989136,0.5435024012659184,0.742152466367713,0.5195876288659794,0.582312925170068,0.3299565846599132,0.5181481242179871,0.4897099208638096,0.6662636033857315,0.3880368098159509,0.5602968460111317,0.34424242424242424,0.5081481337547302,0.4810160502926328,0.6492861576660459,0.3711824588880188,0.5648484848484848,0.33874709976798145
