experiment,loss,arm,M,q,C,N,s_w,s_b,s_v,rho,n_draws,metric,value
features,,,16,,,64,,,,0.5,,lam_max_Sh,8.143587893251766
features,,,16,,,64,,,,0.5,,a0_emp_lam_Sh_over_M,0.5089742433282354
features,,,16,,,64,,,,0.5,,max_hn_sqnorm_over_M,1.0000000000000004
eq3_6,squared,,16,,,64,1.0,0.5,,0.5,20000,mc_mean_Q,4.058107280101599
eq3_6,squared,,16,,,64,1.0,0.5,,0.5,20000,mc_sem_Q,0.018841024241609078
eq3_6,squared,,16,,,64,1.0,0.5,,0.5,20000,mc_ratio_EQ_over_half_lamSh,0.996638664258631
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,rhs_theory_3_6,1.0179484866564708
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,mean_lam_max_GWW,3.517925321575092
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,sem_lam_max_GWW,0.2545057876679209
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,min_lam_max_GWW,0.031074301092489202
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_lam_over_rhs,3.455897196851272
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,frac_draws_lam_ge_rhs,0.79
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,mean_witness_curvature,0.9179934914618874
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,sem_witness_curvature,0.11769400004668616
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_witness_over_rhs,0.9018074131404299
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,witness_closedform_max_abs_err,3.552713678800501e-15
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,autograd_vs_analytic_max_abs_err,0.0
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,20000,mc_mean_witness_curvature,1.005617790785131
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,20000,mc_ratio_mean_witness_over_rhs,0.9878867191876861
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,20000,mc_sem_ratio_witness_over_rhs,0.012706356893907034
eq3_6,squared,,16,4,1,64,1.0,0.5,1.0,0.5,200,dense_vs_gram_max_rel_err,8.325276916592429e-16
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,rhs_theory_3_6,0.2544871216641177
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,mean_lam_max_GWW,3.083900558365646
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,sem_lam_max_GWW,0.12550447417332203
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,min_lam_max_GWW,0.7328783944146626
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_lam_over_rhs,12.118100665368448
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,frac_draws_lam_ge_rhs,1.0
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,mean_witness_curvature,0.2126652430584665
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,sem_witness_curvature,0.028554191498052463
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_witness_over_rhs,0.8356621021442123
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,witness_closedform_max_abs_err,4.440892098500626e-16
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,autograd_vs_analytic_max_abs_err,0.0
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,20000,mc_mean_witness_curvature,0.2556271829674604
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,20000,mc_ratio_mean_witness_over_rhs,1.0044798388849216
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,20000,mc_sem_ratio_witness_over_rhs,0.01294669866192382
eq3_6,squared,,16,16,1,64,1.0,0.5,1.0,0.5,200,dense_vs_gram_max_rel_err,8.135124265458914e-16
features,,,64,,,64,,,,0.5,,lam_max_Sh,32.42429342933268
features,,,64,,,64,,,,0.5,,a0_emp_lam_Sh_over_M,0.5066295848333231
features,,,64,,,64,,,,0.5,,max_hn_sqnorm_over_M,1.0000000000000004
eq3_6,squared,,64,,,64,1.0,0.5,,0.5,20000,mc_mean_Q,16.246992248072456
eq3_6,squared,,64,,,64,1.0,0.5,,0.5,20000,mc_sem_Q,0.0739062782126624
