sigma,m,M,n_draws,seed,E_err_reversal,mc_se,E_err_reversal_limit,mc_se_limit,Phi_m_over_2sigma,diff_vs_Phi,diff_vs_limit_same_draws,n_draws_disagreeing_with_limit,frac_disagreeing,n_disagreeing_wrong_direction,n_disagreeing_that_satisfy_suff_cond,max_M_v0sq_among_disagreeing,n_immediate_stop,E_err_reversal_spectral_only,n_ode_verified,max_rel_err_cf_vs_ode,runtime_s
0.5,2.0,64,4000,424762,0.949,0.003478469491026191,0.976,0.002419917353960669,0.9772498680518208,-0.028249868051820837,-0.027000000000000024,108,0.027,0,0,28.04300900463671,0,0.0,40,1.7369994534499848e-14,0.19164776802062988
0.5,2.0,1024,4000,424762,0.9725,0.002585717985395931,0.976,0.002419917353960669,0.9772498680518208,-0.00474986805182076,-0.0034999999999999476,14,0.0035,0,0,448.68814407418733,0,0.0,40,1.5923968350785292e-13,0.2621772289276123
0.5,2.0,16384,4000,424762,0.9755,0.0024443685278615402,0.976,0.002419917353960669,0.9772498680518208,-0.0017498680518207577,-0.0004999999999999449,2,0.0005,0,0,142.98126983115242,0,0.0,15,2.33693698770994e-13,8.464410543441772
0.5,4.0,64,4000,424782,1.0,0.0,1.0,0.0,0.9999683287581669,3.167124183311998e-05,0.0,0,0.0,0,0,0.0,0,0.0,40,1.390099655645392e-12,0.22660565376281738
0.5,4.0,1024,4000,424782,1.0,0.0,1.0,0.0,0.9999683287581669,3.167124183311998e-05,0.0,0,0.0,0,0,0.0,0,0.0,40,2.2656718631503847e-12,0.2753138542175293
0.5,4.0,16384,4000,424782,1.0,0.0,1.0,0.0,0.9999683287581669,3.167124183311998e-05,0.0,0,0.0,0,0,0.0,0,0.0,15,4.452504581442938e-12,7.402738571166992
1.0,2.0,64,4000,425262,0.82075,0.006064640086188133,0.8405,0.005789208711041605,0.8413447460685429,-0.020594746068542946,-0.019750000000000045,79,0.01975,0,0,167.4718913054275,81,0.0,40,3.1895670127472815e-14,0.21069788932800293
1.0,2.0,1024,4000,425262,0.838,0.0058257188397656135,0.8405,0.005789208711041605,0.8413447460685429,-0.0033447460685429586,-0.0025000000000000577,10,0.0025,0,0,1247.4735854964536,81,0.0,40,4.2790874555903216e-13,0.2583744525909424
1.0,2.0,16384,4000,425262,0.83975,0.0058002141663045514,0.8405,0.005789208711041605,0.8413447460685429,-0.0015947460685429293,-0.0007500000000000284,3,0.00075,0,0,488.4637600038719,81,0.0,15,1.4868345087990666e-11,7.389657020568848
1.0,4.0,64,4000,425282,0.971,0.002653252720718478,0.97725,0.002357564288625023,0.9772498680518208,-0.006249868051820817,-0.006249999999999978,25,0.00625,0,0,61.89981194871899,0,0.0,40,2.5531203650326788e-11,0.22278881072998047
1.0,4.0,1024,4000,425282,0.977,0.002370179318110764,0.97725,0.002357564288625023,0.9772498680518208,-0.00024986805182081184,-0.00024999999999997247,1,0.00025,0,0,9.977450304656744,0,0.0,40,1.0487429668828046e-11,0.26862478256225586
1.0,4.0,16384,4000,425282,0.97725,0.002357564288625023,0.97725,0.002357564288625023,0.9772498680518208,1.3194817916062362e-07,0.0,0,0.0,0,0,0.0,0,0.0,15,6.871386937797893e-12,7.9239771366119385
